"region","undisbursed_amount","borrower_s_obligation"
"EAST ASIA AND PACIFIC","7135335055.81","18852895957.20"
"EASTERN AND SOUTHERN AFRICA","35868818970.68","48876823093.09"
"EUROPE AND CENTRAL ASIA","5502110071.11","7393255373.97"
"LATIN AMERICA AND CARIBBEAN","2529001684.17","3313950532.94"
"MIDDLE EAST AND NORTH AFRICA","1193583312.05","2205204457.58"
"SOUTH ASIA","18404562613.61","60735083065.31"
"WESTERN AND CENTRAL AFRICA","31575835583.23","36122438957.53"
