"country","original_principal_amount","disbursed_amount"
"Botswana","1292663901.44","802079866.64"
"Burundi","4800000.00","4800000.00"
"Ethiopia","108600000.00","108596977.22"
"Kenya","1986214900.00","1553812959.43"
"Lesotho","155000000.00","89350715.74"
"Liberia","155950000.00","141256735.44"
"Malawi","124100000.00","104516425.69"
"Mozambique","30000000.00","0.00"
"Namibia","15000000.00","15074534.82"
"Seychelles","156700000.00","128145256.54"
"Sierra Leone","18700000.00","18700000.00"
"Tanzania","361030400.00","355552455.98"
"Uganda","43199700.00","42922288.63"
"Zambia","635350000.00","571129983.78"
"Zimbabwe","939300000.00","886002975.16"
