"end_of_period","loan_number","region","country_code","country","borrower","guarantor_country_code","guarantor","loan_type","loan_status","interest_rate","currency_of_commitment","project_id","project_name","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ibrd","due_to_ibrd","exchange_adjustment","borrower_s_obligation","sold_3rd_party","repaid_3rd_party","due_3rd_party","loans_held","first_repayment_date","last_repayment_date","agreement_signing_date","board_approval_date","effective_date_most_recent_","closed_date_most_recent_","last_disbursement_date"
"2022-07-31T00:00:00.000","IBRD72940","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","JSC Azerenerji","AZ","Azerbaijan","FSL","Repaying","0.00",,"P083341","POWER TRANSMISSION","48000000.00","1766303.03","0.00","46233696.97","34703012.70","11530684.27","0.00","11530684.27","0.00","0.00","0.00","11530684.27","2013-10-15T00:00:00.000","2025-04-15T00:00:00.000","2005-11-08T00:00:00.000","2005-05-17T00:00:00.000","2006-03-24T00:00:00.000","2011-12-31T00:00:00.000","2012-04-26T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD73560","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Repaying","0.00",,"P094488","HIGHWAY 2","200000000.00","0.00","0.00","200000000.00","141779999.66","58220000.34","0.00","58220000.34","0.00","0.00","0.00","58220000.34","2014-06-15T00:00:00.000","2025-12-15T00:00:00.000","2006-05-16T00:00:00.000","2006-01-17T00:00:00.000","2006-08-09T00:00:00.000","2013-02-28T00:00:00.000","2011-05-26T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD74350","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Repaying","0.00",,"P100582","REAL ESTATE REG.","30000000.00","907044.08","0.00","29092955.92","15865660.47","13227295.45","0.00","13227295.45","0.00","0.00","0.00","13227295.45","2012-04-15T00:00:00.000","2026-10-15T00:00:00.000","2007-07-27T00:00:00.000","2007-03-21T00:00:00.000","2007-09-17T00:00:00.000","2015-10-01T00:00:00.000","2016-03-04T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD74600","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Repaying","0.00",,"P096213","NAT'L WATER SUPPLY & SAN","230000000.00","22554527.15","0.00","207445472.85","103773746.29","103671726.56","0.00","103671726.56","0.00","0.00","0.00","103671726.56","2012-09-15T00:00:00.000","2027-03-15T00:00:00.000","2007-08-17T00:00:00.000","2007-06-14T00:00:00.000","2008-03-14T00:00:00.000","2016-12-31T00:00:00.000","2018-05-02T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD75090","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Repaying","0.00",,"P083108","RAIL TRADE & TRNSPT FACIL","450000000.00","119756499.59","0.00","330243500.41","140648582.46","189594917.95","0.00","189594917.95","0.00","0.00","0.00","189594917.95","2016-06-15T00:00:00.000","2030-12-15T00:00:00.000","2009-12-18T00:00:00.000","2008-03-27T00:00:00.000","2010-03-15T00:00:00.000","2017-12-31T00:00:00.000","2018-05-17T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD75160","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Repaying","0.00",,"P094488","HIGHWAY 2","300000000.00","7777465.79","0.00","292222534.21","209802016.02","82420518.19","0.00","82420518.19","0.00","0.00","0.00","82420518.19","2012-06-15T00:00:00.000","2024-12-15T00:00:00.000","2008-12-16T00:00:00.000","2008-04-29T00:00:00.000","2009-04-14T00:00:00.000","2015-06-30T00:00:00.000","2015-12-04T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD75180","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Repaying","0.00",,"P109961","NAT'L WATER SUPPLY & SAN II","230000000.00","0.00","0.00","230000000.00","151032769.16","78967230.84","0.00","78967230.84","0.00","0.00","0.00","78967230.84","2012-10-15T00:00:00.000","2025-04-15T00:00:00.000","2008-09-05T00:00:00.000","2008-05-27T00:00:00.000","2009-07-13T00:00:00.000","2017-12-31T00:00:00.000","2018-05-07T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD75480","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Terminated","0.00",,"P104985","ARP I-CONTAM'D SITES REHAB","74500000.00","74500000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2012-11-15T00:00:00.000","2025-05-15T00:00:00.000",,"2008-06-17T00:00:00.000",,"2014-09-30T00:00:00.000",
"2022-07-31T00:00:00.000","IBRD75490","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Repaying","0.00",,"P110679","ARP II-INTEGRAT'D SOLID WASTE MGT","29500000.00","0.00","0.00","29500000.00","29500000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2012-11-15T00:00:00.000","2025-05-15T00:00:00.000","2009-05-20T00:00:00.000","2008-06-17T00:00:00.000","2009-07-31T00:00:00.000","2016-09-30T00:00:00.000","2017-01-11T00:00:00.000"
"2022-07-31T00:00:00.000","IBRD75500","EUROPE AND CENTRAL ASIA","AZ","Azerbaijan","MINISTRY OF FINANCE","AZ","Azerbaijan","FSL","Terminated","0.00",,"P110682","ARP III-LG-SCALE OIL POLL LAND CLEAN","60000000.00","60000000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2012-11-15T00:00:00.000","2025-05-15T00:00:00.000",,"2008-06-17T00:00:00.000",,"2013-09-30T00:00:00.000",
