"fiscal_year","loans_millions","equity_millions","guarantees_millions","risk_management_products_millions","loan_syndications_millions"
"2009","5959.86","2068.66","2478.72","40.12","1858.03"
"2010","5721","2974","3932","37",
"2011","4991.68","1967.59","5167.01","59.4",
"2012","6667.88","2281.91","6401.66","110.3",
"2013","8519.48","2732.42","6958.88","138.27",
"2014","7579","2324","7328","30",
"2015","7018.80","3187.05","273","60",
"2016","8097","2595","378","48",
"2017","9643","1601","540","71",
"2018","9804","1300","442","83",
"2019","7138","999","742","42",
"2020","9509","992","550","85",
"2021","10802","1157","475","40",
