"as_of_date","country_code","beneficiary_name","trustee_fund","fund_name","grant_fund_number","grant_name","program_code","program_name","fiscal_year","grant_commitments_usd","disbursements_usd","grant_agreement_date","status","project_id","project_description"
"2013-03-14T00:00:00.000","BD","Bangladesh","TFM53677","REACHING OUT OF SCHO","TF053677","REACHING OUT OF SCHOOL GRANT","SPTF","SINGLE PURPOSE TRUST FUNDS","2009","0","709827.03","2005-07-04T00:00:00.000","LCLS","P086791","BD: Reaching Out of School Children"
"2013-03-14T00:00:00.000","BD","Bangladesh","TF050551","GEf/IBRD as IA Prj","TF051301","GEF2 FSP - BANGLADESH : RURAL ELECTRIFICATION AND RENEWABLE ENERGY DEVELOPMENT PROJECT","GEFIA","GEF-IBRD AS IMPLEMENTING AGENCY","2009","0","810103.85","2002-07-16T00:00:00.000","ACTN","P074040","Renewable Energy Development"
"2013-03-14T00:00:00.000","BD","Bangladesh","TFM28932","Bang HIV/AIDS Preven","TF028932","BANGLADESH HIV/AIDS PREVENTION PROJECT","MISC2","MISCELLANEOUS TWO","2009","0","-496222.13","2000-12-26T00:00:00.000","LCLS","P069933","HIV/AIDS Prevention"
"2013-03-14T00:00:00.000","BD","Bangladesh","TFM27743","Bangl Nutrition Proj","TF027743","BANGLADESH NATIONAL NUTRITION PROJECT","MISC2","MISCELLANEOUS TWO","2009","0","0","2000-11-28T00:00:00.000","LCLS","P050751","National Nutrition Program"
"2013-03-14T00:00:00.000","BD","Bangladesh","TFM22699","Health & Pop. Ref","TF022699","HEALTH AND POPULATION REFORM PROGRAM (BHPRP)","MISC2","MISCELLANEOUS TWO","2009","0","16878.99","1999-05-18T00:00:00.000","LCLS","P037857","Health and Population Program"
"2013-03-14T00:00:00.000","BD","Bangladesh","TF070533","Avian and Human Infl","TF090662","BANGLADESH: AVIAN INFLUENZA PREPAREDNESS AND RESPONSE PROJECT","AHI","AVIAN AND HUMAN INFLUENZA TRUST FUNDS","2009","0","178975.53","2007-10-08T00:00:00.000","LCLS","P102305","BD: Avian Flu Preparedness"
"2013-03-14T00:00:00.000","BD","Bangladesh","TF022120","IDF TRUST FUND (MAIN","TF093756","IDF: BANGLADESH CAPACITY BUILDING OF THE BUREAU OF STATISTICS","IDF","INSTITUTIONAL DEVELOMENT FUND","2009","500000","0","2009-04-12T00:00:00.000","ACTN","P113101","Capacity Building of BBS, Bangladesh"
"2013-03-14T00:00:00.000","BD","Bangladesh","TF070868","Callable Funds for t","TF093588","BANGLADESH: EMERGENCY 2007 CYCLONE RECOVERY AND RESTORATION PROJECT (GFDRR: CALLABLE FUND)","GFDRR","GLOBALFACILITYFORDISASTERREDUCTION&RECOV","2009","1794718.75","0","2009-04-16T00:00:00.000","ACTN","P111272","BD:Emergency 2007 Cyclone Recovery &Rest"
"2013-03-14T00:00:00.000","BD","Bangladesh","TF021330","POLICY & HUMAN RESOU","TF090407","CLEAN AIR AND SUSTAINABLE ENVIRONMENT PROJECT","PHRD","PHRD FUND-TECHNICAL ASSISTANCE TF","2009","0","83664.58","2007-08-07T00:00:00.000","ACTN","P098151","BD: Clean Air & Sustainable Environment"
"2013-03-14T00:00:00.000","BD","Bangladesh","TF070396","MDTF FOR HEALTH, NUT","TF056510","BANGLADESH, HNPSP,  MULTI-DONOR TRUST FUND, GOVERNMENT EX","FS-CO","FREE STANDING - COFINANCING","2009","100000000","90301610.15","2006-10-15T00:00:00.000","LCLS","P074841","BD: HNP Sector Program"
