"fiscal_year","project_id","project_name","procurement_category","major_sector","wb_contract_number","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2022","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1671484","2021-10-06T00:00:00.000","ACCIONA AGUA S.A","Kingdom of Spain","161964713.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1543992","2016-10-13T00:00:00.000","CONSORCIO PTAR LAS ESCLUSAS GUAYAQUIL.- HIDALGO E HIDALGO S.A. VA TECH WABAG LTD","Republic of Ecuador","98226149.0"
"2021","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Goods","Health","1664334","2020-12-23T00:00:00.000","PFIZER","Republic of Ecuador","72012504.0"
"2022","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Goods","Health","1667973","2021-07-31T00:00:00.000","SINOVAC LIFE SCIENCES CO., LTD.","People's Republic of China","53005000.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1544330","2016-12-07T00:00:00.000","LUDWIG PFEIFFER HOCH UND TIEFBAU GMBH","Federal Republic of Germany","21462502.0"
"2021","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Goods","Health","1668677","2020-10-28T00:00:00.000","ASTRAZENECA UK LIMITED","United Kingdom of Great Britain and Nort","20166600.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Civil Works","Transportation;Public Administration;Industry, Trade and Services","1553919","2018-02-06T00:00:00.000","HERDOIZA CRESPO CONSTRUCCIONES S.A","Republic of Ecuador","19673216.0"
"2021","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Civil Works","Education","1645208","2020-11-23T00:00:00.000","ARROYO AGUIRRE CONSTRUCTORES Y SERVICIOS CÍA. LTDA.","Republic of Ecuador","11519847.0"
"2021","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Goods","Health","1629574","2020-08-10T00:00:00.000","COMMANDER HEALTH SUPPLY","People's Republic of China","8123688.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1687385","2021-12-23T00:00:00.000","PUENTES Y CALZADAS INFRAESTRUCTURA SL","Kingdom of Spain","7895000.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1687401","2021-12-20T00:00:00.000","PUENTES Y CALZADAS INFRAESTRUCTURA SL","Kingdom of Spain","7655000.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1687407","2021-12-20T00:00:00.000","PUENTES Y CALZADAS INFRAESTRUCTURA SL","Kingdom of Spain","7576500.0"
"2017","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1547749","2017-06-21T00:00:00.000","CONSTRUCTORA CONALBA S. A.","Republic of Ecuador","6351832.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1551177","2017-10-16T00:00:00.000","SEMAICA","Republic of Ecuador","6260800.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Goods","Education","1554457","2018-04-12T00:00:00.000","HAIER INTERNATIONAL BUSSINESS CORPORATION LIMITED","People's Republic of China","5893050.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1550974","2017-11-15T00:00:00.000","SUAREZ SALAS CONSTRUCTORES S.A.","Republic of Ecuador","5740323.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1544013","2016-09-15T00:00:00.000","SISMICA INGENIEROS CONSULTORES CIA.","Republic of Colombia","5620200.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1551846","2017-11-15T00:00:00.000","CONTARIM CIA. LTDA.","Republic of Ecuador","5561421.0"
"2017","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1547751","2017-06-05T00:00:00.000","ADOKASA S. A.","Republic of Ecuador","5556481.0"
"2017","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1547750","2017-06-01T00:00:00.000","CONSORCIO MILAGRO OP","Republic of Ecuador","5478624.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1687402","2021-12-20T00:00:00.000","PUENTES Y CALZADAS INFRAESTRUCTURA SL","Kingdom of Spain","5317500.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1683962","2021-12-28T00:00:00.000","CUEVA & CUEVA INGENIEROS S.A.","Republic of Ecuador","5218024.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1683982","2021-12-20T00:00:00.000","PUENTES Y CALZADAS INFRAESTRUCTURA SL","Kingdom of Spain","4760187.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1543623","2016-10-04T00:00:00.000","NIPPON KOEI CO.","Japan","4584568.0"
