"ifc_region","country","number_of_enterprises","ifc_cumulative_commitments_us_thousands","loan_guarantee_participations_cumulative_commitments_us_thousands","total","fiscal_year","as_of_date"
"East Asia and the Pacific","Cambodia","13","316463.25","155000.00","471463.25","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","China","264","8199672.61","1830109.00","10029781.90","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Fiji","10","52493.22","2500.00","54993.22","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Indonesia","126","4068991.86","2512055.00","6581047.23","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Kiribati","1","1798.00","0.00","1798.00","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Korea, Republic of","51","868449.18","195700.00","1064149.18","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Lao People's Democratic Republic","13","66026.45","0.00","66026.45","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Malaysia","12","154868.40","5389.00","160257.52","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Mongolia","18","335725.36","31000.00","366725.36","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Myanmar","4","87140.66","0.00","87140.66","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Papua New Guinea","12","374518.93","25000.00","399518.93","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Philippines","103","2876429.26","695880.00","3572308.86","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Samoa","7","20096.57","0.00","20096.57","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Solomon Islands","2","45000.00","0.00","45000.00","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Thailand","86","2142267.43","1748419.00","3890686.77","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Timor- Leste","1","500.00","0.00","500.00","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Tonga","1","6787.00","0.00","6787.00","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Vanuatu","4","18104.05","0.00","18104.05","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Vietnam","54","4972039.20","253135.00","5225174.20","FY15","2015-06-30T00:00:00.000"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific","45","1376564.03","0.00","1376564.03","FY15","2015-06-30T00:00:00.000"
"South Asia","Bangladesh","44","2570700.71","92745.00","2663446.11","FY15","2015-06-30T00:00:00.000"
"South Asia","Bhutan","4","49853.59","0.00","49853.59","FY15","2015-06-30T00:00:00.000"
"South Asia","India","404","11514730.68","1743640.00","13258370.45","FY15","2015-06-30T00:00:00.000"
"South Asia","Maldives","7","168250.00","8500.00","176750.00","FY15","2015-06-30T00:00:00.000"
"South Asia","Nepal","27","215574.60","39000.00","254574.60","FY15","2015-06-30T00:00:00.000"
"South Asia","Sri Lanka","43","668591.85","128616.00","797207.45","FY15","2015-06-30T00:00:00.000"
"South Asia","Regional Investments: South Asia","12","250988.18","0.00","250988.18","FY15","2015-06-30T00:00:00.000"
