"financier","fiscal_year","region","country","gross_disbursement","repayments","net_disbursement","interest","fees","ibrd_commitments_us","ida_grant_commitments_us","ida_non_concessional","ida_concessional_commitments","ida_other_commitments_us"
"IDA","2010","AFRICA","Africa","8436193.56","0","8436193.56","74414.55","0","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Angola","19767855.19","5763290.04","14004565.15","3590940.21","0","0","0","0","152500000","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Botswana","2377000.89","0","2377000.89","0","803784.2","379061341","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Botswana","0","477444.22","-477444.22","37136.58","0","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Burundi","88240174.47","6569.85","88233604.62","766709.65","0","0","87000000","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Comoros","2327916.53","3246186.43","-918269.9","906361.82","0","0","8310000","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Congo, Democratic Republic of","332297347.3","6850260.25","325447087","17247557.52","0","0","460000000","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Eritrea","4656953.32","4806069.58","-149116.26","5202617.95","0","0","0","0","0","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Eswatini","0","6342279.62","-6342279.62","408690.56","0","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Eswatini","0","250374.36","-250374.36","18419.25","0","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Ethiopia","714622860.7","3785436.42","710837424.3","9751666.19","0","0","350000000","0","540000000","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Kenya","218111675.5","87025017.98","131086657.5","23553934.9","0","0","0","0","613500000","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Lesotho","0","725206.74","-725206.74","30283.94","0","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Lesotho","13487977.69","7027604.66","6460373.03","2408828.08","0","0","10000000","0","20000000","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Madagascar","28730224.05","1074526.87","27655697.18","8205657.24","0","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Malawi","131925060.1","73621.74","131851438.4","1044111.89","0","0","94000000","0","64000000","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Mauritius","1302477.08","7314291.76","-6011814.68","2405820.91","250000","120000000","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Mauritius","0","612580.64","-612580.64","75207.19","0","0","0","0","0","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Mozambique","0","0","0","0","291239.88","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Mozambique","199894850.9","3969992.53","195924858.4","9492419.56","0","0","0","0","260400000","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Namibia","0","7869048.91","-7869048.91","652250.73","0","0","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Rwanda","143716175.8","19285.76","143696890.1","1876847.12","0","0","144810000","0","104000000","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Sao Tome and Principe","2755379.59","0","2755379.59","64965.66","0","0","4100000","0","0","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Seychelles","9012233.6","0","9012233.6","0","22923.2","9000000","0","0","0","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","South Africa","9375000","5352035.53","4022964.47","1011522.34","9375000","3750000000","0","0","0","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Tanzania","820324568.4","1801420.1","818523148.3","17211875.69","0","0","0","0","943050000","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Uganda","335424181.6","2372129.35","333052052.2","9828397.36","740227.78","0","0","0","480100000","0"
"IDA","2010","EASTERN AND SOUTHERN AFRICA","Zambia","27199867.57","1241383.57","25958484","2975530.11","0","0","0","0","95000000","0"
"IBRD","2010","EASTERN AND SOUTHERN AFRICA","Zimbabwe","-9317.1","0","-9317.1","0","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Benin","57381029.68","185911.27","57195118.41","2126953.59","0","0","37800000","0","105000000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Burkina Faso","251445194.4","447323","250997871.4","5051666.9","0","0","130000000","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Cabo Verde","16074433.94","3756490.29","12317943.65","2148739.5","0","0","0","0","25500000","0"
"IBRD","2010","WESTERN AND CENTRAL AFRICA","Cameroon","0","5444643.63","-5444643.63","1400307.29","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Cameroon","85739975.22","1525121.46","84214853.76","1779712.44","0","0","0","0","189900000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Central Africa","9385499.54","0","9385499.54","130727.78","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Central African Republic","21312871.39","0","21312871.39","28535.88","0","0","74300000","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Chad","16669679.21","18689196.36","-2019517.15","6211002.51","0","0","29000000","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Congo, Republic of","11860785.18","1800426.21","10060358.97","1618472.15","0","0","0","0","25500000","0"
"IBRD","2010","WESTERN AND CENTRAL AFRICA","Cote d'Ivoire","0","55003878.89","-55003878.89","2924566.16","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Cote d'Ivoire","205016609.6","41151475.79","163865133.8","12532239.58","34104.64","0","155000000","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Equatorial Guinea","0","1561272.33","-1561272.33","310498.31","0","0","0","0","0","0"
"IBRD","2010","WESTERN AND CENTRAL AFRICA","Gabon","5246684.23","2507714.24","2738969.99","491924.48","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Gambia, The","17810451.89","339145","17471306.89","469884.47","0","0","10750000","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Ghana","405515551.1","2109726.13","403405824.9","10999048.87","375000","0","0","0","433300000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Guinea","293925.11","10485393.03","-10191467.92","2969888.64","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Guinea-Bissau","10400708.15","1288105.48","9112602.67","2601773.04","0","0","11000000","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Liberia","30951676.29","3012662.17","27939014.12","489050.14","0","0","35000000","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Mali","172776707.7","900137.63","171876570","4626815.63","0","0","0","0","183000000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Mauritania","57640676.9","489613.41","57151063.49","1976714.26","0","0","0","0","25500000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Niger","72854222.48","109569.37","72744653.11","1459012.99","0","0","10000000","0","0","0"
"IBRD","2010","WESTERN AND CENTRAL AFRICA","Nigeria","0","90149404.82","-90149404.82","4063207.95","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Nigeria","1105972650","23006149.48","1082966501","20339559.84","0","0","0","0","890000000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Senegal","139529260.3","3273542.24","136255718.1","6280714.95","0","0","0","0","243500000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Sierra Leone","51029035.47","30360.97","50998674.5","852159.53","0","0","13000000","0","63000000","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Togo","33852781.88","22065858.88","11786923","4151883.32","0","0","58000000","0","0","0"
"IBRD","2010","WESTERN AND CENTRAL AFRICA","Western Africa","0","821371.77","-821371.77","31454.53","0","0","0","0","0","0"
"IDA","2010","WESTERN AND CENTRAL AFRICA","Western Africa","27149075.97","1243294.61","25905781.36","333007.32","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Cambodia","44234186.23","7647537.01","36586649.22","4211925.75","0","0","0","0","5000000","0"
"IBRD","2010","EAST ASIA AND PACIFIC","China","1298903382","1034527464","264375918","207977599.8","4377764.64","1414000000","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","China","-551666.74","340874010.1","-341425676.9","74342928.68","0","0","0","0","0","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Fiji","0","711274.03","-711274.03","8964","0","0","0","0","0","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Indonesia","2054398419","1034036296","1020362123","246728261.1","9190955","2986362000","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Indonesia","185828165.2","30912076.82","154916088.3","16393574.36","0","0","0","0","0","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Korea, Republic of","0","402630919.3","-402630919.3","27136749.01","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Korea, Republic of","0","35159487.34","-35159487.34","169560.21","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","43847450.89","15128895.19","28718555.7","5183915.49","271950","0","124300000","0","0","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Malaysia","0","43580224.99","-43580224.99","2875751.77","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Mongolia","69690745.64","3829949.06","65860796.58","2765361.36","0","0","0","0","34000000","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Papua New Guinea","2334037.43","10812906.54","-8478869.11","2055545.68","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Papua New Guinea","12289175.34","3655441.48","8633733.86","613515.21","0","0","0","0","25000000","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Philippines","187555827.1","418613703","-231057875.8","92023328.22","1943293.65","685000000","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Philippines","0","6997171.15","-6997171.15","1403309.41","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Samoa","23442044.16","1674944.78","21767099.38","602788.91","0","0","0","0","23000000","0"
"IDA","2010","EAST ASIA AND PACIFIC","Solomon Islands","1144876.47","1159474.91","-14598.44","330070.94","0","0","6450000","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Taiwan, China","0","474695.76","-474695.76","8010.48","0","0","0","0","0","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Thailand","17847581.96","7020000","10827581.96","1002264.67","0","79300000","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Thailand","0","3376667.2","-3376667.2","449669.82","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Timor-Leste","2926173.7","0","2926173.7","0","0","0","5000000","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Tonga","2967198.21","147436.27","2819761.94","170605.04","0","0","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Vanuatu","0","558279.4","-558279.4","94606.47","0","0","0","0","0","0"
"IBRD","2010","EAST ASIA AND PACIFIC","Vietnam","500000000","0","500000000","971578.13","1250000","700000000","0","0","0","0"
"IDA","2010","EAST ASIA AND PACIFIC","Vietnam","1227211463","49602992.79","1177608470","44234716.18","357532.3","0","0","0","1429240000","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Albania","5411636.57","0","5411636.57","386557.73","261017.25","0","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Albania","27273298.04","10310471.17","16962826.87","6360069.85","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Armenia","44174965.88","981492.3","43193473.58","356277.1","166500","87600000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Armenia","126906222.3","14535955.98","112370266.3","8281526.71","0","0","0","0","60000000","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Azerbaijan","147677613.5","0","147677613.5","2910279.82","2056250","171600000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Azerbaijan","45112735.31","9392212.99","35720522.32","5602949.18","0","0","0","0","70000000","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Belarus","224434366.1","643739.93","223790626.2","1116725.43","812500","242506000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Bosnia and Herzegovina","1021762.13","24827198.87","-23805436.74","8894083.36","63922.13","150000000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Bosnia and Herzegovina","42511169.4","17670247.54","24840921.86","8240327.17","0","0","0","0","81000000","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Bulgaria","20606146.47","90932717.79","-70326571.32","23573199.45","402393.38","118700000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Central Asia","6068376.73","0","6068376.73","0","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Croatia","446813979.3","135322625.1","311491354.2","23161748.05","1357192.5","474270000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Estonia","0","6260595.49","-6260595.49","715896.62","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Georgia","101265689.2","0","101265689.2","178623.92","512500","205000000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Georgia","144045964.7","14062885.92","129983078.7","8239939.03","0","0","0","0","85000000","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Hungary","0","27388891.43","-27388891.43","1936364.17","0","1413210000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Kazakhstan","168954909.3","33907027.99","135047881.3","6249235.36","5432500","1065000000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Kosovo","0","204724325.7","-204724325.7","15182847.26","0","0","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Kosovo","8708135.59","0","8708135.59","0","0","0","9110000","0","11140000","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Kyrgyz Republic","38108034.56","12928143.9","25179890.66","4971687.26","0","0","16850000","0","20150000","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Latvia","296680550","20294636.38","276385913.6","3177930.06","4363250","426550000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Lithuania","0","3132149.56","-3132149.56","341932.33","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Moldova","0","18521714.64","-18521714.64","2090210.96","0","0","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Moldova","28521410.01","4244483.92","24276926.09","2502081.81","0","0","0","0","69000000","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Montenegro","3629937.27","11007645.74","-7377708.47","6163681.02","57868.36","7200000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Montenegro","3260995.61","0","3260995.61","565956.21","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","North Macedonia","68527212.69","10203919.32","58323293.37","4438715.07","208478.33","42100000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","North Macedonia","0","7879061.9","-7879061.9","2909494.19","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Poland","1453291586","145529558.4","1307762028","77791347.97","3599500","1331300000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Romania","776170911.4","266302413.4","509868497.9","61686897.77","1521061.26","422990000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Russian Federation","111613183.7","726114727.4","-614501543.8","62953158.98","500000","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Serbia","259898311.7","34788231.94","225110079.7","49431165.44","1691464.86","588000000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Serbia","13623346.77","0","13623346.77","4931722.67","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Slovak Republic","2091690.18","34422247.97","-32330557.79","4439427.17","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Slovenia","0","5874726.4","-5874726.4","414369.96","0","0","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Tajikistan","22541071.33","4124197.52","18416873.81","2822915.99","0","0","52400000","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Turkey","2975263022","689823045.2","2285439977","197061718.6","7168534.91","2990000000","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Turkey","0","5884982.14","-5884982.14","368452.34","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Turkmenistan","0","1363300","-1363300","144137.72","0","0","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Ukraine","497613721.8","238754387.2","258859334.7","49128849.69","2000000","460000000","0","0","0","0"
"IBRD","2010","EUROPE AND CENTRAL ASIA","Uzbekistan","4487479.36","33134340.85","-28646861.49","12061612.6","0","0","0","0","0","0"
"IDA","2010","EUROPE AND CENTRAL ASIA","Uzbekistan","31008116.57","0","31008116.57","569402.26","0","0","0","0","145544000","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Argentina","868795607","774487120.2","94308486.75","138050696.8","1147500","634000000","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Barbados","4660000","1337777.9","3322222.1","700746.91","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Belize","0","4323661.45","-4323661.45","432930.26","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Bolivia","0","8340","-8340","2240.89","0","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Bolivia","36273511.85","2193748.19","34079763.66","2267357.76","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Brazil","2636574965","1849252131","787322834.6","229092438.6","10185500","3744596000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Caribbean","2968572.51","834569.46","2134003.05","178473.6","0","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Central America","2738773.07","0","2738773.07","0","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Chile","24417805.79","34778111.63","-10360305.84","2980310.15","75000","3000000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Chile","0","688241.38","-688241.38","9040.37","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Colombia","1592321130","262279500.2","1330041630","240694760.6","3382030","1172812000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Colombia","0","706353","-706353","9270.9","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Costa Rica","38560980.46","8096526.51","30464453.95","1451534.88","181250","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Costa Rica","0","164815.7","-164815.7","2163.18","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Dominica","0","451088.88","-451088.88","47420.46","0","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Dominica","1571256.59","544783.82","1026472.77","205774.84","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Dominican Republic","352982277.3","53883950.78","299098326.6","23282425.28","895000","360500000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Dominican Republic","0","662448.1","-662448.1","61744.02","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Ecuador","-247132.46","87110270.57","-87357403.03","19285470.62","0","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Ecuador","0","1125960.9","-1125960.9","82462.3","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","El Salvador","14014403.57","60790562.25","-46776158.68","13652235.15","0","250000000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","El Salvador","0","839983.2","-839983.2","65907.2","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Grenada","-56913","1612144.12","-1669057.12","397079.34","0","4500000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Grenada","3637350.3","348255.83","3289094.47","281244.18","0","0","0","0","3500000","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Guatemala","474358288.1","74354518.16","400003769.9","44117254.94","1087500","464500000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Guyana","5514552.67","128748.48","5385804.19","73806.62","0","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Haiti","75198869.37","35941644","39257225.37","97997.31","0","0","121500000","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Honduras","31696088.07","0","31696088.07","3643503.66","0","0","0","0","40000000","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Jamaica","221971305.1","46714672.08","175256633","12640767.97","577500","231000000","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Mexico","4626034304","686871126.5","3939163177","232611576.2","11790711","6368500000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Nicaragua","52756687.4","260368.06","52496319.34","2998744.92","0","0","46827500","0","17472500","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Panama","102430416.1","36495840.38","65934575.7","16627800.69","200000","40000000","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Paraguay","102232217.9","32954738.59","69277479.28","5775531.28","503750","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","Paraguay","0","1493031.6","-1493031.6","113709.14","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Peru","473308830.5","252020409.4","221288421","73818708.11","2187500","360000000","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","St. Kitts and Nevis","355399.61","2535000.02","-2179600.41","268843.75","0","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","St. Kitts and Nevis","0","42972.88","-42972.88","11148.01","0","0","0","0","0","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","St. Lucia","1073746","2805830.04","-1732084.04","753378.26","0","4000000","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","St. Lucia","926798.72","519117.55","407681.17","377261.45","0","0","0","0","8000000","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","St. Vincent and the Grenadines","1068146.67","374243.11","693903.56","159268.79","0","0","0","0","0","0"
"IDA","2010","LATIN AMERICA AND CARIBBEAN","St. Vincent and the Grenadines","1435843.51","358922","1076921.51","152712.9","0","0","0","0","2300000","0"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Trinidad and Tobago","3053990.96","6933159.87","-3879168.91","881648.31","0","0","0","0","0","0"
