"country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ibrd","borrower_s_obligation"
"Brazil","64264763768.39","6637578061.22","2612243627.39","54951791689.30","39176084667.16","15872199167.91"
"Mexico","61183978843.96","7694006012.22","1192711361.82","52099183047.60","36714559870.33","14965612644.38"
"Colombia","31687908070.88","2183889907.46","998035024.99","28337943898.50","14058818432.66","13856325088.65"
"Argentina","41390853000.00","4902737575.02","4132559122.13","32001521342.27","23190572564.14","8776258147.80"
"Peru","16096289000.00","2043175016.58","1771521779.37","12116289677.84","7577846702.37","4520128846.77"
"Ecuador","8075580000.00","1032455280.67","976864976.45","6064659742.89","2410866975.46","3650579931.71"
"Guatemala","4567610000.00","505039693.13","237169249.00","3945401057.87","1790902919.60","2148736144.90"
"Costa Rica","3207770500.00","253987931.83","376199998.75","2577458822.14","987702132.98","1578658445.13"
"Uruguay","4992960000.00","880687063.36","75195600.62","4128394847.66","2602168926.60","1432201508.48"
"Panama","4020590000.00","442486658.45","523346910.66","3054213857.32","1666804923.34","1378195792.99"
"Dominican Republic","3383440000.00","239310135.01","654601646.93","2447528218.06","1261465928.96","1186062289.10"
"El Salvador","3192685000.00","305372819.06","819962458.62","2067309843.58","1295108946.96","767053141.37"
"Bolivia","1343908794.77","39319264.45","310138372.02","982742363.53","277665946.58","705026416.95"
"Chile","4494107000.00","754040406.32","10100000.00","3848795725.45","3699739157.08","141863490.05"
"Honduras","717250000.00","26236959.71","0.00","690980653.04","686522000.50","0.02"
"Nicaragua","233550000.00","1453797.85","0.00","229605030.22","223980602.79","-0.04"
