"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-12T00:00:00.000","2022","EUROPE AND CENTRAL ASIA","Tajikistan","TJ","P148291","Higher Education Project","Goods","Request for Quotations","Education","1698020","Procurement of educational musical instruments","2022-04-22T00:00:00.000","HISORI OFTOBI","Republic of Tajikistan","TJ","54900.0","MOES/HEP/SH/2022- 12"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","India","IN","P152698","National Hydrology Project","Goods","Request for Quotations","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1683367","Procurement of Sound System","2022-01-05T00:00:00.000","MUSIC INN","Republic of India","IN","7220.0","NHP-2021-2022-MZ-686243"
"2022-09-12T00:00:00.000","2019","LATIN AMERICA AND CARIBBEAN","Panama","PA","P155097","Strengthening Social Protection and Inclusion System","Goods","Request for Quotations","Education;Social Protection","1671278","contrato ord 4200228785","2019-06-14T00:00:00.000","DISTRIBUIDORA MUSICAL, S.A.","Republic of Panama","PA","19409.0","PA-MIDES-100134-GO-RFQ"
"2022-09-12T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Brazil","BR","P088966","BR Municipal APL: Teresina Enhancing Municipal Governance and Quality of Life Project","Goods","Request for Quotations","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","1670688","Aquisicao de Instrumentos Musicais e Fardamentos para Amplia&#231;&#227;o do Projeto Banda Escola","2019-08-27T00:00:00.000","CENTRO MUSICAL LTDA","Federative Republic of Brazil","BR","47096.0","BR-PREFEITURA TEREZINA-99119-GO-"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Brazil","BR","P129342","Piaui: Pillars of Growth and Social Inclusion Project","Goods","Request for Quotations","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1669942","AQUISI&#199;&#195;O DE APARELHAGEM DE SOM PARA ESTRUTURAR O AUDIT&#211;RIO DA SECRETARIA DE PLANEJAMENTO DO ESTADO DO PIAU&#205;","2021-09-23T00:00:00.000","CENTRO MUSICAL LTDA","Federative Republic of Brazil","BR","2410.0","BR-SEPLAN- PI-235100-GO-RFQ"
"2022-09-12T00:00:00.000","2021","Eastern and Southern Africa","Rwanda","RW","P168551","Rwanda Quality Basic Education for Human Capital Development Project","Non-consulting Services","Request for Quotations","Education","1656042","Production of non-academic Audio-visual snippets and production of spots for Integrated WASH messaging","2020-08-28T00:00:00.000","KINA MUSIC LTD","Republic of Rwanda","RW","183736.0","RW-REB-179023-NC-RFQ"
"2022-09-12T00:00:00.000","2021","EAST ASIA AND PACIFIC","Philippines","PH","P173706","Conflict Monitoring and Participatory Processes for BARMM","Goods","Request for Quotations","Social Protection;Public Administration","1650872","Purchase of recorders","2020-11-12T00:00:00.000","JB MUSIC AND SPORTS INC","Republic of the Philippines","PH","529.0","PH-IAP-198684-GO-RFQ"
"2022-09-12T00:00:00.000","2021","SOUTH ASIA","India","IN","P152698","National Hydrology Project","Goods","Request for Quotations","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1649468","Music People was selected as it was the lowest quoted rate","2021-01-20T00:00:00.000","MUSIC PEOPLE","Republic of India","IN","5000.0","NHP-2020-2021-NL-495956"
"2022-09-12T00:00:00.000","2021","EAST ASIA AND PACIFIC","China","CN","P154623","China: Gansu Technical and Vocational Education and Training Project","Goods","Request for Quotations","Education","1641392","Purchase musical instruments, clothing and props.","2020-11-24T00:00:00.000","SHENZHEN XUYI CULTURE TECHNOLOGY MEDIA CO., LTD","People's Republic of China","CN","263256.0","WLXY-G-02"
"2022-09-12T00:00:00.000","2021","EAST ASIA AND PACIFIC","Vietnam","VN","P150058","Renovation of General Education Project","Consultant Services","Individual Consultant Selection","Education","1627528","Author of the guidelines for adjusting the current curriculum content aligned with the 2018 GEC (General Education Curriculum) Music subject - Grade 9","2020-08-03T00:00:00.000","Individual Consultant","Socialist Republic of Vietnam","VN","2589.0","91/2020/HĐKT-RGEP/ĐT-1.2/IC/14_"
"2022-09-12T00:00:00.000","2021","EAST ASIA AND PACIFIC","Vietnam","VN","P150058","Renovation of General Education Project","Consultant Services","Individual Consultant Selection","Education","1627510","Author of the guidelines for adjusting the current curriculum content aligned with the 2018 GEC (General Education Curriculum) Music subject - Grade 5","2020-08-03T00:00:00.000","Individual Consultant","Socialist Republic of Vietnam","VN","2589.0","92/2020/HĐKT-RGEP/ĐT-1.2/IC/14_"
"2022-09-12T00:00:00.000","2020","SOUTH ASIA","Bangladesh","BD","P173757","Bangladesh: COVID-19 Emergency Response and Pandemic Preparedness Project","Consultant Services","Direct Selection","Health","1625397","Awareness Building TVC Regarding Disposal of COVID-19 Dead Bodies","2020-05-13T00:00:00.000","E-MUSIC","People's Republic of Bangladesh","BD","100251.0","PACKAGE SD-7"
"2022-09-12T00:00:00.000","2020","SOUTH ASIA","Bangladesh","BD","P173757","Bangladesh: COVID-19 Emergency Response and Pandemic Preparedness Project","Consultant Services","Direct Selection","Health","1621313","Develop TVC CIip for Awareness, Education, Risk Communication & Counter Misinformation","2020-04-15T00:00:00.000","E-MUSIC","People's Republic of Bangladesh","BD","68656.0","PACKAGE SD -2"
"2022-09-12T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Nicaragua","NI","P121152","Second Land Administration Project (PRODEP II)","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Public Administration","1618389","2. Columna Activa","2020-01-15T00:00:00.000","PRELUDIO MUSICAL, S. A.","Republic of Nicaragua","NI","1882.0","NI-PGR-139219-GO-RFQ 1.2"
"2022-09-12T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Nicaragua","NI","P121152","Second Land Administration Project (PRODEP II)","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Public Administration","1618380","1. Mezcladora de Sonido","2020-01-15T00:00:00.000","PRELUDIO MUSICAL, S. A.","Republic of Nicaragua","NI","398.0","NI-PGR-139219-GO-RFQ 1.1"
"2022-09-12T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Nicaragua","NI","P121152","Second Land Administration Project (PRODEP II)","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Public Administration","1618365","3. Microfono","2020-01-15T00:00:00.000","PRELUDIO MUSICAL, S. A.","Republic of Nicaragua","NI","233.0","NI-PGR-139219-GO-RFQ 1.3"
"2022-09-12T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Jamaica","JM","P146688","Jamaica Strategic Public Sector Transformation","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Public Administration","1613241","Development of a Business Plan for the Jamaica Music Museum","2019-10-28T00:00:00.000","Individual Consultant","Jamaica","JM","12444.0","JM-MOFPS-83487-CS-INDV"
