"date_disclosed","project_name","document_type","project_number","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2019-05-20T00:00:00.000","Conaprole 2019","Summary of Investment Information (AIP Policy 2012)","42477","Loan","COOPERATIVA NACIONAL DE PRODUCTORES DE LECHE","Uruguay","URU","Agribusiness and Forestry","B","Regional Industry - MAS LAC","Active","2019-06-21T00:00:00.000",,,"60.0",,"60.0","UY","2022-09-02T03:05:00.000"
"2014-03-04T00:00:00.000","Scanntech","Summary of Investment Information (AIP Policy 2012)","34301","Equity","SCANNTECH","Uruguay","URU","Financial Institutions","B","TMT, Venture Capital & Funds","Active","2014-04-03T00:00:00.000",,,,"10.0","10.0","UY","2022-09-02T03:05:00.000"
"2012-07-25T00:00:00.000","HDB Barging","Summary of Proposed Investment (Disclosure Policy 2006)","31445","Loan","GIROCANTEX S.A.","Uruguay","URU","Infrastructure","B","Regional Industry - INF LAC","Active","2012-08-27T00:00:00.000",,,"75.0",,"75.0","UY","2022-09-02T03:05:00.000"
"2012-04-20T00:00:00.000","Conaprole WMP","Summary of Proposed Investment (Disclosure Policy 2006)","31556","Loan","COOPERATIVA NACIONAL DE PRODUCTORES DE LECHE","Uruguay","URU","Agribusiness and Forestry","B","Regional Industry - MAS LAC","Completed","2012-05-21T00:00:00.000",,,"30.0",,"30.0","UY","2022-09-02T03:05:00.000"
"2010-09-17T00:00:00.000","NBC Uruguay CL","Summary of Proposed Investment (Disclosure Policy 2006)","29934","Loan","SCOTIABANK URUGUAY S.A.","Uruguay","URU","Financial Institutions","FI","Regional Industry - FIG LAC","Completed","2010-10-20T00:00:00.000",,,"15.0",,"15.0","UY","2022-09-02T03:05:00.000"
"2008-11-24T00:00:00.000","Milagro S.A.- San Miguel Uruguay S.A.","Summary of Proposed Investment (Disclosure Policy 2006)","26890","Loan","SAN MIGUEL URUGUAY SA","Uruguay","URU","Agribusiness and Forestry","B","Gbl Ind, Manufact, Agribus &amp; Services","Completed","2008-12-29T00:00:00.000",,,"10.0",,"10.0","UY","2022-09-02T03:05:00.000"
"2006-12-27T00:00:00.000","Conaprole Exp.","Summary of Proposed Investment (Disclosure Policy 2006)","24791","Loan","COOPERATIVA NACIONAL DE PRODUCTORES DE LECHE","Uruguay","URU","Agribusiness and Forestry","B","Gbl Ind, Manufact, Agribus &amp; Services","Completed","2007-01-26T00:00:00.000",,,"30.0",,"30.0","UY","2022-09-02T03:05:00.000"
"2005-04-20T00:00:00.000","Orion","Summary of Proposed Investment (Disclosure Policy 2006)","23817","Loan","UPM S.A.","Uruguay","URU","Agribusiness and Forestry","A","Regional Industry - MAS LAC","Completed","2006-11-14T00:00:00.000",,,"70.0",,"70.0","UY","2022-09-02T03:05:00.000"
"2002-04-09T00:00:00.000","Conaprole","Summary of Proposed Investment (Disclosure Policy 2006)","11306","Loan","COOPERATIVA NACIONAL DE PRODUCTORES DE LECHE","Uruguay","URU","Agribusiness and Forestry","B","Gbl Ind, Manufact, Agribus &amp; Services","Completed","2002-05-09T00:00:00.000",,,"35.0",,"35.0","UY","2022-09-02T03:05:00.000"
"2001-04-18T00:00:00.000","Banco Montevideo","Summary of Proposed Investment (Disclosure Policy 2006)","10603","Loan","BANCO DE MONTEVIDEO S.A.","Uruguay","URU","Financial Institutions","FI","Regional Industry - FIG LAC","Completed","2001-05-21T00:00:00.000",,,"9.0","9.0","18.0","UY","2022-09-02T03:05:00.000"
"2000-05-22T00:00:00.000","Universidad de Montevideo","Summary of Proposed Investment (Disclosure Policy 2006)","9878","Loan","ASOCIACION INSTITUTO DE ESTUDIOS EMPRESARIALES DE MONTEVIDEO","Uruguay","URU","Health and Education","B","Regional Industry - MAS LAC","Completed","2000-07-05T00:00:00.000",,,"5.0",,"5.0","UY","2022-09-02T03:05:00.000"
"1995-12-18T00:00:00.000","Surinvest International Limited","Summary of Proposed Investment (Disclosure Policy 2006)","7339","Loan","Surinvest International Limited","Uruguay","URU","Financial Institutions","FI","Global Industry, Financial Markets","Completed",,,,"6.0","0.0","6.0","UY","2022-09-02T03:05:00.000"
