"date_disclosed","project_name","document_type","project_number","project_url","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_approval_date","ifc_signed_date","ifc_invested_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2022-08-26T00:00:00.000","Holland","Summary of Investment Information (AIP Policy 2012)","46471","https://disclosures.ifc.org/project-detail/SII/46471/holland",,"ELEMENTAL HOLDING SARL","Poland","POL","other","B","Regional Industry - INF ECA","Pending","2022-10-21T00:00:00.000",,,,,,,,,"PL","2022-08-30T03:05:00.000"
"2022-08-26T00:00:00.000","Uniao Quimica","Summary of Investment Information (AIP Policy 2012)","46445","https://disclosures.ifc.org/project-detail/SII/46445/uniao-quimica",,"UNIAO QUIMICA FARMACEUTICA NACIONAL SA","Brazil","BRA","other","B","Regional Industry - MAS LAC","Pending","2022-09-28T00:00:00.000",,,,,,,,,"BR","2022-08-30T03:05:00.000"
"2022-08-26T00:00:00.000","Amunet Wind IPP","Summary of Investment Information (AIP Policy 2012)","45837","https://disclosures.ifc.org/project-detail/SII/45837/amunet-wind-ipp",,"AMUNET WIND POWER COMPANY SAE","Egypt, Arab Republic of","EGT","Infrastructure","A","Regional Industry - INF Africa","Pending","2022-11-04T00:00:00.000",,,,,,,,,"EG","2022-08-30T03:05:00.000"
"2022-08-26T00:00:00.000","SCV Fund III","Summary of Investment Information (AIP Policy 2012)","46554","https://disclosures.ifc.org/project-detail/SII/46554/scv-fund-iii",,"SCV FUND MANAGEMENT B.V.","Southern Europe Region","EUR","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-10-07T00:00:00.000",,,,,,,,,,"2022-08-30T03:05:00.000"
"2022-08-22T00:00:00.000","YKL Climate","Summary of Investment Information (AIP Policy 2012)","46788","https://disclosures.ifc.org/project-detail/SII/46788/ykl-climate",,"YAPI KREDI FINANSAL KIRALAMA ANONIM ORTAKLIGI","Türkiye",,"Financial Institutions","FI-2","Regional Industry FIG MCT","Pending","2022-08-25T00:00:00.000",,,,,,,,,,"2022-08-30T03:05:00.000"
"2022-08-22T00:00:00.000","Ventius Kosovo","Summary of Investment Information (AIP Policy 2012)","46699","https://disclosures.ifc.org/project-detail/SII/46699/ventius-kosovo",,"VENTIUS INTERNATIONAL L.L.C","Kosovo","XKS","other","B","Regional Industry - MAS ECA","Pending","2022-09-23T00:00:00.000",,,,,,,,,"XK","2022-08-30T03:05:00.000"
"2022-08-18T00:00:00.000","Balfin Group","Summary of Investment Information (AIP Policy 2012)","46472","https://disclosures.ifc.org/project-detail/SII/46472/balfin-group",,"BALFIN SH.P.K.","Albania","ALB","other","B","Regional Industry - MAS ECA","Pending","2022-09-19T00:00:00.000",,,,,,,,,"AL","2022-08-30T03:05:00.000"
"2022-08-17T00:00:00.000","DCM RBRO MREL 2","Summary of Investment Information (AIP Policy 2012)","46482","https://disclosures.ifc.org/project-detail/SII/46482/dcm-rbro-mrel-2",,"RAIFFEISEN BANK SA","Romania","ROM","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Active","2022-08-03T00:00:00.000","2022-08-03T00:00:00.000","2022-08-05T00:00:00.000","2022-08-17T00:00:00.000",,,,,,"RO","2022-08-30T03:05:00.000"
"2022-08-16T00:00:00.000","GWFP Nitron 2022","Summary of Investment Information (AIP Policy 2012)","46893","https://disclosures.ifc.org/project-detail/SII/46893/gwfp-nitron-2022",,"Nitron Group Corporation","Latin America Region","LAC","Financial Institutions","B","Regional Industry - MAS LAC","Pending","2022-09-16T00:00:00.000",,,,,,,,,"33","2022-08-30T03:05:00.000"
"2022-08-15T00:00:00.000","Vertex Fund 5","Summary of Investment Information (AIP Policy 2012)","46894","https://disclosures.ifc.org/project-detail/SII/46894/vertex-fund-5",,"VERTEX VENTURES SEA MANAGEMENT PTE. LTD.","Singapore","SNG","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-09-23T00:00:00.000",,,,,,,,,,"2022-08-30T03:05:00.000"
