"country","disbursed_amount"
"Brazil","54951791689.30"
"Mexico","52099183047.60"
"India","48989528666.72"
"Indonesia","47816538848.68"
"China","45960965956.70"
"Turkiye","36371830109.90"
"Argentina","32001521342.27"
"Colombia","28337943898.50"
"Philippines","20886528323.28"
"Egypt, Arab Republic of","17640113121.20"
"Morocco","17552781740.51"
"Korea, Republic of","14918461306.79"
"Poland","14872623945.81"
"Ukraine","12868672659.67"
"Romania","12717656034.08"
"Peru","12116289677.84"
"Russian Federation","10475752289.31"
"Tunisia","9922278499.50"
"Pakistan","8647638407.74"
"Thailand","8151817580.48"
"Kazakhstan","7023091668.45"
"Jordan","6386152640.57"
"Ecuador","6064659742.89"
"Nigeria","5801053482.05"
"Serbia","5454624444.55"
"Algeria","4306515349.95"
"South Africa","4207690518.18"
"Croatia","4204373435.24"
"Uruguay","4128394847.66"
"Guatemala","3945401057.87"
"Iraq","3887404510.44"
"Chile","3848795725.45"
"Hungary","3561137211.72"
"Malaysia","3255899301.30"
"Panama","3054213857.32"
"Iran, Islamic Republic of","3032839710.57"
"Bulgaria","2972458203.49"
"Jamaica","2791758912.91"
"Azerbaijan","2783249582.83"
"Uzbekistan","2667281250.52"
"Costa Rica","2577458822.14"
"Venezuela, Republica Bolivariana de","2566346997.45"
"Cote d'Ivoire","2527477379.08"
"Dominican Republic","2447528218.06"
"Vietnam","2408313427.73"
"Angola","2244481548.86"
"El Salvador","2067309843.58"
"Paraguay","1781059050.74"
"Belarus","1742591483.78"
"Lebanon","1737947546.65"
"Bosnia and Herzegovina","1619493555.63"
"North Macedonia","1570526203.29"
"Kenya","1553812959.43"
"Cameroon","1414517750.59"
"Georgia","1358531117.11"
"Albania","1063338595.11"
"Bolivia","982742363.53"
"Portugal","973628417.79"
"Gabon","967285679.87"
"Sri Lanka","944414392.47"
"Armenia","918565291.04"
"Latvia","887526526.12"
"Zimbabwe","886002975.16"
"Japan","857041003.81"
"Botswana","802079866.64"
"Mauritius","719685767.48"
"Papua New Guinea","716056920.33"
"Honduras","690980653.04"
"Slovak Republic","596975665.27"
"Yugoslavia, former","571401374.88"
"Zambia","571129983.78"
"Czech Republic","511686256.67"
"Montenegro","450170690.67"
"Syrian Arab Republic","418619576.01"
"Australia","417730000.00"
"Spain","416303805.35"
"Lithuania","404108184.08"
"Italy","398028000.00"
"Kosovo","385645133.97"
"Greece","372340660.22"
"Tanzania","355552455.98"
"Moldova","352457701.53"
"Congo, Republic of","339486315.50"
"Cyprus","324143741.99"
"Fiji","316175155.44"
"Taiwan, China","309785175.75"
"Finland","302237035.65"
"Congo, Democratic Republic of","301515521.87"
"Slovenia","299278073.74"
"Eswatini","288274449.84"
"Trinidad and Tobago","287871179.46"
"Israel","283798551.07"
"France","250000000.00"
"Barbados","236535697.65"
"Netherlands","236451984.72"
"Nicaragua","229605030.22"
"Ghana","189719979.17"
"Singapore","179353244.55"
"Ireland","150346453.35"
"Mauritania","146000000.00"
"Norway","145000000.00"
"Oman","142310222.49"
"Liberia","141256735.44"
"Bahamas, The","139251813.54"
"Sudan","138985949.40"
"Seychelles","128145256.54"
"Senegal","126503457.43"
"Estonia","125411712.32"
"Belize","124766090.37"
"Eastern and Southern Africa","110782250.58"
"Ethiopia","108596977.22"
"Austria","104860082.57"
"Malawi","104516425.69"
"New Zealand","101545879.09"
"Western and Central Africa","91267042.62"
"Lesotho","89350715.74"
"Southern Africa","87700000.00"
"Denmark","85000000.00"
"Guyana","76211521.88"
"Belgium","76000000.00"
"Guinea","73500000.00"
"Cabo Verde","56642057.16"
"Bangladesh","54895633.38"
"Turkmenistan","52904915.09"
"Caribbean","52702010.48"
"Iceland","47014000.00"
"Uganda","42922288.63"
"St. Lucia","37853478.56"
"Chad","37360106.29"
"Mongolia","34800000.00"
"Myanmar","33123943.82"
"Madagascar","32570880.07"
"Grenada","28994587.83"
"St. Kitts and Nevis","24200934.01"
"Sierra Leone","18700000.00"
"Namibia","15074534.82"
"Timor-Leste","14953682.63"
"Luxembourg","11761983.02"
"St. Vincent and the Grenadines","9698377.29"
"Malta","6040079.57"
"Suriname","5669647.42"
"Dominica","4996043.60"
"Burundi","4800000.00"
"Antigua and Barbuda","4395977.27"
"Togo","3500000.00"
"Haiti","2600000.00"
"Mozambique","0.00"
