"country","original_principal_amount","disbursed_amount"
"Cameroon","5984451992.83","3171457497.49"
"Sao Tome and Principe","326150000.00","224194375.20"
"Cote d'Ivoire","9309688365.53","5812479723.64"
"Djibouti","704010000.00","371325022.86"
"Senegal","8424997550.31","5998420841.87"
"Madagascar","7790915547.48","5285461854.40"
"Benin","5058262050.96","2960879116.10"
"Cabo Verde","704430000.00","580500608.84"
"Guinea","3268300000.00","2592075591.34"
"Comoros","524860000.00","279444900.59"
"Mauritius","20419355.18","20419355.18"
"Togo","2537145493.75","1800347985.94"
"Burkina Faso","8374030764.41","5774508403.03"
"Congo, Republic of","1071474646.78","753224431.38"
"Chad","3480537016.64","1909639292.36"
"Central African Republic","2082177288.69","1413088183.21"
"Mauritania","2195897522.25","1645138182.98"
"Guinea-Bissau","820611647.00","617520069.31"
"Niger","8002833044.46","4588912717.23"
"Mali","5630816640.36","4476848198.13"
