"country","original_principal_amount","disbursed_amount","board_approval_date"
"India","44000000.00","40003813.27","1949-01-01T00:00:00.000"
"India","18500000.00","16720500.00","1950-01-01T00:00:00.000"
"India","31500000.00","29202888.48","1952-01-01T00:00:00.000"
"India","19500000.00","10500000.00","1953-01-01T00:00:00.000"
"India","26200000.00","23718768.83","1954-01-01T00:00:00.000"
"India","95000000.00","94945276.86","1956-01-01T00:00:00.000"
"India","137910000.00","137767599.18","1957-01-01T00:00:00.000"
"India","153000000.00","146465848.60","1958-01-01T00:00:00.000"
"India","85000000.00","78467730.53","1959-01-01T00:00:00.000"
"India","90000000.00","89311107.57","1960-01-01T00:00:00.000"
"India","125500000.00","116196264.19","1961-01-01T00:00:00.000"
"India","20000000.00","19042918.46","1962-01-01T00:00:00.000"
"India","30000000.00","26933533.91","1963-01-01T00:00:00.000"
"India","134000000.00","111212148.63","1965-01-01T00:00:00.000"
"India","30000000.00","1743018.61","1966-01-01T00:00:00.000"
"India","25000000.00","23902135.45","1967-01-01T00:00:00.000"
"India","40500000.00","38949761.73","1969-01-01T00:00:00.000"
"India","40000000.00","38825513.38","1970-01-01T00:00:00.000"
"India","60000000.00","56719562.12","1971-01-01T00:00:00.000"
"India","70000000.00","62535002.93","1973-01-01T00:00:00.000"
"India","52000000.00","52000000.00","1974-01-01T00:00:00.000"
"India","209000000.00","202807387.25","1975-01-01T00:00:00.000"
"India","350779171.67","302790687.92","1976-01-01T00:00:00.000"
"India","244000000.00","238430588.86","1977-01-01T00:00:00.000"
"India","385726659.58","241394632.52","1978-01-01T00:00:00.000"
"India","350000000.00","50000000.00","1979-01-01T00:00:00.000"
"India","555000000.00","534520021.86","1980-01-01T00:00:00.000"
"India","550000000.00","525059501.70","1981-01-01T00:00:00.000"
"India","1080300000.00","1071302342.36","1982-01-01T00:00:00.000"
"India","722400000.00","308358645.04","1983-01-01T00:00:00.000"
"India","1721400000.00","1370204345.37","1984-01-01T00:00:00.000"
"India","1924000000.00","1198865208.79","1985-01-01T00:00:00.000"
"India","1533200000.00","1313414148.41","1986-01-01T00:00:00.000"
"India","2438000000.00","1582536045.70","1987-01-01T00:00:00.000"
"India","2075000000.00","1242337360.70","1988-01-01T00:00:00.000"
"India","2126300000.00","1198324227.41","1989-01-01T00:00:00.000"
