"date_disclosed","project_name","project_number","product_line","company_name","country","industry","environmental_category","department","status","project_board_date","ifc_investment_for_loan_million_usd","total_ifc_investment_as_approved_by_board_million_usd"
"2022-08-26T00:00:00.000","Uniao Quimica","46445",,"UNIAO QUIMICA FARMACEUTICA NACIONAL SA","Brazil","other","B","Regional Industry - MAS LAC","Pending","2022-09-28T00:00:00.000",,
"2022-08-26T00:00:00.000","SCV Fund III","46554",,"SCV FUND MANAGEMENT B.V.","Southern Europe Region","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-10-07T00:00:00.000",,
"2022-08-26T00:00:00.000","Holland","46471",,"ELEMENTAL HOLDING SARL","Poland","other","B","Regional Industry - INF ECA","Pending","2022-10-21T00:00:00.000",,
"2022-08-26T00:00:00.000","Amunet Wind IPP","45837",,"AMUNET WIND POWER COMPANY SAE","Egypt, Arab Republic of","Infrastructure","A","Regional Industry - INF Africa","Pending","2022-11-04T00:00:00.000",,
"2022-08-22T00:00:00.000","YKL Climate","46788",,"YAPI KREDI FINANSAL KIRALAMA ANONIM ORTAKLIGI","Türkiye","Financial Institutions","FI-2","Regional Industry FIG MCT","Pending","2022-08-25T00:00:00.000",,
"2022-08-22T00:00:00.000","Ventius Kosovo","46699",,"VENTIUS INTERNATIONAL L.L.C","Kosovo","other","B","Regional Industry - MAS ECA","Pending","2022-09-23T00:00:00.000",,
"2022-08-18T00:00:00.000","Balfin Group","46472",,"BALFIN SH.P.K.","Albania","other","B","Regional Industry - MAS ECA","Pending","2022-09-19T00:00:00.000",,
"2022-08-17T00:00:00.000","DCM RBRO MREL 2","46482",,"RAIFFEISEN BANK SA","Romania","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Active","2022-08-03T00:00:00.000",,
"2022-08-16T00:00:00.000","GWFP Nitron 2022","46893",,"Nitron Group Corporation","Latin America Region","Financial Institutions","B","Regional Industry - MAS LAC","Pending","2022-09-16T00:00:00.000",,
"2022-08-15T00:00:00.000","Vertex Fund 5","46894",,"VERTEX VENTURES SEA MANAGEMENT PTE. LTD.","Singapore","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-09-23T00:00:00.000",,
"2022-08-11T00:00:00.000","Omni Equity","46766",,"OMNI MANAGEMENT COMPANY LTD","Latin America Region","Financial Institutions","FI-2","Global Industry, Financial Markets","Pending","2022-09-12T00:00:00.000",,
"2022-08-08T00:00:00.000","DCM TTB GreenBlue 2021","46019","Loan","TMB THANACHART BANK PUBLIC COMPANY LIMITED","Thailand","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-02-23T00:00:00.000","150.0","150.0"
"2022-08-05T00:00:00.000","Yunda Rural Agri Logistics","44901",,"YUNDA HOLDING CO., LTD.","China","Agribusiness and Forestry","B","Regional Industry - MAS Asia & Pac","Pending","2022-09-30T00:00:00.000",,
"2022-07-25T00:00:00.000","BUA Cement P1 ","45661",,"BUA CEMENT PLC","Nigeria","Manufacturing","A","Regional Industry - MAS Africa","Pending","2022-09-26T00:00:00.000",,
"2022-07-25T00:00:00.000","Korzinka","46466",,"ANGLESEY FOOD LLC","Uzbekistan","Tourism, Retail, and Property","B","Regional Industry MAS MCT","Pending","2022-09-15T00:00:00.000",,
"2022-07-22T00:00:00.000","BOP Evocabank","46617","Loan","EVOCABANK CLOSED JOINT STOCK COMPANY","Armenia","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Pending","2022-08-12T00:00:00.000","15.0","15.0"
