"fiscal_year","procurement_category","major_sector","supplier_contract_amount_usd"
"2017","Non-consulting Services","Energy and Extractives","5036.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","78136.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","18611.0"
"2017","Goods","Energy and Extractives","2677.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13025.0"
"2017","Consultant Services","Education","136.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","434237.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","16860.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","127504.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","26004.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","12880.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8832.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","405308.0"
"2017","Civil Works","Education","1450.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","61256.0"
"2017","Goods","Agriculture, Fishing and Forestry;Public Administration","439942.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","16860.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","16611.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","318514.0"
"2017","Civil Works","Transportation","4871173.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","7525.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","23185.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","58232.0"
