"date_disclosed","project_name","document_type","project_number","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2022-05-26T00:00:00.000","Chola 2022 Loan","Summary of Investment Information (AIP Policy 2012)","46715","Loan","CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED","India","IND","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-06-27T00:00:00.000",,,"150.0",,"150.0","IN","2022-09-02T03:05:00.000"
"2022-05-26T00:00:00.000","DCM Manappuram","Summary of Investment Information (AIP Policy 2012)","46651","Loan","MANAPPURAM FINANCE LIMITED","India","IND","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Active","2022-06-27T00:00:00.000",,,"100.74",,"100.74","IN","2022-09-02T03:05:00.000"
"2022-05-25T00:00:00.000","BOP Grameen ","Summary of Investment Information (AIP Policy 2012)","45403","Loan","CREDITACCESS GRAMEEN LIMITED","India","IND","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Active","2022-06-20T00:00:00.000",,,"50.0",,"50.0","IN","2022-09-02T03:05:00.000"
"2022-05-20T00:00:00.000","ONE IMPRESSION","Summary of Investment Information (AIP Policy 2012)","46826","Equity","ANYCAST TECHNOLOGY PRIVATE LIMITED","India","IND","Telecommunications, Media, and Technology","C","Disruptive Technologies and Funds","Pending","2022-06-24T00:00:00.000",,,,"4.0","4.0","IN","2022-09-02T03:05:00.000"
"2022-05-11T00:00:00.000","DCM TCHFL SB","Summary of Investment Information (AIP Policy 2012)","46494","Loan","TATA CAPITAL HOUSING FINANCE LIMITED","India","IND","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Pending","2022-06-15T00:00:00.000",,,"144.83",,"144.83","IN","2022-09-02T03:05:00.000"
"2022-05-11T00:00:00.000","DCM TCCL SLB","Summary of Investment Information (AIP Policy 2012)","45800","Loan","TATA CLEANTECH CAPITAL LIMITED","India","IND","Financial Institutions","FI-2","CF4S5 - Regional Industry - FIG Asia & Pac/FIG Inv Ops - South Asia","Pending","2022-06-15T00:00:00.000",,,"48.28",,"48.28","IN","2022-09-02T03:05:00.000"
"2022-04-27T00:00:00.000","Aadhar Debt","Summary of Investment Information (AIP Policy 2012)","46197","Loan","AADHAR HOUSING FINANCE LIMITED","India","IND","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Active","2022-05-30T00:00:00.000",,,"90.37",,"90.37","IN","2022-09-02T03:05:00.000"
"2022-04-25T00:00:00.000","India BEF IV","Summary of Investment Information (AIP Policy 2012)","46436","Equity","INDIA BUSINESS EXCELLENCE FUND IV G","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-05-31T00:00:00.000",,,,"55.0","55.0","IN","2022-09-02T03:05:00.000"
"2022-04-13T00:00:00.000","CIF-II","Summary of Investment Information (AIP Policy 2012)","43399","Equity","CREAEGIS INVESTMENT FUND-II","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-06-17T00:00:00.000",,,,"25.25","25.25","IN","2022-09-02T03:05:00.000"
"2022-04-12T00:00:00.000","ESR India","Summary of Investment Information (AIP Policy 2012)","44651","Loan","ESR INDIA INVESTMENT HOLDINGS PTE. LTD.","India","IND","other","B","Regional Industry - MAS Asia & Pac","Pending","2022-05-13T00:00:00.000",,,"99.13",,"99.13","IN","2022-09-02T03:05:00.000"
"2022-04-07T00:00:00.000","SHTF Sec II","Summary of Investment Information (AIP Policy 2012)","43916","Loan","SHTF SEC II SPV","India","IND","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-05-07T00:00:00.000",,,"149.15",,"149.15","IN","2022-09-02T03:05:00.000"
"2021-12-28T00:00:00.000","Vayana 2021","Summary of Investment Information (AIP Policy 2012)","46347","Equity","VAY NETWORK SERVICES PRIVATE LIMITED","India","IND","Financial Institutions","C","Global Industry, Financial Markets","Active","2022-01-31T00:00:00.000",,,,"8.06","8.06","IN","2022-09-02T03:05:00.000"
"2021-12-03T00:00:00.000","Zenex Animal Health India Private Limited","Summary of Investment Information (AIP Policy 2012)","45256","Equity","ZENEX ANIMAL HEALTH INDIA PRIVATE LIMITED","India","IND","other","B","Regional Industry - MAS Asia & Pac","Active","2022-01-06T00:00:00.000",,,,"16.14","16.14","IN","2022-09-02T03:05:00.000"
"2021-11-16T00:00:00.000","HIKAL III","Summary of Investment Information (AIP Policy 2012)","45374","Loan","HIKAL LIMITED","India","IND","other","B","Regional Industry - MAS Asia & Pac","Pending","2022-01-05T00:00:00.000",,,"50.0",,"50.0","IN","2022-09-02T03:05:00.000"
"2021-11-03T00:00:00.000","Crystal Crop ","Summary of Investment Information (AIP Policy 2012)","44971","Equity","CRYSTAL CROP PROTECTION LIMITED","India","IND","Manufacturing","A","Regional Industry - MAS Asia & Pac","Pending","2022-01-31T00:00:00.000",,,"0.0","14.91","14.91","IN","2022-09-02T03:05:00.000"
"2021-10-22T00:00:00.000","Waycool","Summary of Investment Information (AIP Policy 2012)","45523","Equity","WAYCOOL FOODS AND PRODUCTS PRIVATE LIMITED","India","IND","Agribusiness and Forestry","B","Disruptive Technologies and Funds","Active","2021-11-29T00:00:00.000",,,,"10.0","10.0","IN","2022-09-02T03:05:00.000"
"2021-10-08T00:00:00.000","Chalet Hotels","Summary of Investment Information (AIP Policy 2012)","44989","Loan","CHALET HOTELS LIMITED","India","IND","Tourism, Retail, and Property","B","Department Pending","Active","2021-11-11T00:00:00.000",,,"50.08",,"50.08","IN","2022-09-02T03:05:00.000"
"2021-09-13T00:00:00.000","A91 Fund II","Summary of Investment Information (AIP Policy 2012)","45858","Equity","A91 EMERGING FUND II LLP","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Active","2021-10-31T00:00:00.000",,,,"48.0","48.0","IN","2022-09-02T03:05:00.000"
"2021-08-11T00:00:00.000","KICT","Summary of Investment Information (AIP Policy 2012)","45328","Loan","KANDLA INTERNATIONAL CONTAINER TERMINAL PRIVATE LIMITED","India","IND","Infrastructure","B","Regional Industry - INF Asia & Pac","Active","2021-09-21T00:00:00.000",,,"30.84",,"30.84","IN","2022-09-02T03:05:00.000"
"2021-07-01T00:00:00.000","HDFC II","Summary of Investment Information (AIP Policy 2012)","44139","Loan","HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED","India","IND","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Active","2021-06-30T00:00:00.000",,,"250.0",,"250.0","IN","2022-09-02T03:05:00.000"
"2021-06-17T00:00:00.000","Silver","Summary of Investment Information (AIP Policy 2012)","45113","Equity","THE FEDERAL BANK LIMITED","India","IND","Financial Institutions","FI-1","Regional Industry - FIG Asia & Pac","Active","2021-06-07T00:00:00.000",,,,"43.37","43.37","IN","2022-09-02T03:05:00.000"
"2021-06-08T00:00:00.000","KIIFB Green Loan","Summary of Investment Information (AIP Policy 2012)","43776","Loan","KERALA INFRASTRUCTURE INVESTMENT FUND BOARD","India","IND","other","B","Regional Industry - INF Asia & Pac","Pending","2021-07-10T00:00:00.000",,,"145.96",,"145.96","IN","2022-09-02T03:05:00.000"
"2021-06-08T00:00:00.000","Tabreed District Cooling Company","Summary of Investment Information (AIP Policy 2012)","44700","Equity","TABREED ASIA CENTRAL COOLING COMPANY PTE. LTD.","India","IND","other","B","Regional Industry - INF Asia & Pac","Active","2021-07-22T00:00:00.000",,,,"25.0","25.0","IN","2022-09-02T03:05:00.000"
"2021-05-28T00:00:00.000","Rabo India","Summary of Investment Information (AIP Policy 2012)","44172","Loan","COOPERATIEVE RABOBANK U A","India","IND","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Hold","2021-06-28T00:00:00.000",,,"50.0",,"50.0","IN","2022-09-02T03:05:00.000"
"2021-05-20T00:00:00.000","South Asia Growth Fund II, L.P.","Summary of Investment Information (AIP Policy 2012)","39369","Equity","SOUTH ASIA GROWTH FUND II, LP","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Active","2021-06-21T00:00:00.000",,,,"30.0","30.0","IN","2022-09-02T03:05:00.000"
"2021-04-30T00:00:00.000","DFP Baring Asia Credit III","Summary of Investment Information (AIP Policy 2012)","45107","Equity","BPEA INVESTMENT MANAGERS PRIVATE LIMITED","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Active","2021-06-05T00:00:00.000",,,,"40.0","40.0","IN","2022-09-02T03:05:00.000"
"2021-04-28T00:00:00.000","Prime IV","Summary of Investment Information (AIP Policy 2012)","45228","Equity","SEABRIGHT IV, LP","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Active","2021-05-31T00:00:00.000",,,,"30.0","30.0","IN","2022-09-02T03:05:00.000"
"2021-04-20T00:00:00.000","BajajFin Debt","Summary of Investment Information (AIP Policy 2012)","45266","Loan","BAJAJ FINANCE LIMITED","India","IND","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Pending","2021-05-18T00:00:00.000",,,"150.0",,"150.0","IN","2022-09-02T03:05:00.000"
"2021-04-16T00:00:00.000","Everstone IV","Summary of Investment Information (AIP Policy 2012)","45049","Equity","EVERSTONE FUND IV","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Active","2021-05-31T00:00:00.000",,,,"60.0","60.0","IN","2022-09-02T03:05:00.000"
"2021-04-15T00:00:00.000","Medgenome","Summary of Investment Information (AIP Policy 2012)","45102","Equity","MEDGENOME INC.","India","IND","other","B","Disruptive Technologies and Funds","Active","2021-05-18T00:00:00.000",,,,"16.50","16.5","IN","2022-09-02T03:05:00.000"
"2021-04-13T00:00:00.000","Faering Capital International Growth Fund III","Summary of Investment Information (AIP Policy 2012)","45210","Equity","FAERING CAPITAL INTERNATIONAL GROWTH FUND III","India","IND","Funds","FI-2","Disruptive Technologies and Funds","Active","2021-05-15T00:00:00.000",,,,"40.0","40.0","IN","2022-09-02T03:05:00.000"
"2021-04-08T00:00:00.000","EGP India - Thar","Summary of Investment Information (AIP Policy 2012)","44816","Loan","ENEL GREEN POWER INDIA PRIVATE LIMITED","India","IND","Infrastructure","B","Regional Industry - INF Asia & Pac","Active","2021-05-20T00:00:00.000",,,"50.89",,"50.89","IN","2022-09-02T03:05:00.000"
"2021-04-07T00:00:00.000","Hero Fincorp TW ","Summary of Investment Information (AIP Policy 2012)","44200","Loan","HERO FINCORP LTD","India","IND","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Pending","2021-05-07T00:00:00.000",,,"100.0",,"100.0","IN","2022-09-02T03:05:00.000"
