"country","original_principal_amount"
"India","75916583798.56"
"Indonesia","66207300740.54"
"Brazil","64264763768.39"
"Mexico","61183978843.96"
"China","57743147142.81"
"Turkiye","47930772000.00"
"Argentina","41390853000.00"
"Colombia","31687908070.88"
"Philippines","27352694284.28"
"Morocco","23109314000.00"
"Egypt, Arab Republic of","22921484841.16"
"Ukraine","16793498577.00"
"Poland","16610600000.00"
"Peru","16096289000.00"
"Korea, Republic of","15694963844.05"
"Romania","15677050000.00"
"Russian Federation","14511100000.00"
"Pakistan","13688650000.00"
"Tunisia","11834330000.00"
"Thailand","9550482961.79"
"Kazakhstan","9086012440.00"
"Jordan","8579600000.00"
"Ecuador","8075580000.00"
"Nigeria","7493200000.00"
"Serbia","7295279507.90"
"Algeria","6339830000.00"
"Hungary","5946880000.00"
"Croatia","5415789699.99"
"South Africa","5375800000.00"
"Iraq","5204520000.00"
"Angola","5157000000.00"
"Uruguay","4992960000.00"
"Guatemala","4567610000.00"
"Chile","4494107000.00"
"Malaysia","4292672744.43"
"Panama","4020590000.00"
"Uzbekistan","3795530000.00"
"Iran, Islamic Republic of","3553100000.00"
"Azerbaijan","3479300000.00"
"Vietnam","3457790000.00"
"Dominican Republic","3383440000.00"
"Bulgaria","3351565000.00"
"Venezuela, Republica Bolivariana de","3328400000.00"
"Lebanon","3250330000.00"
"Costa Rica","3207770500.00"
"El Salvador","3192685000.00"
"Cote d'Ivoire","3062000000.00"
"Jamaica","3000100000.00"
"Cameroon","2567100000.00"
"Georgia","2391800000.00"
"Paraguay","2387671000.16"
"North Macedonia","2334510123.83"
"Belarus","2196420000.00"
"Bosnia and Herzegovina","2150816697.32"
"Kenya","1986214900.00"
"Sri Lanka","1856710000.00"
"Albania","1722160000.00"
"Yugoslavia, former","1672594835.17"
"Portugal","1391486308.30"
"Bolivia","1343908794.77"
"Botswana","1292663901.44"
"Gabon","1221500000.00"
"Armenia","1124900000.00"
"Latvia","984615000.00"
"Zimbabwe","939300000.00"
"Papua New Guinea","866620000.00"
"Japan","862900000.00"
"Mauritius","848116827.96"
"Montenegro","817443054.60"
"Honduras","717250000.00"
"Zambia","635350000.00"
"Czech Republic","626000000.00"
"Syrian Arab Republic","613200000.00"
"Moldova","588680000.00"
"Slovak Republic","574520000.00"
"Congo, Republic of","491700000.00"
"Greece","490800000.00"
"Lithuania","490790000.00"
"Spain","478700000.00"
"Cyprus","460743240.17"
"Australia","417730000.00"
"Eswatini","411460295.99"
"Trinidad and Tobago","404600000.00"
"Italy","399628000.00"
"Kosovo","385645133.96"
"Slovenia","371647501.50"
"Tanzania","361030400.00"
"Fiji","354850000.00"
"Congo, Democratic Republic of","330000000.00"
"Taiwan, China","329400000.00"
"Finland","316779464.39"
"Israel","284500000.00"
"Barbados","253350000.00"
"France","250000000.00"
"Netherlands","244000000.00"
"Mongolia","233800000.00"
"Nicaragua","233550000.00"
"Ghana","190500000.00"
"Singapore","181300000.00"
"Sudan","166000000.00"
"Senegal","162950000.00"
"Belize","162400000.00"
"Ireland","158309733.80"
"Oman","157050000.00"
"Seychelles","156700000.00"
"Liberia","155950000.00"
"Lesotho","155000000.00"
"Estonia","150700000.00"
"Mauritania","146000000.00"
"Norway","145000000.00"
"Bahamas, The","142800000.00"
"New Zealand","126800000.00"
"Malawi","124100000.00"
"Eastern and Southern Africa","110955000.00"
"Turkmenistan","109500000.00"
"Ethiopia","108600000.00"
"Austria","106336428.57"
"Western and Central Africa","93600000.00"
"Southern Africa","87700000.00"
"Denmark","85000000.00"
"Caribbean","83000000.00"
"Guyana","79950000.00"
"Belgium","76000000.00"
"Guinea","75200000.00"
"Cabo Verde","62000000.00"
"Suriname","58000000.00"
"Bangladesh","54895633.38"
"Iceland","47014000.00"
"Uganda","43199700.00"
"Grenada","40198161.00"
"St. Lucia","40146161.00"
"Chad","39500000.00"
"Myanmar","33350000.00"
"Madagascar","32850000.00"
"Mozambique","30000000.00"
"St. Kitts and Nevis","27319322.00"
"Sierra Leone","18700000.00"
"Timor-Leste","15000000.00"
"Namibia","15000000.00"
"St. Vincent and the Grenadines","14642161.00"
"Antigua and Barbuda","12000000.00"
"Luxembourg","12000000.00"
"Dominica","7760000.00"
"Malta","7500000.00"
"Burundi","4800000.00"
"Togo","3500000.00"
"Haiti","2600000.00"
