"document_name","group","document_type","url","project_name","project_id","trust_fund_grant","date","solar_year"
"Project Preparation Paper","Project Documents","Project Preparation Paper","http://artf.af/images/uploads/home-slider/PPG_Request_ARCP_April_30,_2013.pdf",,"P145443",,"2013-05-07T00:00:00.000","1392"
"Project Preparation Paper","Project Documents","Project Preparation Paper","http://artf.af/images/uploads/home-slider/PPG_Request_NHRP_April_29,_2013.pdf",,"P132944",,"2013-05-07T00:00:00.000","1392"
"ARTF Financial Status Report",,"Financial Status Report","http://artf.af/images/uploads/home-slider/ARTF_Financial_Status_Memo_April_20_2013.pdf",,,,"2013-04-20T00:00:00.000","1392"
"Summary of Discussion April 13, 2013","Strategy Group","Summary of Discussion","http://artf.af/images/uploads/Summary_of_Discussion_April_13,_2013.pdf",,,,"2013-04-13T00:00:00.000","1392"
"Steering Committe Meeting April 6 2013 Summary of Discussion","Steering Committee","Summary of Discussion","http://artf.af/images/uploads/Steering_Committe_Meeting_April_6_2013_Summary_of_Discussion.pdf",,,,"2013-04-06T00:00:00.000","1392"
"Afghanistan - Emergency Power Rehabilitation
            Project : P083908 - Implementation Status Results Report :
            Sequence 19","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/03/25/1_0/Rendered/PDF/Afghanistan0000Report000Sequence019.pdf","Rehabilitation of Naghlu Hydropower Plant","P083908","TF054718","2013-03-25T00:00:00.000","1392"
"Afghanistan - ARTF -
            Kabul-Aybak/Mazar-e-Sharif Power Project : P106654 -
            Implementation Status Results Report : Sequence 11","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/03/25/1_0/Rendered/PDF/Afghanistan0000Report000Sequence011.pdf","Kabul-Aybak/Mazar-e-Sharif Power Project","P106654","TF091120","2013-03-25T00:00:00.000","1392"
"ARTF Financial Status Report",,"Financial Status Report","http://artf.af/images/uploads/home-slider/ARTF_Financial_Status_Memo_March_20,_2013.pdf",,,,"2013-03-20T00:00:00.000","1392"
"Letter Solar Year 1390 Audit Reports of ARTF financed Activities","Audit","Audit Reports","http://artf.af/images/uploads/home-slider/Letter_Solar_Year_1390_Audit_Reports_of_ARTF-financed_Activities.pdf",,,,"2013-03-14T00:00:00.000","1392"
"Deliverables Status Update (March 2013)",,"Status Update","http://www.artf.af/images/uploads/Status_Update_March_2013.pdf",,,,"2013-03-04T00:00:00.000","1392"
"ARTF MC Meeting Minutes February 19 2013","Management Committee","Meeting Minutes","http://artf.af/images/uploads/ARTF_MC_Meeting_Minutes_February_19_2013.pdf",,,,"2013-02-19T00:00:00.000","1392"
"Project Preparation Paper","Project Documents","Project Preparation Paper","http://artf.af/images/uploads/home-slider/PPG_Request_Kabul_Municipal_Development_Program_February_10_2013.pdf","Kabul Municipal Development Program","P125597","TF014211","2013-02-19T00:00:00.000","1392"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_Feb_18,_2013.pdf",,,,"2013-02-18T00:00:00.000","1392"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_Jan_19,_2013.pdf",,,,"2013-01-19T00:00:00.000","1392"
"ARTF MC Meeting Minutes January 15 2013","Management Committee","Meeting Minutes","http://artf.af/images/uploads/ARTF_MC_Meeting_Minutes_January_15_2013.pdf",,,,"2013-01-15T00:00:00.000","1392"
"Afghanistan - ARTF -
            Kabul-Aybak/Mazar-e-Sharif Power Project : P106654 -
            Implementation Status Results Report : Sequence 10","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/01/17/1_0/Rendered/PDF/Afghanistan0000Report000Sequence010.pdf","Kabul-Aybak/Mazar-e-Sharif Power Project","P106654","TF091120","2012-12-30T00:00:00.000","1392"
"Afghanistan - Microfinance for Poverty
            Reduction Project","Project Documents","Implementation Completion and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2013/04/18/000333037_20130418102248/Rendered/PDF/ICR17560P091260C0disclosed040160130.pdf","Microfinance for Poverty Reduction","P091264","TF052081","2012-12-26T00:00:00.000","1392"
"Afghanistan - Emergency Power Rehabilitation
            Project : P083908 - Implementation Status Results Report :
            Sequence 18","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/12/23/1_0/Rendered/PDF/Afghanistan0000Report000Sequence018.pdf","Rehabilitation of Naghlu Hydropower Plant","P083908","TF054718","2012-12-23T00:00:00.000","1392"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_Dec_20,_2012.pdf",,,,"2012-12-20T00:00:00.000","1391"
"Strategy Group Minutes December 16 2012","Strategy Group","Meeting Minutes","http://artf.af/images/uploads/Strategy_Group_Minutes_December_16_2012.pdf",,,,"2012-12-16T00:00:00.000","1391"
"Afghanistan - ARTF - Recurrent and Capital
            Costs : P091258 - Implementation Status Results Report :
            Sequence 09","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/12/15/1_0/Rendered/PDF/Afghanistan0000Report000Sequence009.pdf","Recurrent & Capital Costs Component","P091258","TF050577","2012-12-15T00:00:00.000","1391"
"Official Documents- Sixteenth Amendment to
            the Letter Agreement for Australia to TF050576","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/04/03/1_0/Rendered/PDF/Official0Docum0ustralia0to0TF050576.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-12-12T00:00:00.000","1391"
"ARTF MC Meeting Minutes December 11 2012","Management Committee","Meeting Minutes","http://artf.af/images/uploads/ARTF_MC_Meeting_Minutes_December_11_2012.pdf",,,,"2012-12-11T00:00:00.000","1391"
