"fiscal_year","borrower_country","project_name","procurement_category","procurement_method","major_sector","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2021","Brazil","Tocantins Integrated Sustainable Regional Development","Civil Works","Request for Bids","Education;Transportation;Public Administration","Execu&#231;&#227;o da obra de Recupera&#231;&#227;o de Desmoronamento de Taludes e Eros&#245;es na Rodovia TO-130, trechos Santa Tereza/Trevo TO-255 e Trevo TO-255/Ponte Alta do Tocantins.","2021-01-08T00:00:00.000","CONSTRUTORA BRASIL CENTRAL - CBC","Federative Republic of Brazil","BR","1036118508.0","632"
"2022","Brazil","Cear&#225; Water Security and Governance","Civil Works","Request for Bids","Water, Sanitation and Waste Management","Contrata&#231;&#227;o dos Estudos, Planos, Design (Projeto Executivo) e Execu&#231;&#227;o das Obras do Sistema Adutor Banabui&#250; &#8211; Sert&#227;o Central (SAB &#8211; SC), pertencente ao Projeto Malha D&#8217;&#225;gua.","2022-02-21T00:00:00.000","CONSTRUTORA PASSARELLI LTDA","Federative Republic of Brazil","BR","116340557.0","BR-SRH-CE-01-CW-RFB-2"
"2021","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Proposals","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Contrato Turnkey para Sistema de Esgotamento Sanit&#225;rio no Munic&#237;pio de Vila Velha, em Grande Terra Vermelha (Lote I).","2021-03-09T00:00:00.000","CONSÓRCIO DBO-ESS","Federative Republic of Brazil","BR","41820523.0","CESAN 2.B5 - LOTE 1"
"2021","Brazil","Integrated Landscape Management in the Cerrado Biome Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","Contrata&#231;&#227;o de CONSULTORIA INDIVIDUAL para a presta&#231;&#227;o de servi&#231;os de Supervis&#227;o nas a&#231;&#245;es de ATeG em propriedades rurais vinculadas ao Projeto FIP Paisagem, no estado do Mato Grosso.","2021-03-02T00:00:00.000","Individual Consultant","Federative Republic of Brazil","BR","41219014.0","BR-SENAR-169059-CS-INDV"
"2021","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Proposals","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Contrato Turnkey para Sistema de Esgotamento Sanit&#225;rio no Munic&#237;pio de Vila Velha, em Ara&#231;&#225;s (Lote II).","2021-03-09T00:00:00.000","CONSÓRCIO FPC-FONTE GRANDE","Federative Republic of Brazil","BR","36263679.0","CESAN 2.B5 - LOTE 2"
"2019","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Obras de Implanta&#231;&#227;o e Complementa&#231;&#227;o do Sistema de Esgotamento sanit&#225;rio de Bandeirantes, Cariacica Sede e Nova rosa da Penha (Lote I)","2019-03-01T00:00:00.000","CONSÓRCIO ECS CARIACICA: ENGEFORM - CTL - SALIAH","Federative Republic of Brazil","BR","36184092.0","CESAN-2B10"
"2019","Brazil","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Consultant Services","Individual Consultant Selection","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","Contrato 47/2018","2018-07-17T00:00:00.000","Individual Consultant","Federative Republic of Brazil","BR","32452351.0","BR-SEPLAN - AC-61503-CS-INDV"
"2017","Brazil","Brazil Pernambuco Sustainable Water","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Execution of the Sanitary Sewage System in the County Seat of Santa Cruz do Capibaribe (PE)","2017-03-03T00:00:00.000","CONSORCIO GEL/ACCIONA","Federative Republic of Brazil","BR","30362582.0","ICB 001/2015 SANTA CRUZ DO CAPIB"
"2017","Brazil","Brazil Pernambuco Sustainable Water","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Implantacao do Sistema de Esgotamento Sanitario da Sede do Municipio de Santa Cruz do Capibaribe - PE","2017-03-03T00:00:00.000","ACCIONA ÁGUA","Federative Republic of Brazil","BR","28417618.0","BR-SEPLAG-PE-83382-CW-RFB"
"2018","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Termo de contrato assinado entre o Estado da Bahia e a Construtora Jurema SA, Licita&#231;&#227;o P&#250;blica Internacional (ICB) para execu&#231;&#227;o de obras de manuten&#231;&#227;o e recupera&#231;&#227;o de rodovias, grupo IV.","2017-11-21T00:00:00.000","CONSTRUTORA JUREMA LTDA","Federative Republic of Brazil","BR","27214573.0","BR-SEINFRA-BA-18672-CW-RFB"
"2018","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Termo do contrato firmado em 16/11/2017 entre o Estado da Bahia e a Construtora Jurema SA, para execu&#231;&#227;o de obras de restaura&#231;&#227;o e manuten&#231;&#227;o de rodovias, grupo III.","2017-11-16T00:00:00.000","CONSTRUTORA JUREMA LTDA","Federative Republic of Brazil","BR","24903775.0","BR-SEINFRA-BA-18670-CW-RFB"
"2020","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Lote 1 - Obras de Reabilita&#231;&#227;o e Manuten&#231;&#227;o nas Rodovias com base no desempenho, assinado com o Cons&#243;rcio SVC/Paviservice, proveniente da ICB-001/2019. Total de 412,85km.","2020-02-17T00:00:00.000","PAVISERVICE SERVIÇOS DE PAVIMENTAÇÃO LTDA","Federative Republic of Brazil","BR","24745696.0","1705733"
"2018","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Termo assinado entre o Estado da Bahia e a Construtora Jurema SA, execu&#231;&#227;o de obras de restaura&#231;&#227;o e manuten&#231;&#227;o rodovi&#225;ria, grupo I.","2017-11-16T00:00:00.000","CONSTRUTORA JUREMA LTDA","Federative Republic of Brazil","BR","23332157.0","BR-SEINFRA-BA-18665-CW-RFB"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","EMPRESA 1","2017-12-27T00:00:00.000","CG CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","21963730.0","84952/2016"
"2018","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Termo do contrato assinado entre o Estado da Bahia e a Construtora Caiap&#243; S/A, para execu&#231;&#227;o das obras de restaura&#231;&#227;o e manuten&#231;&#227;o rodovi&#225;ria, grupo II.","2017-11-21T00:00:00.000","CONSTRUTORA CAIAPO LTDA","Federative Republic of Brazil","BR","20353417.0","BR-SEINFRA-BA-18669-CW-RFB"
