"incident_date","incident_reported_date","category","stat","stat_desc","address","street","city","zip","incident_id","reporting_district","seq","gang_related","unit_id","unit_name","longitude","latitude","part_category","mapped_location"
"2021-05-10T06:19:00.000","2021-05-10T00:00:00.000","WARRANTS","285","WARRANTS: Felony, Out Of County","WEST HOLLYWOOD, CA",,"WEST HOLLYWOOD",,"921-01572-5120","5120","1572","false","CA0190026","INMATE RECEPTION CENTR",,,"2",
"2021-08-16T01:45:00.000","2021-08-16T00:00:00.000","VANDALISM","261","VANDALISM MISD","7500 NORTON AVE, WEST HOLLYWOOD, CA","7500 NORTON AVE","WEST HOLLYWOOD",,"921-03380-0974","974","3380","false","CA0190009","WEST HOLLYWOOD","-118.353","34.091","2","POINT (-118.353 34.091)"
"2021-06-01T06:54:00.000","2021-06-01T00:00:00.000","WARRANTS","285","WARRANTS: Felony, Out Of County","WEST HOLLYWOOD, CA",,"WEST HOLLYWOOD",,"921-01806-5120","5120","1806","false","CA0190026","INMATE RECEPTION CENTR",,,"2",
"2021-03-02T17:12:00.000","2021-04-08T00:00:00.000","SEX OFFENSES FELONIES","122","EXPLOITATION OF CHILD VIA INTERNET","WEST HOLLYWOOD, CA",,"WEST HOLLYWOOD",,"021-00322-3200","3200","322","false","CA0190080","HUMAN TRAFFICKING TASK FORCE",,,"2",
"2021-05-14T16:30:00.000","2021-05-14T00:00:00.000","VANDALISM","261","VANDALISM MISD","9100 PHYLLIS ST, WEST HOLLYWOOD, CA 90069","9100 PHYLLIS ST","WEST HOLLYWOOD","90069","921-01848-0977","977","1848","false","CA0190009","WEST HOLLYWOOD","-118.39","34.088","2","POINT (-118.39 34.088)"
"2021-08-07T01:30:00.000","2021-08-07T00:00:00.000","VANDALISM","263","VANDALISM FELONY","900 HAMMOND ST, WEST HOLLYWOOD, CA 90069","900 HAMMOND ST","WEST HOLLYWOOD","90069","921-03231-0977","977","3231","false","CA0190009","WEST HOLLYWOOD","-118.387","34.087","2","POINT (-118.387 34.087)"
"2021-08-27T05:16:00.000","2021-08-31T00:00:00.000","VANDALISM","263","VANDALISM FELONY","600 WEST KNOLL DR, WEST HOLLYWOOD, CA","600 WEST KNOLL DR","WEST HOLLYWOOD",,"921-03619-0972","972","3619","false","CA0190009","WEST HOLLYWOOD","-118.377","34.082","2","POINT (-118.377 34.082)"
"2021-06-24T17:30:00.000","2021-06-25T00:00:00.000","LARCENY THEFT","86","GRAND THEFT: Bicycles","900 N SPAULDING AVE, WEST HOLLYWOOD, CA 90069","900 N SPAULDING AVE","WEST HOLLYWOOD","90069","921-02463-0974","974","2463","false","CA0190009","WEST HOLLYWOOD","-118.357","34.088","1","POINT (-118.357 34.088)"
"2021-04-28T11:21:00.000","2021-04-28T00:00:00.000","WARRANTS","285","WARRANTS: Felony, Out Of County","WEST HOLLYWOOD, CA",,"WEST HOLLYWOOD",,"921-01441-5120","5120","1441","false","CA0190026","INMATE RECEPTION CENTR",,,"2",
"2021-08-30T21:45:00.000","2021-08-30T00:00:00.000","ROBBERY","47","ROBBERY, STRONG-ARM: Other","9200 SUNSET BLVD, WEST HOLLYWOOD, CA 90069","9200 SUNSET BLVD","WEST HOLLYWOOD","90069","921-03609-0986","986","3609","false","CA0190009","WEST HOLLYWOOD","-118.392","34.089","1","POINT (-118.392 34.089)"
