"cd","group_1","group_2","group_3","group_4","seifa_2006_irsd_score","seifa_2006_irsd_decile","usual_resident_population_all_ages","state_suburb_code","suburb"
"8013604","63.84","2.52","3.77","29.87","695","1","366","81051","Braddon"
"8014903","48.10","4.11","14.87","32.91","864","1","442","81421","Red Hill"
"8012305","44.44","6.76","27.54","21.26","851","1","235","81036","Belconnen"
"8020201","41.56","21.43","21.43","15.58","836","1","186","81461","Symonston"
"8020202","39.11","25.14","24.02","11.73","867","1","283","81461","Symonston"
"8023501","30.21","18.23","21.35","30.21","871","1","243","81381","Oaks Estate"
"8013602","13.41","1.54","50.11","34.95","660","1","484","81051","Braddon"
"8021205","41.03","8.06","19.05","31.87","899","2","342","81311","Lyons"
"8013804","36.14","5.96","19.65","38.25","898","2","341","81426","Reid"
"8011103","35.29","16.11","25.83","22.76","927","2","581","81076","Charnwood"
"8022511","34.11","9.36","30.77","25.75","888","2","430","81486","Wanniassa"
"8015004","33.09","10.14","21.50","35.27","905","2","634","81356","Narrabundah"
"8014402","32.30","4.66","15.84","47.20","897","2","374","81216","Griffith"
"8013802","27.04","2.28","14.66","56.03","920","2","354","81426","Reid"
"8010122","23.08","15.38","42.31","19.23","879","2","32","81236","Harrison"
"8011101","35.04","12.25","25.64","27.07","937","3","508","81076","Charnwood"
"8023001","32.96","15.82","27.12","24.11","957","3","761","81086","Chisholm"
"8022304","32.33","12.69","27.79","27.19","956","3","443","81286","Kambah"
"8013504","29.16","7.97","20.73","42.14","950","3","664","81011","Ainslie"
"8012302","28.30","7.17","21.51","43.02","953","3","328","81036","Belconnen"
"8011701","27.65","10.34","25.58","36.43","954","3","557","81156","Florey"
"8011903","27.60","8.85","22.40","41.15","962","3","466","81241","Hawker"
"8014407","26.03","3.42","21.58","48.97","961","3","341","81216","Griffith"
"8011405","24.50","10.95","28.82","35.73","964","3","571","81256","Holt"
"8022403","17.07","14.63","38.68","29.62","960","3","414","81286","Kambah"
"8022001","15.23","11.52","32.92","40.33","936","3","426","81491","Waramanga"
"8011804","5.88","6.86","36.27","50.98","964","3","519","81391","Page"
"8020701","30.00","10.32","21.29","38.39","972","4","458","81476","Torrens"
"8015002","28.93","8.20","20.05","42.82","970","4","624","81356","Narrabundah"
"8023101","28.89","15.56","30.93","24.63","966","4","753","81431","Richardson"
"8011602","28.44","12.62","28.06","30.89","988","4","735","81446","Scullin"
"8023902","28.40","18.02","25.93","27.65","981","4","592","81471","Theodore"
"8024301","28.36","10.95","24.13","36.57","992","4","503","81046","Bonython"
"8013006","27.09","8.13","21.22","43.57","966","4","504","81306","Lyneham"
"8022409","26.68","17.79","31.01","24.52","984","4","568","81286","Kambah"
"8022306","26.34","13.44","25.81","34.41","984","4","270","81286","Kambah"
"8011104","26.16","14.24","33.14","26.45","966","4","487","81076","Charnwood"
"8011605","25.73","6.43","29.24","38.60","981","4","232","81446","Scullin"
"8022312","24.23","10.31","30.41","35.05","966","4","494","81286","Kambah"
"8012203","24.16","9.77","25.04","41.03","984","4","858","81326","Macquarie"
"8011102","22.95","19.67","33.61","23.77","992","4","691","81076","Charnwood"
"8015001","21.97","8.17","20.28","49.58","981","4","532","81356","Narrabundah"
"8010604","20.50","16.22","30.30","32.98","969","4","788","81281","Kaleen"
"8013404","20.50","7.30","27.02","45.19","992","4","881","81116","Dickson"
"8021302","20.19","11.19","31.14","37.47","988","4","660","81506","Weston"
"8013008","20.11","11.11","29.10","39.68","993","4","269","81306","Lyneham"
"8011402","18.07","18.80","28.67","34.46","981","4","627","81256","Holt"
"8012307","17.59","6.23","36.43","39.75","986","4","807","81036","Belconnen"
"8021307","12.28","16.37","34.50","36.84","990","4","363","81506","Weston"
"8024101","31.03","10.34","25.86","32.76","1016","5","85","89999","Unclassified ACT"
"8012902","26.67","5.33","21.33","46.67","1012","5","304","81371","O'Connor"
"8011805","25.58","9.63","29.57","35.22","997","5","435","81391","Page"
"8013203","25.39","9.89","22.70","42.02","994","5","647","81496","Watson"
"8023102","23.85","19.11","31.30","25.75","1003","5","1048","81431","Richardson"
"8011401","23.40","16.38","33.40","26.81","1004","5","706","81256","Holt"
"8021802","23.37","9.80","28.14","38.69","1010","5","554","81436","Rivett"
"8010519","22.84","15.88","26.46","34.82","994","5","507","81361","Ngunnawal"
"8024409","22.22","16.03","32.48","29.27","1006","5","665","81201","Gordon"
"8015003","21.56","10.58","26.35","41.52","999","5","660","81356","Narrabundah"
"8023803","21.48","14.56","32.70","31.26","1011","5","564","81061","Calwell"
"8011706","21.04","12.42","31.86","34.67","1015","5","689","81156","Florey"
"8011702","20.44","12.40","33.17","34.00","1013","5","805","81156","Florey"
"8013403","20.10","9.57","26.32","44.02","1015","5","327","81116","Dickson"
"8015005","19.27","7.51","26.01","47.21","1001","5","822","81356","Narrabundah"
"8022510","19.20","13.18","29.80","37.82","1007","5","469","81486","Wanniassa"
"8011202","18.58","17.71","35.07","28.65","1006","5","775","81321","Macgregor"
"8011105","18.49","18.49","33.61","29.41","1001","5","163","81076","Charnwood"
"8012308","16.92","6.94","29.50","46.64","1011","5","519","81036","Belconnen"
"8013505","16.67","6.10","26.29","50.94","999","5","715","81011","Ainslie"
"8013104","16.49","7.92","32.33","43.25","1014","5","595","81121","Downer"
"8010107","12.12","18.18","48.48","21.21","994","5","52","89999","Unclassified ACT"
"8022202","11.25","14.17","38.33","36.25","999","5","468","81151","Fisher"
"8023104","25.70","16.37","33.10","24.82","1026","6","770","81431","Richardson"
"8021002","24.51","6.61","31.13","37.74","1024","6","280","81411","Phillip"
"8011404","24.16","17.03","30.10","28.71","1019","6","740","81256","Holt"
"8011704","23.93","10.58","29.45","36.04","1032","6","894","81156","Florey"
"8022507","23.78","14.69","33.04","28.50","1019","6","774","81486","Wanniassa"
"8022311","23.08","13.79","28.38","34.75","1027","6","517","81286","Kambah"
"8013009","22.75","8.73","25.93","42.59","1018","6","533","81306","Lyneham"
"8022309","22.58","14.78","28.49","34.14","1016","6","539","81286","Kambah"
"8023602","21.49","19.48","28.08","30.95","1026","6","493","81276","Isabella Plains"
"8011802","21.16","12.03","29.88","36.93","1026","6","661","81391","Page"
"8013007","20.70","8.21","27.01","44.08","1021","6","826","81306","Lyneham"
"8010807","20.24","15.43","30.06","34.27","1027","6","727","81136","Evatt"
"8013105","20.00","9.41","28.47","42.12","1027","6","654","81121","Downer"
