"month","total_traffic_mb"
"Nov-14","391859.99"
"Dec-14","241016.31"
"Feb-15","587543.41"
"Mar-15","596553.23"
"Apr-15","1538040.63"
"May-15","1352103.87"
"Jun-15","1152795.32"
"Jul-15","1382327.56"
"Aug-15","1063870.94"
"Sep-15","1505613.98"
"Oct-15","2420383.45"
"Nov-15","2766406.91"
"Dec-15","5226353.91"
"Jan-16","5747448.85"
"Feb-16","5534756.94"
"Mar-16","5018056.98"
"Apr-16","5764204.31"
"May-16","5682107.00"
"Jun-16","6249824.72"
"Jul-16","5223420.33"
"Aug-16","4843916.37"
"Sep-16","4465326.18"
"Oct-16","5138699.22"
"Nov-16","4952293.75"
"Feb-17","5587888.90"
"Mar-17","5312781.33"
"Apr-17","5087457.64"
"May-17","5077228.41"
"Jun-17","4747738.52"
"Jul-17","4997496.53"
"Aug-17","4883601.85"
"Sep-17","4374082.90"
"Oct-17","5093901.34"
"Nov-17","5258953.05"
"Dec-17","4716814.38"
"Jan-18","4727890.06"
"Feb-18","5192315.89"
"Mar-18","5050928.26"
"Apr-18","5220018.95"
"May-18","4610719.26"
"Jun-18","4263556.20"
"Jul-18","4426618.23"
"Aug-18","4164040.43"
"Sep-18","4093293.16"
"Oct-18","4134155.31"
"Nov-18","3966178.90"
"Dec-18","3666024.59"
"Jan-19","3437116.55"
"Feb-19","3932151.19"
"Mar-19","3810932.64"
"Apr-19","3635260.30"
"May-19","3193680.18"
"Jun-19","3061636.59"
"Jul-19","2920146.65"
"Aug-19","2788451.38"
"Sep-19","2929673.67"
"Oct-19","3520666.43"
"Nov-19","3241292.95"
"Dec-19","3224779.37"
"Jan-20","2625490.14"
"Feb-20","4272199.59"
"Mar-20","2921516.05"
"Apr-20","1596541.06"
"May-20","2445789.99"
"Jun-20","2620267.74"
"Jul-20","2916095.72"
"Aug-20","3153651.53"
"Sep-20","3294546.43"
"Oct-20","3486436.21"
"Nov-20","3774198.55"
"Dec-20","3377549.90"
"Jan-21","3647675.30"
"Feb-21","4092263.54"
"Mar-21","4022130.04"
"Apr-21","3997154.72"
"May-21","4183181.94"
"Jun-21","3822410.31"
"Jul-21","3571338.18"
"Aug-21","2855244.48"
"Sep-21","2423366.87"
"Oct-21","2868445.53"
"Nov-21","3524723.85"
"Dec-21","1594080.06"
"Jan-22","2103832.25"
"Feb-22","3634258.94"
"Mar-22","3841847.14"
"Apr-22","3686791.79"
