"the_geom","id","stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","loc_type","wheelchair"
"POINT (149.112478 -35.426308)","0","1493",,"Clift Cr opp Heagney Cr","-35.426308","149.112478",,,"0","0"
"POINT (149.12331 -35.187759)","0","5084",,"Burgmann Anglican School Valley Campus","-35.187759","149.12331",,,"0","0"
"POINT (149.04386399999999 -35.329814)","0","2121",,"Dixon Dr after Hyndes Cr","-35.329814","149.043864",,,"0","0"
"POINT (149.045523 -35.342385)","0","2438",,"Carbeen St before Hindmarsh Dr","-35.342385","149.045523",,,"0","0"
"POINT (149.101939 -35.435978999999996)","0","1080",,"Outtrim Av after Gurr St","-35.435979","149.101939",,,"0","0"
"POINT (149.069041 -35.239982000000005)","0","5517",,"Belconnen Interchange Arrivals","-35.239982","149.069041",,"https://www.transport.act.gov.au/__data/assets/pdf_file/0010/1244197/TC_station_community.pdf","0","0"
"POINT (149.135261 -35.32578)","0","3294",,"Captain Cook Cr before Barrallier St","-35.32578","149.135261",,,"0","0"
"POINT (149.01140800000002 -35.218777)","0","4328",,"Southern Cross Dr opp O'Reilly St","-35.218777","149.011408",,,"0","0"
"POINT (149.087812 -35.34424)","0","2709",,"Woden Interchange Plt 6","-35.34424","149.087812",,"https://www.transport.act.gov.au/__data/assets/pdf_file/0016/1244203/TC_station_woden.pdf","0","0"
"POINT (149.038728 -35.189083000000004)","0","4223",,"Shakespeare Cr before 2nd Dunbar St","-35.189083","149.038728",,,"0","0"
"POINT (149.07343999999998 -35.215084999999995)","0","4130",,"Dumas St before 2nd Vagabond Cr","-35.215085","149.07344",,,"0","0"
"POINT (149.138344 -35.320037)","0","2328",,"Canberra Av after Giles St","-35.320037","149.138344",,,"0","0"
"POINT (149.060075 -35.258956)","0","4638",,"Templeton St opp Ellis St","-35.258956","149.060075",,,"0","0"
"POINT (149.12276200000002 -35.250488)","0","3346",,"Wattle St after Dyson St","-35.250488","149.122762",,,"0","0"
"POINT (149.025002 -35.220281)","0","4397",,"Southern Cross Dr before Dalley Cr","-35.220281","149.025002",,,"0","0"
"POINT (149.01191699999998 -35.222074)","0","4954",,"Beaurepaire Cr after 1st Armstrong Cr","-35.222074","149.011917",,,"0","0"
"POINT (149.111211 -35.22948)","0","4022",,"Maribyrnong Av opp Warrego Cct","-35.22948","149.111211",,,"0","0"
"POINT (149.109038 -35.359443)","0","2105",,"Ngunawal Dr before Kareelah Vsta","-35.359443","149.109038",,,"0","0"
"POINT (149.084212 -35.345915999999995)","0","2679",,"Westfield Woden Corinna St","-35.345916","149.084212",,,"0","0"
"POINT (149.063691 -35.20486)","0","4080",,"Baddeley Cr after Colborne Pl","-35.20486","149.063691",,,"0","0"
"POINT (149.089227 -35.400526)","0","1467",,"Wheeler Cr before Hanna St","-35.400526","149.089227",,,"0","0"
"POINT (149.13061100000002 -35.279067)","0","3420",,"City Interchange Plt 9","-35.279067","149.130611",,,"0","0"
"POINT (149.10755600000002 -35.402691)","0","1167",,"Bugden Av before Sternberg Cr","-35.402691","149.107556",,,"0","0"
"POINT (149.11901699999999 -35.272968)","0","4528",,"ANU Barry Dr","-35.272968","149.119017",,,"0","0"
"POINT (149.124282 -35.241162)","0","3128",,"North Lyneham Shops Cossington Smith Cr","-35.241162","149.124282",,,"0","0"
"POINT (149.113995 -35.266756)","0","3106",,"Miller St after Hobbs St","-35.266756","149.113995",,,"0","0"
"POINT (149.139125 -35.169984)","0","6127",,"Horse Park Dr opp Katherine Av","-35.169984","149.139125",,,"0","0"
"POINT (149.149372 -35.185643)","0","6145",,"Anthony Rolfe Av before Rosanna St","-35.185643","149.149372",,,"0","0"
"POINT (149.154216 -35.283204)","0","2261",,"Fairbairn Av before Creswell St","-35.283204","149.154216",,,"0","0"
"POINT (149.090938 -35.174597999999996)","0","6309",,"Overall Av before 2nd John Crawford Cr","-35.174598","149.090938",,,"0","0"
"POINT (149.126983 -35.431723999999996)","0","1126",,"Deamer Cr opp 69","-35.431724","149.126983",,,"0","0"
"POINT (149.09475 -35.171076)","0","6304",,"Overall Av after Shedden St","-35.171076","149.09475",,,"0","0"
"POINT (149.02611299999998 -35.239663)","0","4983",,"Drake Brockman Dr after Kinsella St","-35.239663","149.026113",,,"0","0"
"POINT (149.166471 -35.333304)","0","5031",,"Canberra Av opp Geelong St","-35.333304","149.166471",,,"0","0"
"POINT (149.055143 -35.224788000000004)","0","4065",,"John Cleland Cr opp Florey Shops","-35.224788","149.055143",,,"0","0"
"POINT (149.11211100000003 -35.168834000000004)","0","4867",,"Ngunnawal PS Unaipon Av","-35.168834","149.112111",,,"0","0"
"POINT (149.032273 -35.246438000000005)","0","4291",,"Murranji St opp Hawker College","-35.246438","149.032273",,,"0","0"
"POINT (149.140836 -35.219285)","0","4925",,"Brookes St after Heffernan St","-35.219285","149.140836",,,"0","0"
"POINT (149.037729 -35.251096000000004)","0","4454",,"Erldunda Cct before 2nd Kulgera St","-35.251096","149.037729",,,"0","0"
"POINT (149.124277 -35.177467)","0","4808",,"Mirrabei Dr after 2nd Paul Coe Cr","-35.177467","149.124277",,,"0","0"
"POINT (149.139295 -35.20557700000001)","0","6080",,"Hoskins St after Well Station Dr","-35.205577","149.139295",,,"0","0"
"POINT (149.10568899999998 -35.468348999999996)","0","1685",,"Paperbark St after 1st Kettlewell Cr","-35.468349","149.105689",,,"0","0"
"POINT (149.041331 -35.219613)","0","4195",,"Kingsford Smith Dr opp Krefft St","-35.219613","149.041331",,,"0","0"
"POINT (149.13613999999998 -35.303456)","0","3028",,"Kings Av before King Edward Tce","-35.303456","149.13614",,,"0","0"
"POINT (149.07936 -35.416263)","0","1446",,"Charleston St after Blakey Cl","-35.416263","149.07936",,,"0","0"
"POINT (149.03731200000001 -35.220292)","0","4415",,"O'Loghlen St after 1st Stretton Cr","-35.220292","149.037312",,,"0","0"
"POINT (149.15989400000004 -35.244689)","0","3198",,"Madigan St before Antill St","-35.244689","149.159894",,,"0","0"
"POINT (149.143217 -35.313088)","0","2373",,"Wentworth Av opp Old Bus Depot Markets","-35.313088","149.143217",,,"0","0"
"POINT (149.099423 -35.370504)","0","2041",,"Wilkins St after Beasley St","-35.370504","149.099423",,,"0","0"
"POINT (149.113857 -35.371902)","0","2464",,"Julia Flynn Av before 2nd Walton St","-35.371902","149.113857",,,"0","0"
"POINT (149.064247 -35.397462)","0","1416",,"Vansittart Cr before Pinkerton Cct","-35.397462","149.064247",,,"0","0"
"POINT (149.108376 -35.357780000000005)","0","2104",,"Kareelah Vsta after Taronga Pl","-35.35778","149.108376",,,"0","0"
"POINT (149.093261 -35.445199)","0","2697",,"Tharwa Dr before Drakeford Dr","-35.445199","149.093261",,,"0","0"
"POINT (149.058859 -35.390364)","0","1290",,"O'Halloran Cct before Boddington Cr","-35.390364","149.058859",,,"0","0"
"POINT (149.076355 -35.202507000000004)","0","4668",,"Owen Dixon Dr opp Badenoch Cr","-35.202507","149.076355",,,"0","0"
"POINT (149.156052 -35.332769)","0","2439",,"Kootara Cr after 2nd Gymea St","-35.332769","149.156052",,,"0","0"
"POINT (149.046424 -35.213285)","0","4570",,"Kingsford Smith Dr after Companion Cr","-35.213285","149.046424",,,"0","0"
"POINT (149.13401299999998 -35.339816)","0","3287",,"Red Hill School La Perouse St","-35.339816","149.134013",,,"0","0"
"POINT (149.065463 -35.414427)","0","1804",,"Tuggeranong Interchange Plt 4","-35.414427","149.065463",,"https://www.transport.act.gov.au/__data/assets/pdf_file/0013/1244200/TC_station_tuggeranong.pdf","0","0"
"POINT (149.147477 -35.248428000000004)","0","4590",,"Antill St before Hawdon Pl","-35.248428","149.147477",,,"0","0"
"POINT (149.172318 -35.324994000000004)","0","2941",,"Newcastle St after Gladstone St","-35.324994","149.172318",,,"0","0"
"POINT (149.108792 -35.342045)","0","2534",,"Garran Shops Gilmore Cr","-35.342045","149.108792",,,"0","0"
"POINT (149.114625 -35.192333000000005)","0","4786",,"Kosciuszko Av before Burrowa St","-35.192333","149.114625",,,"0","0"
"POINT (149.08875 -35.421377)","0","1672",,"Clive Steele Av after Falconer St","-35.421377","149.08875",,,"0","0"
"POINT (149.048299 -35.378093)","0","1275",,"Barritt St before Kambah Pool Rd","-35.378093","149.048299",,,"0","0"
"POINT (149.074674 -35.336488)","0","2500",,"Devonport St after 1st Scottsdale St","-35.336488","149.074674",,,"0","0"
"POINT (149.047943 -35.347043)","0","0201",,"Fremantle Dr after 1st McKail Cr","-35.347043","149.047943",,,"0","0"
"POINT (149.118947 -35.250688000000004)","0","3117",,"Miller St after Swainsona St","-35.250688","149.118947",,,"0","0"
