"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"WANNIASSA","Rigid column",,,,,,,"
,  
(-35.40338630583142, 149.094253927446)",
"HARRISON","Rigid column",,,,,,,"
,  
(-35.20682900982702, 149.14904034816578)",
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17565530604207, 149.13964762479876)","HORSE PARK DRIVE"
"CITY","Energy Absorbing column","5 metres","STEEL ORDINARY","3.5 M TWIN","SPECIAL","METAL HALIDE","2","
,  
(-35.27912261261662, 149.12994139851097)","VERITY LANE BTWN EAST ROW & NTHBOURNE AVE"
"WRIGHT","FORDE COLUMN","9 metres",,"3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.31492573204614, 149.0328745769266)","JOHN GORTON DRIVE"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.27622672529635, 149.1317428015479)","MURULLA LANE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14855208792157, 149.12118103363215)","MCGLASHAN ST"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27780108094755, 149.1360343904702)","BATMAN ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.312503752915546, 149.1468128658556)","KINGSTON FORESHORE"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.18972262695354, 149.13953470616943)","CAMILLERI WAY"
"KAMBAH","Tapered round column","4.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.3802034360922, 149.05835698088802)","PRIMMER COURT"
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","4.5 M TWIN","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","2","
,  
(-35.2073051332884, 149.0340480940183)","GINNINDERRA DR INT TILLYARD DR"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32040353500156, 149.19975346602314)","GLENORA  DRIVE AND PIALLIGO AVENUE"
"KAMBAH","Rigid column","5 metres","STEEL SPECIAL","0.3 M SINGLE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.380120354762205, 149.05787798079558)","KAMBAH VILLAGE, REST AREA"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18519510597038, 149.1211432178356)","GUNDAROO DR"
"ACTON","TUNNEL",,"TUNNEL",,,"SODIUM VAPOUR LOW PRESSURE","560","
,  
(-35.424569576587544, 149.07250413704097)","STREETLIGHTS IN ACTON TUNNEL - WEST BOUND"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.149106078396386, 149.1208179731774)","MCGLASHAN ST"
"GUNGAHLIN","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.21315456090407, 149.1823945897042)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.147628303400595, 149.11549002296005)","WINSOME STREET"
"WRIGHT","FORDE COLUMN","9 metres",,"3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.31456089351844, 149.03270332357135)","JOHN GORTON DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14847480918214, 149.1168948250616)","HOLGAR CRESCENT"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18833150217386, 149.1340623687253)","GUNGAHLIN PLACE"
"BONNER","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16521427870293, 149.13629289198448)","HORSE PARK DRIVE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.1697593580455, 149.13865492604847)","HORSE PARK DRIVE"
"MAJURA (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","1","
,  
(-35.42456993614341, 149.0718104736818)","MT.AINSLIE LOOKOUT"
"MAJURA (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","1","
,  
(-35.42456995912579, 149.07176643228087)","MT.AINSLIE LOOKOUT"
"PADDYS RIVER (RURAL DIST.)","STRUCTURE",,,"NONE",,"INCANDESCENT","6","
,  
(-35.3223630188107, 148.94202971928797)","TOILET BLOCK COTTER RESERVE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.171789016690944, 149.13896783680923)","HORSE PARK DRIVE"
"CITY","BRICK WALL",,"BRICK WALL","0.75 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.2777685428085, 149.13142779233613)","ALINGA ST BIBLE HOUSE LANE"
"DICKSON","CONCRETE WITH HV/LV DIST","10 metres","CONCRETE COLUMN","3.0 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.24775557364266, 149.15234775917136)","ANTILL ST NR PHILLIP AV"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.189358124710125, 149.13833909438569)","CAMILLERI WAY"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.18964176487101, 149.13904723102414)","CAMILLERI WAY"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.168650001284156, 149.13888360967383)","HORSE PARK DRIVE"
