"age_group","persons","_"
"70+","32891","7.9"
"20-29","53911","13"
"60-69","36121","8.7"
"0-9","59584","14.4"
"30-39","71806","17.3"
"10-19","50976","12.3"
"50-59","53186","12.8"
"40-49","56433","13.6"
