"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"62","POINT (-35.24126434326172 149.1361541748047)","217617302.0","2022-08-30T10:03:45.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","7","16741996","None","-35.24126434326172","149.1361541748047","216.69204711914062","IN_TRANSIT_TO","8117"
"58","POINT (-35.186431884765625 149.14022827148438)","238371430.0","2022-08-30T10:03:45.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","14","16741994","None","-35.186431884765625","149.14022827148438","102.0387954711914","IN_TRANSIT_TO","8100"
"193","POINT (-35.234989166259766 149.1450958251953)","255093149.0","2022-08-30T10:03:45.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","8","16741998","None","-35.234989166259766","149.1450958251953","48.48984909057617","IN_TRANSIT_TO","8116"
"64","POINT (-35.2656364440918 149.13128662109375)","206027668.0","2022-08-30T10:03:45.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","4","16741997","None","-35.2656364440918","149.13128662109375","0.0","STOPPED_AT","8123"
"194","POINT (-35.18865203857422 149.15017700195312)","259238535.0","2022-08-30T10:03:15.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","3","16741443","None","-35.18865203857422","149.15017700195312","311.6275939941406","IN_TRANSIT_TO","8106"
"64","POINT (-35.26626205444336 149.13119506835938)","206027606.0","2022-08-30T10:03:15.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","3","16741440","None","-35.26626205444336","149.13119506835938","186.84182739257812","IN_TRANSIT_TO","8125"
"61","POINT (-35.22875213623047 149.144287109375)","217859681.0","2022-08-30T10:03:15.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","8","16741444","None","-35.22875213623047","149.144287109375","0.0","STOPPED_AT","8115"
"58","POINT (-35.18699645996094 149.14328002929688)","238371144.0","2022-08-30T10:03:15.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","13","16741439","None","-35.18699645996094","149.14328002929688","0.0","STOPPED_AT","8105"
"62","POINT (-35.24469757080078 149.13450622558594)","217616871.0","2022-08-30T10:03:15.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","7","16741445","None","-35.24469757080078","149.13450622558594","186.39210510253906","IN_TRANSIT_TO","8117"
"193","POINT (-35.2337532043457 149.14529418945312)","255092970.0","2022-08-30T10:03:15.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","8","16741441","None","-35.2337532043457","149.14529418945312","323.1702575683594","IN_TRANSIT_TO","8116"
