"business","branch","suburb","street_address","latitude","longitude","geocoded_column"
"BELCONNEN BUS DEPOT","ACTION","BELCONNEN","CORNER COHEN & JOSEPHSON STS, BELCONNEN","-35.2396429050082","149.060162567953","POINT (149.060162567953 -35.2396429050082)"
"KAMBAH ROADS YARD","TRANSPORT CANBERRA AND CITY SERVICES","KAMBAH","CORNER SULWOOD DR & KAMBAH POOL RD","-35.3721353919002","149.051845948269","POINT (149.051845948269 -35.3721353919002)"
"TUGGERANONG BUS INTERCHANGE","ACTION","GREENWAY","PITMAN ST, TUGGERANONG","-35.415035201147","149.065830085097","POINT (149.065830085097 -35.415035201147)"
"TUGGERANONG RECYCLING DROP OFF CENTRE","ACT NOWASTE","GREENWAY","CORNER ATHLLON DR & SCOLLAY ST","-35.4244689070685","149.070845076223","POINT (149.070845076223 -35.4244689070685)"
"CITY RANGERS ABANDONED VEHICLE IMPOUND YARD","TRANSPORT CANBERRA AND CITY SERVICES","HUME","SHEPPARD ST, HUME","-35.3912868491128","149.165682734185","POINT (149.165682734185 -35.39128684911281)"
"HOLDER CITY PRESENTATION DEPOT","CITY PRESENTATION","HOLDER","DIXON DR, HOLDER","-35.3293313794385","149.052523554054","POINT (149.052523554054 -35.3293313794385)"
"WODEN BUS INTERCHANGE","ACTION","PHILLIP","CORNER CALLAM & BRADLEY STS, WODEN","-35.3443406279512","149.08775568861","POINT (149.08775568861 -35.3443406279512)"
"RON REYNOLDS CENTRE","TRANSPORT CANBERRA AND CITY SERVICES","CURTIN","12 STRANGWAYS ST, CURTIN","-35.3247983639737","149.081362813394","POINT (149.081362813394 -35.324798363973706)"
"WODEN CEMETERY","CANBERRA CEMETERIES","PHILLIP","JUSTINIAN ST, WODEN","-35.3440597263716","149.09293346095","POINT (149.09293346095 -35.3440597263716)"
"DOMESTIC ANIMAL SERVICES","CITY PRESENTATION","SYMONSTON","MUGGA LANE, SYMONSTON","-35.3513214688774","149.133175144781","POINT (149.133175144781 -35.3513214688774)"
"CITY RANGERS REID DEPOT","CITY PRESENTATION","REID","2 ELIMATTA ST, REID","-35.2824163972513","149.145886552882","POINT (149.145886552882 -35.2824163972513)"
"WODEN LIBRARY","LIBRARIES ACT","PHILLIP","CORINNA & FURZER STS, PHILLIP","-35.3446676665266","149.084331140736","POINT (149.084331140736 -35.3446676665266)"
"CALWELL CITY PRESENTATION DEPOT","CITY PRESENTATION","CALWELL","WERE ST, CALWELL","-35.4394607408364","149.119553583744","POINT (149.119553583744 -35.4394607408364)"
"FYSHWICK CITY PRESENTATION & ROADS MAINTENANCE DEPOT","ROADS ACT","FYSHWICK","255 CANBERRA AVE, FYSHWICK","-35.3317514820756","149.165534877045","POINT (149.165534877045 -35.3317514820756)"
"WEST BELCONNEN RESOURCE MGT CENTRE","ACT NOWASTE","MACNAMARA","PARKWOOD RD, MACGREGOR","-35.2149764341134","148.987949596634","POINT (148.987949596634 -35.2149764341134)"
"CITY SERVICES CORPORATE OFFICE","TRANSPORT CANBERRA AND CITY SERVICES","DICKSON","490 NORTHBOURNE AVE, DICKSON","-35.2492050316475","149.134697721483","POINT (149.134697721483 -35.2492050316475)"
"MUGGA LANE RESOURCE MGT CENTRE","ACT NOWASTE","JERRABOMBERRA (RURAL DIST.)","MUGGA LN, HUME","-35.3850359951555","149.13747540395","POINT (149.13747540395 -35.3850359951555)"
"MITCHELL RESOURCE MGT CENTRE","ACT NOWASTE","GUNGAHLIN (RURAL DIST.)","FLEMINGTON RD, MITCHELL","-35.2118940343237","149.148224355418","POINT (149.148224355418 -35.2118940343237)"
"KIPPAX LIBRARY","LIBRARIES ACT","HOLT","HARDWICK CRES, HOLT","-35.2207730318837","149.019304440285","POINT (149.01930444028503 -35.2207730318837)"
"GUNGAHLIN CEMETERY","CANBERRA CEMETERIES","MITCHELL","SANDFORD ST, MITCHELL","-35.2168979556817","149.134233589525","POINT (149.134233589525 -35.2168979556817)"
"CAPITAL LINEN SERVICES","BUSINESS ENTERPRISES","MITCHELL","9 SANDFORD ST, MITCHELL","-35.2220720732317","149.140396501714","POINT (149.140396501714 -35.2220720732317)"
"DEAKIN CITY PRESENTATION DEPOT","CITY PRESENTATION","DEAKIN","LA TROBE PARK, GAWLER CRES, DEAKIN","-35.31748492186","149.114296560536","POINT (149.114296560536 -35.31748492186)"
"CIVIC CITY PRESENTATION DEPOT","CITY PRESENTATION","CITY","ALLARA ST, CANBERRA CITY","-35.2857195285236","149.129969294518","POINT (149.129969294518 -35.2857195285236)"
"CHARNWOOD CITY PRESENTATION DEPOT","CITY PRESENTATION","CHARNWOOD","LHOTSKY ST, CHARNWOOD","-35.2044739620836","149.028365437984","POINT (149.028365437984 -35.2044739620836)"
"BELCONNEN LIBRARY","LIBRARIES ACT","BELCONNEN","12 CHANDLER ST, BELCONNEN","-35.2380709987066","149.069629220541","POINT (149.069629220541 -35.2380709987066)"
"CITY INTERCHANGE AND INFORMATION CENTRE","ACTION","CITY","ALINGA ST, CANBERRA CITY","-35.2787190421269","149.1301078043","POINT (149.1301078043 -35.2787190421269)"
"CAPITAL METRO DEPOT","CAPITAL METRO","MITCHELL","9 SANDFORD ST, MITCHELL","-35.2229577892053","149.142824689092","POINT (149.142824689092 -35.2229577892053)"
"FLEXIBLE TRANSPORT BUS DEPOT","ACTION","FYSHWICK","255 CANBERRA AVE, FYSHWICK","-35.3316799115605","149.165340207811","POINT (149.165340207811 -35.3316799115605)"
