"title","text"
"App Statement","App intro lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum hendrerit vehicula urna in placerat. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Integer sed orci nec nibh condimentum ullamcorper. Mauris porta malesuada convallis."
"Opening Statement","Welcome to dataACT, an open data ini­ti­at­ive for the ACT com­munity enabling indi­vidu­als, busi­nesses, journ­al­ists, NGOs and even the pub­lic sec­tor to access, explore and build upon gov­ern­ment datasets in new and innov­at­ive ways."
