Suburb,Location,Point,Suburb 2,Zip Codes
Belconnen,"Belconnen Community Bus Station, access from Swanson Circuit","(-35.239602, 149.069423)",32,
Calwell,Calwell Shops - Webber Street,"(-35.433428, 149.113051)",84,
Kambah,Kambah Village Shops - Marconi Crescent,"(-35.379524, 149.057408)",108,
Weston,North Weston - Kirkpatrick Street,"(-35.320885, 149.058926)",85,
Belconnen,Corner of Josephson Street and Walder Street,"(-35.23824, 149.060841)",32,
Charnwood,Charnwood Shopping Centre - Lhotsky Street,"(-35.205147, 149.034283)",87,
Jamison,Jamison Centre - Bowman Street,"(-35.252094, 149.072157)",76,
Mawson,"Corner of Mawson and Athllon Drive, access from Mawson Place","(-35.364975, 149.092885)",70,
Bruce,"College Street, adjacent to the University of Canberra","(-35.242036, 149.084796)",90,
Wanniassa,"Athllon Drive, access via Rylah Crescent","(-35.390413, 149.084687)",104,
Kippax,Kippax Centre - Hardwick Crescent,"(-35.22389, 149.020305)",29,
Fyshwick,Tom Price Street,"(-35.340108, 149.184033)",64,
Curtin,Curtin Shops - Carruthers Street,"(-35.325559, 149.081705)",106,
Kippax,Moyes Crescent,"(-35.2207792, 149.0216365)",29,
Woden,"Woden Bus Station, access from Matilda Street","(-35.343136, 149.087253)",33,
Kambah,Kambah Centre - O'Halloran Circuit,"(-35.393088, 149.067983)",108,
Gungahlin,"Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street","(-35.186843, 149.132396)",89,
Weston,"Coolemon Court, Liardet Street","(-35.340347, 149.051397)",85,
Chisholm,Chisholm Shops - Bentham Street,"(-35.414624, 149.128667)",1,
Tuggeranong,"Tuggeranong Bus Station, access from Anketell Street","(-35.41387, 149.06669)",101,
