"lotcode","baycount","baytype","city","latitude","longitude","location","maxstayperiod","operatinghourcode","street","subzone","tariffcode","ward","zone"
"101","19","1P Free","Manuka","-35.318906","149.132104","(-35.318906, 149.132104)","60","All_Day","Franklin Street","1","Free_1_hr","Franklin","1"
"102","4","Disabled","Manuka","-35.319145","149.13231","(-35.319145, 149.13231)","0","All_Day","Franklin Street","1","Free","Franklin","1"
"103","6","1P Free","Manuka","-35.319238","149.132392","(-35.319238, 149.132392)","60","All_Day","Franklin Street","1","Free_1_hr","Franklin","1"
"104","2","1P Voucher","Manuka","-35.320255","149.134267","(-35.320255, 149.134267)","60","Voucher","Franklin Street","1","SS06_1P","Franklin","1"
"105","3","15m Free","Manuka","-35.320348","149.134625","(-35.320348, 149.134625)","15","All_Day","Franklin Street","1","Free_15_mins","Franklin","1"
"111","6","1P Free","Manuka","-35.318904","149.131901","(-35.318904, 149.131901)","60","All_Day","Franklin Street","1","Free_1_hr","Franklin","1"
"112","4","1P Free","Manuka","-35.319236","149.13221","(-35.319236, 149.13221)","60","All_Day","Franklin Street","1","Free_1_hr","Franklin","1"
"113","7","1P Voucher","Manuka","-35.319806","149.132673","(-35.319806, 149.132673)","60","Voucher","Franklin Street","1","SS06_1P","Franklin","1"
"201","2","Disabled","Manuka","-35.32018","149.131531","(-35.32018, 149.131531)","0","All_Day","Bougainville Street","1","Free","Bougainville","1"
"202","8","2P Voucher","Manuka","-35.320288","149.131621","(-35.320288, 149.131621)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"203","17","2P Voucher","Manuka","-35.320641","149.131988","(-35.320641, 149.131988)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"204","2","Disabled","Manuka","-35.320823","149.132285","(-35.320823, 149.132285)","0","All_Day","Bougainville Street","1","Free","Bougainville","1"
"205","15","2P Voucher","Manuka","-35.320956","149.132501","(-35.320956, 149.132501)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"206","9","2P Voucher","Manuka","-35.321127","149.132992","(-35.321127, 149.132992)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"207","4","Disabled","Manuka","-35.321173","149.133168","(-35.321173, 149.133168)","0","All_Day","Bougainville Street","1","Free","Bougainville","1"
"211","4","2P Voucher","Manuka","-35.32024","149.131408","(-35.32024, 149.131408)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"212","7","2P Voucher","Manuka","-35.320433","149.131579","(-35.320433, 149.131579)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"213","8","2P Voucher","Manuka","-35.32062","149.131796","(-35.32062, 149.131796)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"214","6","2P Voucher","Manuka","-35.320792","149.13202","(-35.320792, 149.13202)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"215","7","2P Voucher","Manuka","-35.320972","149.132312","(-35.320972, 149.132312)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"216","8","2P Voucher","Manuka","-35.321086","149.132579","(-35.321086, 149.132579)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"217","8","2P Voucher","Manuka","-35.321189","149.132869","(-35.321189, 149.132869)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
"218","3","2P Voucher","Manuka","-35.321284","149.133197","(-35.321284, 149.133197)","120","Voucher","Bougainville Street","1","SS06_2P","Bougainville","1"
