"the_geom","bus_stop_n","suburb","length_met","width_metr","height_met","number_of_","number_of1","street_nam","infrastruc","frame_mate","base_mater","structure_","owner"
"POINT (149.13058158422598 -35.27770447193347)","3410","CITY","0","0","0","8","0","MORT ST","BICYCLE LOCKER","STEEL","STEEL","STEEL","PUBLIC TRANSPORT - ACTION"
"POINT (149.06583994133726 -35.415064711456345)","1808","GREENWAY","0","0","0","1","0","PITMAN ST","BICYCLE LOCKER","STEEL","STEEL","STEEL","PUBLIC TRANSPORT - ACTION"
"POINT (149.08725036814664 -35.34444881905154)","2915","PHILLIP","0","0","0","1","0","BRADLEY ST","BICYCLE LOCKER","STEEL","STEEL","STEEL","PUBLIC TRANSPORT - ACTION"
"POINT (149.01922190256568 -35.222483947090176)","4333","HOLT","77","48","2","6","12","HARDWICK CR","BICYCLE CAGE","STEEL","CONCRETE","MESH + HARDWOOD","ROADS ACT"
"POINT (149.05806304258644 -35.321659989198004)","1802","WESTON","77","48","2","6","12","KIRKPATRICK ST","BICYCLE CAGE","STEEL","CONCRETE","MESH + HARDWOOD","ROADS ACT"
"POINT (149.1493664916801 -35.201587307768335)","6161","HARRISON","77","48","2","6","12","FLEMINGTON RD","BICYCLE CAGE","STEEL","CONCRETE","STEEL MESH","ROADS ACT"
"POINT (149.0926944761766 -35.364874745001934)","2609","TORRENS","77","48","2","6","12","ATHLLON DR","BICYCLE CAGE","STEEL","CONCRETE","STEEL MESH","ROADS ACT"
"POINT (149.08272534229806 -35.33896777178665)","2032","LYONS","77","48","2","6","12","MELROSE DR","BICYCLE CAGE","STEEL","CONCRETE","STEEL MESH","ROADS ACT"
"POINT (149.06806032989783 -35.24014698469656)","5514","BELCONNEN","77","48","2","6","12","COHEN ST","BICYCLE CAGE","STEEL","CONCRETE","STEEL MESH","ROADS ACT"
