"year","state","category","indicator","age","sex","rate"
"2009","ACT","Mortality","Infant mortality","0-<1","Persons","3.5"
"2010","ACT","Mortality","Infant mortality","0-<1","Persons","3.7"
"2011","ACT","Mortality","Infant mortality","0-<1","Persons","2.9"
"2012","ACT","Mortality","Infant mortality","0-<1","Persons","2.9"
"2013","ACT","Mortality","Infant mortality","0-<1","Persons","2.9"
"2014","ACT","Mortality","Infant mortality","0-<1","Persons","2.3"
"2015","ACT","Mortality","Infant mortality","0-<1","Persons","3.8"
"2016","ACT","Mortality","Infant mortality","0-<1","Persons","3.1"
"2017","ACT","Mortality","Infant mortality","0-<1","Persons","2.7"
"2018","ACT","Mortality","Infant mortality","0-<1","Persons","3.7"
"2019","ACT","Mortality","Infant mortality","0-<1","Persons","0.9"
"2009","Australia","Mortality","Infant mortality","0-<1","Persons","4.2"
"2010","Australia","Mortality","Infant mortality","0-<1","Persons","4.1"
"2011","Australia","Mortality","Infant mortality","0-<1","Persons","3.8"
"2012","Australia","Mortality","Infant mortality","0-<1","Persons","3.3"
"2013","Australia","Mortality","Infant mortality","0-<1","Persons","3.6"
"2014","Australia","Mortality","Infant mortality","0-<1","Persons","3.4"
"2015","Australia","Mortality","Infant mortality","0-<1","Persons","3.2"
"2016","Australia","Mortality","Infant mortality","0-<1","Persons","3.1"
"2017","Australia","Mortality","Infant mortality","0-<1","Persons","3.3"
"2018","Australia","Mortality","Infant mortality","0-<1","Persons","3.1"
"2019","Australia","Mortality","Infant mortality","0-<1","Persons","3.3"
