"name","region","address","longitude","latitude","location"
"Ainslie Newsagency and Licensed Post Office","Northside","3 Edgar St, Ainslie ACT 2602","149.14508","-35.26243","POINT (149.14508 -35.26243)"
"Nextra Hyperdome","Southside","Shop 15A, Tuggeranong Hyperdome, Tuggeranong","149.0672421","-35.4167587","POINT (149.0672421 -35.4167587)"
"Nextra/Newsfront Newsagency","Northside","Shop 50A Westfield Belconnen, Belconnen","149.0655255","-35.2383112","POINT (149.0655255 -35.2383112)"
"NewsXpress Belconnen","Northside","Shop 114, Level 1, Westfield Belconnen, Belconnen","149.066786","-35.2382717","POINT (149.066786 -35.2382717)"
"Lanyon Newsagency","Southside","Shop 18, Lanyon Market Place, Conder","149.09284","-35.45745","POINT (149.09284 -35.45745)"
"Calwell Video and Post","Southside","Shop 22, Calwell Shopping Centre, Calwell","149.114312","-35.434953","POINT (149.114312 -35.434953)"
"Jamison Centre Newsagency","Northside","Shop 3 & 4, 39-43 Bowman Street, Macquarie","149.072889","-35.252313","POINT (149.072889 -35.252313)"
"Supa24 Convenience","Civic","2 Mort Street, City","149.130814","-35.278412","POINT (149.130814 -35.278412)"
"Chisholm Newsagency and Post Office","Southside","5 Halley Street, Chisholm","149.129624","-35.414149","POINT (149.129624 -35.414149)"
"Braddon Newsagency","Braddon","2/18 Lonsdale Street","149.13294","-35.27358","POINT (149.13294 -35.27358)"
"University of Canberra","Northside","University Drive, Bruce ACT 2617","149.0841085","-35.2381785","POINT (149.0841085 -35.2381785)"
"Dickson Newsagency","Northside","6 Dickson Place, Dickson","149.1388866","-35.2502366","POINT (149.1388866 -35.2502366)"
"NewsXpress Woden","Southside","Shop L66 Westfield Woden, Woden","149.086637","-35.346323","POINT (149.086637 -35.346323)"
"Evatt Newsagency","Evatt","Shop 2, Heydon Place","149.07347","-35.20901","POINT (149.07347 -35.20901)"
"Kambah News Agency","Southside","13/5 Primmer Ct, Kambah ACT 2902","149.057705","-35.379983","POINT (149.057705 -35.379983)"
"Gungahlin Post Office","Northside","46-50 Hibberson Street, Gungahlin","149.136877","-35.186078","POINT (149.136877 -35.186078)"
"Buddy's Convenience Store Canberra","City","161 London Circuit","149.13109","-35.28007","POINT (149.13109 -35.28007)"
"Charnwood Newsagency","Northside","Shop 4, FADCO Building, Charnwood Place, Charnwood","149.03407480000004","-35.2045852","POINT (149.03407480000004 -35.2045852)"
"Manuka Newsagency","Southside","38 Franklin Street, Manuka","149.13274","-35.319892","POINT (149.13274 -35.319892)"
"Canberra Institute of Technology","Civic","36 Constitution Avenue, Reid ACT 2601","149.137633","-35.285974","POINT (149.137633 -35.285974)"
"Hawker Newsagency","Northside","Shop 2 Hawker Place, Hawker","149.0435153","-35.2431766","POINT (149.0435153 -35.2431766)"
"Gungahlin Newsagency","Northside","Shop 12, 33 Hibberson Street, Gungahlin","149.134114","-35.185216","POINT (149.134114 -35.185216)"
"Blackjack Kiosk","Southside","Shop 22B, Erindale Shopping Centre, Wanniassa","149.098627","-35.403686","POINT (149.098627 -35.403686)"
"Thistle Kiosk","Southside","Westfield Woden Marketplace (Opposite Coles), Woden","149.08534500000002","-35.346579","POINT (149.08534500000002 -35.346579)"
"Kippax Fair Newsagency","Northside","25 Hardwick Crescent, Holt ACT 2615","149.019849","-35.222364","POINT (149.019849 -35.222364)"
"Southlands Newsagency","Southside","Shop 6, Southlands Shopping Centre, Mawson","149.094781","-35.364687","POINT (149.094781 -35.364687)"
"News Xpress Gifted and More Kaleen","Kaleen","Shop 2, Kaleen Shopping Plaza","149.10354","-35.21997","POINT (149.10354 -35.21997)"
"Watson Post Office","Watson","Shop 1, Watson Place","149.15326","-35.23909","POINT (149.15326 -35.23909)"
"Curtin Newsagency","Curtin","38 Curtin Place","149.08271","-35.32539","POINT (149.08271 -35.32539)"
"Deakin Post Office and Newsagency","Deakin","4 Duff Place","149.108","-35.31471","POINT (149.108 -35.31471)"
"Rivett Newsagency and Post Office","Rivett","5/2 Rivett Place","149.03637","-35.34703","POINT (149.03637 -35.34703)"
"Cooleman Court Newsagency","Southside","5/26 Brierly Street, Weston","149.052864","-35.3417","POINT (149.052864 -35.3417)"
"EzyMart","Civic","Jolimont Centre, 65 Northbourne Ave, Canberra ACT 2601","149.128969","-35.277689","POINT (149.128969 -35.277689)"
"Wanniassa Lotteries and Tobacco Station","Waniassa","2/12 Sangster Place","149.08542","-35.39055","POINT (149.08542 -35.39055)"
"Kingston Newsagency","Southside","66 Giles Street, Kingston","149.141241","-35.315108","POINT (149.141241 -35.315108)"
"Red Hill LPO","Red Hill","2 Duyfken Place","149.13114","-35.34116","POINT (149.13114 -35.34116)"
