ASSET_ID,EQUIPMENT,LOCATION,DIVISION_NAME,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1,Zip Codes
Plgr526,This playground has no play structures.,Tanami Street (Nw) Neighbourhood Park,Harrison,,,-35.19816,149.157372,"(-35.19816, 149.157372)",
Plgr189,This playground has no play structures.,Carnegie Crescent Pedestrian Parkland,Narrabundah,,,-35.337696,149.13783,"(-35.337696, 149.13783)",
Plgr584,This playground has no play structures.,Beaurepaire Crescent Neighboourhood Park,Holt,,,-35.222235,149.012624,"(-35.222235, 149.012624)",
Plgr669,This playground has no play structures.,Wanderlight Avenue Neibourhood Park,Lawson,,,-35.229364,149.091726,"(-35.229364, 149.091726)",
Plgr676,This playground has no play structures.,Bon Scott Crip Park,Moncrieff,,,-35.155681,149.120912,"(-35.155681, 149.120912)",
Plgr195,This playground has no play structures.,Telopea Park,Barton,,,-35.315086,149.137312,"(-35.315086, 149.137312)",
Plgr211,This playground has no play structures.,Weston Park District Park(east),Yarralumla,,,-35.291717,149.089526,"(-35.291717, 149.089526)",
Plgr219,This playground has no play structures.,Cremone Place Neighbourhood Park,Conder,,,-35.464393,149.102991,"(-35.464393, 149.102991)",
Plgr363,This playground has no play structures.,Tauchert Street Neighbourhood Park,Chapman,,,-35.357472,149.045935,"(-35.357472, 149.045935)",
Plgr130,This playground has no play structures.,Diddams Close (West),Belconnen,,,-35.227204,149.071722,"(-35.227204, 149.071722)",
Plgr89,This playground has no play structures.,Kesteven Street Florey Shopping Centre,Florey,,,-35.226588,149.054616,"(-35.226588, 149.054616)",
Plgr674,This playground has no play structures.,Bettong Avenue Neighbourhood Park,Throsby,,,-35.187918,149.161994,"(-35.187918, 149.161994)",
Plgr626,This playground has no play structures.,Narden Street Central Community Park (Crip),Crace,,,-35.201686,149.102459,"(-35.201686, 149.102459)",
Plgr587,This playground has no play structures.,Cnr Bonython And Melba Sts Neighbourhood Park,Downer,,,-35.2464,149.143293,"(-35.2464, 149.143293)",
Plgr20,This playground has no play structures.,Cossington Smith Crescent Pedestrian Parkland,Lyneham,,,-35.24085,149.124028,"(-35.24085, 149.124028)",
Plgr162,This playground has no play structures.,Read Place Pedestrian Parkland,Evatt,,,-35.217985,149.067009,"(-35.217985, 149.067009)",
Plgr580,This playground has no play structures.,Summerland Circuit (North) Neighbourhood Park,Kambah,,,-35.385632,149.071252,"(-35.385632, 149.071252)",
Plgr398,This playground has no play structures.,Torrens Place Pedestrian Parkland,Torrens,,,-35.373141,149.088071,"(-35.373141, 149.088071)",
Plgr31,This playground has no play structures.,Glebe Park Town Park,City,,,-35.281113,149.135893,"(-35.281113, 149.135893)",
Plgr305,This playground has no play structures.,Springbett Street District Park,Kambah,,,-35.392161,149.063408,"(-35.392161, 149.063408)",
Plgr546,This playground has no play structures.,Wunderlich Street District Park,Gungahlin,,,-35.179076,149.130506,"(-35.179076, 149.130506)",
Plgr525,This playground has no play structures.,Gungahlin Central Linear Park,Gungahlin,,,-35.186448,149.134788,"(-35.186448, 149.134788)",
Plgr381,This playground has no play structures.,Launceston St District Park,Phillip,,,-35.340972,149.091344,"(-35.340972, 149.091344)",
