"the_geom","path_type","path_surf","ave_width","seg_length","suburb","owner"
"MULTILINESTRING ((149.13433225957473 -35.2606311534736, 149.13434509967422 -35.2606205954246, 149.1343549733543 -35.26061031081916, 149.13436780515363 -35.26059434519685, 149.13437701165233 -35.2605789240787, 149.13438225034798 -35.260555666071326, 149.13442661484444 -35.260250903087524, 149.13445210642942 -35.26010699003635, 149.134459915425 -35.26004019834678, 149.13446152588764 -35.26001559219202, 149.13445754980796 -35.260002347733824, 149.13445028059584 -35.25999126971364, 149.13444268132554 -35.25997992165537, 149.13443079334982 -35.2599664149998, 149.13441726710855 -35.25995939913312, 149.13440077613689 -35.25995373822522, 149.13438198055448 -35.259949972350455))","FOOTPATH","CONCRETE","1.4","81.1666","DICKSON","ROADS_ACT"
"MULTILINESTRING ((149.13272791256267 -35.16620441176583, 149.13277808584797 -35.16621422964162, 149.13285443419133 -35.16622289421064))","FOOTPATH","CONCRETE","1.2","11.72237","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.13291168054695 -35.166228604002626, 149.13300639540944 -35.166225623248636))","FOOTPATH","CONCRETE","1.2","8.6347","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.1332034871824 -35.16616972287193, 149.13327198113635 -35.166137702499036, 149.13333344103316 -35.166099335276655, 149.1333941175958 -35.16605109982875, 149.13348231910248 -35.165951192900984))","FOOTPATH","CONCRETE","1.2","35.60002","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.13350876324387 -35.16591051814757, 149.13353768657913 -35.16584014372813, 149.13359619948545 -35.16566848033821))","FOOTPATH","CONCRETE","1.2","28.01614","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.13464836285962 -35.165665413609794, 149.13470174441662 -35.16579910806665))","FOOTPATH","CONCRETE","1.2","15.61056","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.1347198121888 -35.16584334212749, 149.13482157389754 -35.16610541858374))","FOOTPATH","CONCRETE","1.2","30.52104","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.1337436808251 -35.165108499936174, 149.133859716573 -35.16480108984494, 149.13392195343403 -35.16462532162326, 149.1339356351769 -35.16460074771347, 149.13394472685252 -35.16458902174158, 149.13395595810098 -35.16457688799251, 149.13397240215753 -35.16456443343136, 149.13398841262708 -35.16455553936395, 149.13400831714193 -35.16454519924111, 149.13403212333458 -35.16453841514833))","FOOTPATH","CONCRETE","1.2","70.49182","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.13381611507384 -35.16528615760856, 149.13380994141008 -35.16530418951919))","FOOTPATH","CONCRETE","1.8","2.07791","AMAROO","ROADS_ACT"
"MULTILINESTRING ((149.1344404354287 -35.16534535929681, 149.13435973693797 -35.16536243171187, 149.13427700016464 -35.16537441395309, 149.13422524831392 -35.1653727999569, 149.1338670546946 -35.16529498284119, 149.13381803007812 -35.16528241533554, 149.13381611507384 -35.16528615760856))","FOOTPATH","CONCRETE","1.2","58.85439","AMAROO","ROADS_ACT"
