"month","number_of_unique_clients","number_of_sessions","number_of_unique_users","number_of_unique_aps","average_users_per_ap","average_clients_per_ap","client_user_total_session_time_hours","average_session_time_minutes","average_session_time_per_user_minutes","average_session_time_per_client_minutes","total_traffic_mb","total_throughput_mbps","total_sessions","total_clients","total_unique_users","client_traffic_total_session_time_hours","average_traffic_per_session_kb","average_traffic_per_user_kb","average_traffic_per_client_kb","average_throughput_per_session_kbps","average_throughput_per_user_kbps","average_throughput_per_client_kbps"
"Nov-14","16549","126388","16549","56","295.52","0","64327.88","30.54","233.23","0","391859.99","1101.16","126388","0","16549","64327.88","3100.45","23678.77","0","8.71","66.54","0"
"Dec-14","20097","123140","20097","91","220.85","0","55693.29","27.14","166.27","0","241016.31","747.3","123140","0","20097","55693.29","1957.25","11992.65","0","6.07","37.18","0"
"Feb-15","21343","184401","21343","134","159.28","0","521269.83","169.61","1465.41","0","587543.41","2965.85","184401","0","21343","521269.83","3186.23","27528.62","0","16.08","138.96","0"
"Mar-15","20497","178032","20497","147","139.44","0","567704.57","191.33","1661.82","0","596553.23","2832.31","178032","0","20497","567704.57","3350.82","29104.42","0","15.91","138.18","0"
"Apr-15","22394","218742","22394","155","144.48","0","674175.54","184.92","1806.31","0","1538040.63","11559.84","218742","0","22394","674175.54","7031.30","68680.92","0","52.85","516.2","0"
"May-15","22290","217091","22290","169","131.89","0","721818.61","199.5","1942.98","0","1352103.87","9018.8","217091","0","22290","721818.61","6228.28","60659.66","0","41.54","404.61","0"
"Jun-15","22892","229710","22894","173","132.32","0","726038.95","189.64","1902.95","0","1152795.32","5702.60","229710","0","22892","726038.95","5018.48","50358.00","0","24.83","249.11","0"
"Jul-15","24548","235214","24551","176","139.48","0","722592.66","184.32","1766.15","0","1382327.56","6925.54","235214","0","24548","722592.66","5876.89","56311.21","0","29.44","282.12","0"
"Aug-15","24434","221615","24440","182","134.25","0","721722.37","195.4","1772.26","0","1063870.94","4287.53","221615","0","24434","721722.37","4800.54","43540.60","0","19.35","175.47","0"
"Sep-15","27681","222585","27686","190","145.72","145.69","744191.19","200.6","1612.78","1613.07","1505613.98","3520.66","222585","27681","27686","744191.19","6764.22","54381.78","54391.6","15.82","127.16","127.19"
"Oct-15","30708","274767","30710","229","134.1","134.1","945176.26","206.4","1846.65","1846.77","2420383.45","5639.69","274767","30708","30710","945176.26","8808.86","78814.18","78819.31","20.53","183.64","183.66"
"Nov-15","36629","310973","36633","252","145.37","145.35","1046899.55","201.99","1714.68","1714.87","2766406.91","5864.5","310973","36629","36633","1046899.55","8895.97","75516.80","75525.05","18.86","160.09","160.11"
"Dec-15","48607","643887","48617","251","193.69","193.65","1818940.32","169.5","2244.82","2245.28","5226353.91","12749.28","644404","45012","45019","1918544.99","8110.37","116092.18","116110.24","19.78","283.2","283.24"
"Jan-16","48607","643887","48617","251","193.69","193.65","1818940.32","169.5","2244.82","2245.28","5747448.85","14543.01","643887","48607","48617","1818976.35","8926.18","118218.91","118243.23","22.59","299.13","299.2"
"Feb-16","49218","741060","49224","261","188.6","188.57","3753534.71","303.91","4575.25","4575.81","5534756.94","12002.83","740995","49218","49224","3753517.75","7469.36","112440.21","112453.92","16.2","243.84","243.87"
"Mar-16","48364","622656","48373","265","182.54","182.51","2247172.96","216.54","2787.31","2787.83","5018056.98","9340.6","622656","48364","48373","2247172.96","8059.12","103736.73","103756.04","15","193.1","193.13"
"Apr-16","47076","676341","47085","260","181.1","181.06","2191056.68","194.37","2792.04","2792.58","5764204.31","11945.22","676341","47076","47085","2191056.68","8522.63","122421.24","122444.65","17.66","253.69","253.74"
"May-16","41244","623110","41255","261","158.07","158.02","2446986.23","235.62","3558.82","3559.77","5682107.00","12278.33","623110","41244","41255","2446986.23","9118.95","137731.35","137768.09","19.7","297.62","297.7"
"Jun-16","38619","612233","38627","263","146.87","146.84","1705266.85","167.12","2648.82","2649.37","6249824.72","15034.22","612233","38619","38627","1705266.73","10208.25","161799.38","161832.9","24.56","389.22","389.3"
"Jul-16","44960","1056728","44984","273","164.78","164.69","265703.04","15.09","354.4","354.59","5223420.33","42113.4","1056728","44960","44984","265732.91","4943.01","116117.29","116179.28","39.85","936.19","936.69"
