"name","location","point","ap_type"
"Cornerstone_Cafe","-35.341635,149.051601","POINT (149.051601 -35.341635)","indoor"
"CBR-IN_AP05","-35.277868,149.127339","POINT (149.127339 -35.277868)","indoor"
"CIVC_WEST_AP08","-35.276907,149.126718","POINT (149.126718 -35.276907)","outdoor"
"EPIC_CONF_AP14","-35.232886,149.146659","POINT (149.146659 -35.232886)","indoor"
"SCCTUGG_AP07","-35.415628,149.06392","POINT (149.06392 -35.415628)","indoor"
"BRUC_AP01","-35.248292,149.100109","POINT (149.100109 -35.248292)","outdoor"
"CIVC_WEST_AP04-2","-35.275436,149.127293","POINT (149.127293 -35.275436)","outdoor-mesh"
"BELC_AP18","-35.239981,149.06038","POINT (149.06038 -35.239981)","outdoor"
"1MooreSt-L4-AP05","-35.277868,149.127339","POINT (149.127339 -35.277868)","indoor"
"CBR-RE","-35.251974,149.134448","POINT (149.134448 -35.251974)","indoor"
"CIVC_WEST_AP16-1","-35.281200,149.124127","POINT (149.124127 -35.2812)","outdoor-mesh"
"TUGG_AP14","-35.420549,149.071619","POINT (149.071619 -35.420549)","outdoor"
"WEST_AP02","-35.341435,149.052219","POINT (149.052219 -35.341435)","outdoor"
"BELC_AP09-2","-35.235281,149.066228","POINT (149.066228 -35.235281)","outdoor-mesh"
"CBR-Dance_Central","-35.350355,149.086919","POINT (149.086919 -35.350355)","indoor"
"DICK_AP05-1","-35.250277,149.136805","POINT (149.136805 -35.250277)","outdoor-mesh"
"BELC_AP03","-35.239395,149.06365","POINT (149.06365 -35.239395)","outdoor"
"King_OMalleys","-35.278554,149.131107","POINT (149.131107 -35.278554)","indoor"
"CBR-RUC_AP03","-35.308119,149.136488","POINT (149.136488 -35.308119)","indoor"
"DICK_AP13","-35.250772,149.134004","POINT (149.134004 -35.250772)","outdoor"
"CS-canbap","-35.316055,149.138007","POINT (149.138007 -35.316055)","indoor"
"BELC_STAD_AP05","-35.242128,149.057281","POINT (149.057281 -35.242128)","indoor"
"1MooreSt-L4-AP06","-35.277868,149.127339","POINT (149.127339 -35.277868)","indoor"
"TUGG_AP11","-35.419142,149.070316","POINT (149.070316 -35.419142)","outdoor"
"DICK_AP14","-35.251071,149.135255","POINT (149.135255 -35.251071)","outdoor"
"GUNG_AP13","-35.187788,149.138555","POINT (149.138555 -35.187788)","outdoor"
"BELC_STAD_AP04","-35.242128,149.057281","POINT (149.057281 -35.242128)","indoor"
"CIVC_WEST_AP06-2","-35.276407,149.128233","POINT (149.128233 -35.276407)","outdoor-mesh"
"KAMB_AP02","-35.3795905,149.0583459","POINT (149.0583459 -35.3795905)","outdoor"
"CIVC_EAST_AP08","-35.277665,149.131965","POINT (149.131965 -35.277665)","outdoor"
"KING_AP11-1","-35.316703,149.141125","POINT (149.141125 -35.316703)","outdoor-mesh"
"WODN_AP04-1","-35.344574,149.085799","POINT (149.085799 -35.344574)","outdoor-mesh"
"TUGG_Basketball_Stadium_AP01","-35.415683,149.062958","POINT (149.062958 -35.415683)","indoor"
"SCCTUGG_AP09","-35.415442,149.063898","POINT (149.063898 -35.415442)","indoor"
"SCCTUGG_AP04","-35.415731,149.063893","POINT (149.063893 -35.415731)","indoor"
"CIVC_EAST_AP07-1","-35.278623,149.131832","POINT (149.131832 -35.278623)","outdoor-mesh"
"TUGG_AP06","-35.415120,149.068973","POINT (149.068973 -35.41512)","outdoor"
"BELC_STAD_AP01","-35.242128,149.057281","POINT (149.057281 -35.242128)","indoor"
"CIVC_WEST_AP23-1","-35.285221,149.123498","POINT (149.123498 -35.285221)","outdoor-mesh"
"BELC_AP06","-35.239148,149.067559","POINT (149.067559 -35.239148)","outdoor"
"BELC_AP15-1","-35.239024,149.072317","POINT (149.072317 -35.239024)","outdoor-mesh"
"KAMB_AP03","-35.3807549,149.0582683","POINT (149.0582683 -35.3807549)","outdoor"
"KIPP_AP02-1","-35.221781,149.01886","POINT (149.01886 -35.221781)","outdoor-mesh"
"CIVC_EAST_AP16","-35.283241,149.133137","POINT (149.133137 -35.283241)","outdoor"
"KIPP_AP02","-35.220933,149.01915","POINT (149.01915 -35.220933)","outdoor"
"GUNG_AP05-2","-35.185391,149.137202","POINT (149.137202 -35.185391)","outdoor-mesh"
"TUGG_AP08","-35.414295,149.064371","POINT (149.064371 -35.414295)","outdoor"
"CIVC_WEST_AP23","-35.284352,149.123124","POINT (149.123124 -35.284352)","outdoor"
"CIVC_EAST_AP24","-35.274685,149.134398","POINT (149.134398 -35.274685)","outdoor"
"CALL_AP01-1","-35.434265,149.11314","POINT (149.11314 -35.434265)","outdoor-mesh"
"CIVC_WEST_AP12-1","-35.278378,149.128061","POINT (149.128061 -35.278378)","outdoor-mesh"
"CS-M16ArtSpace1-1","-35.324700,149.142777","POINT (149.142777 -35.3247)","indoor"
"WODN_AP05-1","-35.343233,149.085158","POINT (149.085158 -35.343233)","outdoor-mesh"
"CIVC_EAST_AP14-1","-35.281418,149.135237","POINT (149.135237 -35.281418)","outdoor-mesh"
"CIVC_WEST_AP13-2","-35.280238,149.125747","POINT (149.125747 -35.280238)","outdoor-mesh"
