"age","female","male","grand_total"
"5","1","2","3"
"6","6","8","14"
"7","13","7","20"
"8","9","8","17"
"9","5","15","19"
"10","8","14","22"
"11","13","6","19"
"12","4","10","14"
"13","8","10","18"
"14","6","6","12"
"15","11","9","20"
"16","4","6","10"
"17","4","2","6"
