"suburb","address","location"
"Gungahlin","Corner of Flemington Road and Manning Clarke Crescent","(-35.187164, 149.143446)"
"Harrison","Flemington Road South of Nullabor Avenue","(-35.201426, 149.149338)"
"Harrison","Flemington Road near Mapleton Avenue","(-35.194484, 149.150984)"
"Mitchell","Flemington Road North of Well  Station Drive","(-35.208068, 149.14727)"
"Gungahlin","Manning Clarke Crescent near Hamer Street","(-35.187036, 149.145015)"
"Franklin","Flemington Road between Manning Clarke Crescent and Trist Street","(-35.193286, 149.150748)"
"Franklin","Flemington Road North of Nullabor Avenue","(-35.200299, 149.149079)"
"Phillip","Bay area along Callum Street, adjacent to Woden bus station","(-35.343966, 149.087956)"
"Mitchell","Flemington Road South of Well Station Drive","(-35.20925, 149.147541)"
