"row_id","date","site","name","location_1","micro_result","micro_compliance","algee_result","final_compliance","comments"
"20190429LG/6","2019-04-29T00:00:00.000","LG/6","Bargang Beach","POINT (149.064357 -35.227708)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429MR/11","2019-04-29T00:00:00.000","MR/11","Swamp Creek Beach","POINT (148.951514 -35.242859)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429LG/1","2019-04-29T00:00:00.000","LG/1","Bimbi Beach","POINT (149.074859 -35.229443)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429MR/1","2019-04-29T00:00:00.000","MR/1","Pine Island","POINT (149.0627416 -35.429116)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429MR/5","2019-04-29T00:00:00.000","MR/5","Cotter Campground","POINT (148.9470014 -35.3264263)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429LT/3","2019-04-29T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","Nr","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429LG/2","2019-04-29T00:00:00.000","LG/2","Dulwa & Nengi Bamir Beaches","POINT (149.069692 -35.225486)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429LG/7","2019-04-29T00:00:00.000","LG/7","Yerra Beach","POINT (149.063622 -35.226007)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429MOL/SKI","2019-04-29T00:00:00.000","MOL/SKI","Water Ski Boat Ramp","POINT (149.175036 -35.30442)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
"20190429MR/8","2019-04-29T00:00:00.000","MR/8","Uriarra East & West","POINT (148.95221 -35.244733)","NR","No",,,"Monitoring of faecal enterococci levels for ACT Recreational water swimming season has ceased (29/04/19) and will recommence 27/09/19."
