Facility,Address,Location,URL,Zip Codes,Suburb
Ainslie Arts Centre,"Elouera Street, BRADDON ACT 2612
","(-35.281746, 149.122345)",http://www.arts.act.gov.au/our-arts-facilities/ainslie-arts-centre,,83
Gorman House Arts Centre,"Ainslie Avenue, BRADDON ACT 2612



","(-35.277752, 149.137774)",http://www.arts.act.gov.au/our-arts-facilities/gorman-house-arts-centre,,52
Watson Arts Centre,"1 Aspinall Street, WATSON ACT 2602

","(-35.230757, 149.155369)",http://www.arts.act.gov.au/our-arts-facilities/watson-arts-centre,,116
Belconnen Arts Centre,"118 Emu Bank, BELCONNEN ACT 2617





","(-35.235805, 149.068165)",http://www.arts.act.gov.au/our-arts-facilities/belconnen-arts-centre,,32
Manuka Arts Centre,"Corner of NSW Crescent and Manuka Circle, GRIFFITH ACT 2603



","(-35.316561, 149.135123)",http://www.arts.act.gov.au/our-arts-facilities/manuka-arts-centre,,30
Tuggeranong Arts Centre,"137 Reed Street, GREENWAY ACT 2901

","(-35.416125, 149.070697)",http://www.arts.act.gov.au/our-arts-facilities/tuggeranong-arts-centre,,101
Canberra Contemporary Art Space,"19 Furneaux Street, FORREST ACT 2603


","(-35.3198, 149.131401)",http://www.arts.act.gov.au/our-arts-facilities/canberra-contemporary-art-space,,72
Strathnairn,"90 Stockdill Drive, BELCONNEN ACT 2615

","(-35.232361, 148.994479)",http://www.arts.act.gov.au/our-arts-facilities/strathnairn,,
Canberra Glassworks,"11 Wentworth Avenue, Kingston ACT 2604


, ","(-35.311518, 149.143996)",http://www.arts.act.gov.au/our-arts-facilities/canberra-glassworks,,27
The Street Theatre,"Corner of Childers Street and University Avenue, ACTON ACT 2601

","(-35.27861, 149.123762)",http://www.arts.act.gov.au/our-arts-facilities/the-street-theatre,,83
Canberra Glassworks Chapel,"11 Wentworth Avenue, Kingston ACT 2604 ","(-35.310958, 149.142966)",http://www.arts.act.gov.au/our-arts-facilities/canberra-glassworks-chapel,,27
