"site","town_centre","location","cyclists_total_average","pedestrians_total_average","cyclists_total_2015","pedestrians_total_2015","cyclists_inbound_am_2015","cyclists_outbound_am_2015","pedestrians_inbound_am_2015","pedestrians_outbound_am_2015","cyclists_inbound_pm_2015","cyclists_outbound_pm_2015","pedestrians_inbound_pm_2015","pedestrians_outbound_pm_2015","cyclists_total_2016","pedestrians_total_2016","cyclists_inbound_am_2016","cyclists_outbound_am_2016","pedestrians_inbound_am_2016","pedestrians_outbound_am_2016","cyclists_inbound_pm_2016","cyclists_outbound_pm_2016","pedestrians_inbound_pm_2016","pedestrians_outbound_pm_2016","cyclists_total_2017","pedestrians_total_2017","cyclists_inbound_am_2017","cyclists_outbound_am_2017","pedestrians_inbound_am_2017","pedestrians_outbound_am_2017","cyclists_inbound_pm_2017","cyclists_outbound_pm_2017","pedestrians_inbound_pm_2017","pedestrians_outbound_pm_2017","cyclists_total_2018","pedestrians_total_2018","cyclists_inbound_am_2018","cyclists_outbound_am_2018","pedestrians_inbound_am_2018","pedestrians_outbound_am_2018","cyclists_inbound_pm_2018","cyclists_outbound_pm_2018","pedestrians_inbound_pm_2018","pedestrians_outbound_pm_2018"
"C14a","Civic","(-35.275436, 149.129532)","374","449","370","498","19","52","167","31","10","289","69","231","380","394","21","36","136","36","7","316","48","174","375","391","20","34","128","27","14","307","63","173","370","512","31","42","114","37","6","291","49","312"
"C24","Civic","(-35.284136, 149.136741)","38","108","57","114","16","14","41","15","12","15","13","45","12","61","9","3","37","24","0","0","0","0","45","110","7","19","39","23","10","9","8","40","36","147","9","11","62","18","5","11","18","49"
"W12","Woden","(-35.348535, 149.089728)","27","106","21","143","5","4","43","39","1","11","24","37","28","91","6","7","29","22","8","7","23","17","23","96","3","3","36","13","3","14","20","27","35","93","12","3","31","13","8","12","19","30"
"G10","Gungahlin","(-35.186291, 149.13978)","61","88","61","135","18","15","38","16","15","13","29","52","70","102","26","19","49","16","15","10","19","18","90","82","51","33","48","28","1","5","3","3","23","32","7","5","16","5","2","9","6","5"
"C01","Civic","(-35.284088, 149.106716)","880","123","957","263","423","83","64","27","79","372","77","95","1017","91","449","70","36","10","72","426","12","33","627","66","143","55","6","3","79","350","16","41","919","72","417","70","24","10","64","368","14","24"
"C23","Civic","(-35.283295, 149.137607)","52","123","53","129","18","7","52","10","13","15","19","48","60","96","26","5","50","4","14","15","9","33","46","124","21","1","51","12","2","22","19","42","49","143","22","4","64","9","5","18","15","55"
"W07","Woden","(-35.342258, 149.088313)","70","697","54","778","29","5","323","183","2","18","18","254","46","617","21","4","279","81","3","18","29","228","64","661","31","2","329","43","4","27","28","261","117","732","50","15","332","62","5","47","51","287"
"C07","Civic","(-35.272223, 149.117705)","158","209","174","218","95","10","100","7","14","55","15","96","156","198","82","7","89","13","7","60","23","73","145","206","76","5","85","6","13","51","17","98","156","215","85","7","92","9","3","61","17","97"
"W19","Woden","(-35.343843, 149.083061)","19","144","11","175","9","0","85","10","0","2","6","74",,,,,,,,,,,"11","71","3","0","34","5","1","7","4","28","34","185","11","6","84","8","2","15","12","81"
"G05","Gungahlin","(-35.183231, 149.135494)","23","189","30","224","10","7","72","28","1","12","40","84","22","158","4","7","21","58","4","7","21","58","14","110","8","2","54","7","0","4","9","40","24","264","10","3","114","29","3","8","49","72"
"W02","Woden","(-35.34022, 149.082984)","50","288","58","426","22","8","207","11","3","25","39","169","66","294","26","4","142","10","4","32","27","115","45","190","25","5","99","12","2","13","19","60","32","240","15","5","124","7","0","12","19","90"
"C28","Civic","(-35.288685, 149.135331)","44","52","44","40","12","4","12","17","7","21","4","7","45","59","15","3","14","19","5","22","14","12","39","63","10","6","9","11","8","15","12","31","47","45","18","9","9","1","7","13","13","22"
"B14","Belconnen","(-35.243084, 149.072053)","13","204","14","217","3","4","81","18","5","2","21","97","8","198","4","2","101","23","1","1","13","61","13","197","3","1","85","15","3","6","21","76","18","202","5","5","91","8","5","3","29","74"
"B10a","Belconnen","(-35.242178, 149.085217)","44","59","41","58","13","6","12","15","11","11","22","9","54","62","17","13","17","17","16","8","14","14","49","46","13","14","6","17","16","6","15","8","32","69","9","10","11","12","10","3","24","22"
"B05","Belconnen","(-35.23721, 149.075889)","8","42","9","32","6","2","13","6","0","1","8","5","8","30","4","1","11","8","0","3","6","5","4","52","4","0","9","11","0","0","11","21","9","52","3","1","12","12","1","4","11","17"
"T08","Tuggeranong","(-35.425319, 149.069833)","19","105","23","101","10","1","49","7","5","7","8","37","25","116","7","4","51","10","1","13","6","49","20","128","10","3","53","4","0","7","11","60","9","75","6","0","38","1","0","3","1","35"
"C18","Civic","(-35.276336, 149.133999)","146","707","110","648","53","4","292","26","8","45","51","279","128","634","66","6","291","22","7","49","77","244","132","723","73","11","299","25","9","39","95","304","212","824","88","14","373","21","34","76","110","320"
"B19","Belconnen","(-35.243124, 149.057764)","18","47","19","52","9","0","22","4","3","7","6","20","21","50","12","5","30","2","0","4","5","13","20","45","10","1","20","6","2","7","6","13","11","40","3","2","18","6","2","4","5","11"
"W14","Woden","(-35.348577, 149.087182)","6","223","6","294","2","1","115","22","1","2","20","137","5","208","2","0","85","17","1","2","12","94","6","202","0","0","79","15","1","5","22","86","5","188","1","0","79","20","0","4","21","68"
"T04","Tuggeranong","(-35.41871, 149.073074)","180","167","144","140","53","22","36","43","20","49","17","44","191","128","74","44","52","43","20","53","10","23","180","204","31","59","34","68","31","59","34","68","205","196","55","51","53","35","28","71","47","61"
"B09","Belconnen","(-35.242259, 149.087974)","39","390","1","118","1","0","56","23","0","0","18","21","52","193","17","9","104","17","12","14","21","51","43","940","18","3","256","164","8","14","204","316","59","307","25","5","52","33","7","22","46","176"
"C14b","Civic","(-35.275468, 149.129938)","450","1090","472","1053","369","11","464","50","56","36","196","343","460","1028","374","9","515","51","44","33","161","301","445","1225","351","8","578","67","52","34","227","353","424","1054","329","6","669","34","50","39","143","208"
"C27","Civic","(-35.288229, 149.135915)","3","1","1","2","0","0","0","2","0","1","0","0","2","0","0","1","0","0","0","1","0","0","4","2","1","0","0","0","2","1","1","1","4","0","2","2","0","0","0","0","0","0"
"W11","Woden","(-35.346846, 149.089235)","19","171","24","160","5","5","59","20","8","6","27","54","22","129","1","1","49","12","9","11","23","45","16","183","6","2","67","14","4","4","22","80","15","213","3","4","87","23","6","2","43","60"
"G11","Gungahlin","(-35.187913, 149.131809)","8","87","5","23","1","3","6","11","0","1","2","4","4","100","0","3","29","11","0","1","23","37","17","84","10","5","26","31","0","2","12","15","6","141","0","3","53","26","0","3","9","53"
"B23","Belconnen","(-35.236002, 149.062349)","63","388","73","438","36","2","180","20","7","28","71","167","55","355","29","4","171","23","4","18","21","140","72","365","27","4","161","13","9","32","49","142","53","394","29","3","164","26","5","16","44","160"
"C29","Civic","(-35.28993, 149.134011)","687","828","801","796","190","214","206","125","250","147","237","228","716","837","147","217","257","114","197","155","213","253","613","860","114","185","204","121","189","125","279","256","617","817","153","157","216","171","189","118","242","188"
"W15","Woden","(-35.348558, 149.086303)","15","303","21","389","6","6","172","14","1","8","59","144","13","321","3","5","138","12","2","3","38","133","13","308","4","3","162","19","2","4","22","105","11","194","5","2","82","25","1","3","25","62"
"G09","Gungahlin","(-35.184461, 149.14018)","24","79","18","83","6","4","33","9","2","6","13","28","29","82","10","16","41","7","1","2","7","27","20","83","8","4","40","10","2","6","11","22","29","69","8","6","25","6","9","6","14","24"
"C11","Civic","(-35.275181, 149.125627)","1226","592","694","255","660","14","212","23","7","13","8","12","1357","633","651","38","319","21","63","605","49","244","1257","613","644","17","301","21","59","537","49","242","1596","867","840","32","395","29","71","653","85","358"
