"date","age_group","number_enrolled","of_estimated_entitled_to_enrol"
"19/09/2008","18","3850","79.90"
"19/09/2008","19","4453","85.40"
"19/09/2008","20-24","24078","91.10"
"19/09/2008","25-29","24844","94.30"
"19/09/2008","30-34","23249","97.40"
"19/09/2008","35-39","25030","98.40"
"19/09/2008","40-44","22829","98.40"
"19/09/2008","45-49","23618","98.30"
"19/09/2008","50-54","21819","100.00"
"19/09/2008","55-59","20418","101.20"
"19/09/2008","60-64","16647","100.70"
"19/09/2008","65-69","10716","100.30"
"19/09/2008","70+","21920","99.60"
" 30/06/2011","18","1498","33.00"
" 30/06/2011","19","4254","84.20"
" 30/06/2011","20-24","23230","89.00"
" 30/06/2011","25-29","25333","90.70"
" 30/06/2011","30-34","23934","95.10"
" 30/06/2011","35-39","24200","95.00"
" 30/06/2011","40-44","23834","98.10"
" 30/06/2011","45-49","23082","95.70"
" 30/06/2011","50-54","22664","98.20"
" 30/06/2011","55-59","20236","100.20"
" 30/06/2011","60-64","18632","101.20"
" 30/06/2011","65-69","12432","100.20"
" 30/06/2011","70+","24332","97.20"
"30/06/2012","18","2478","48.40"
"30/06/2012","19","2421","42.80"
"30/06/2012","20-24","23050","78.40"
"30/06/2012","25-29","25564","87.90"
"30/06/2012","30-34","24708","94.30"
"30/06/2012","35-39","24051","93.20"
"30/06/2012","40-44","24575","97.40"
"30/06/2012","45-49","22746","93.40"
"30/06/2012","50-54","23123","98.00"
"30/06/2012","55-59","20338","98.30"
"30/06/2012","60-64","18553","99.40"
"30/06/2012","65-69","13833","108.00"
"30/06/2012","70+","25710","103.70"
