"name","datetime","no2","o3_1hr","o3_4hr","o3_8hr","co","pm10","pm2_5","pm10_1_hr","pm2_5_1_hr","aqi_co","aqi_no2","aqi_o3_1hr","aqi_o3_4hr","aqi_o3_8hr","aqi_pm10","aqi_pm2_5","aqi_site","date","time","gps"
"Monash","2022-08-30T09:00:00.000","0","0.027","0.025","0.025","0.44","6.04","6.1","8.43","0.35","4","0","27","31","39","12","24","31","2022-08-30T00:00:00.000","9:00:00","(-35.418302, 149.094018)"
"Florey","2022-08-30T09:00:00.000","0.002","0.025","0.023","0.024","0.41","7.26","7.06","8.35","2.11","4","2","25","29","37","14","28","29","2022-08-30T00:00:00.000","9:00:00","(-35.220606, 149.043539)"
"Civic","2022-08-30T09:00:00.000",,"0.016","0.017","0.019","0","7.53","7.87","6.71","4","0","0","16","21","29","15","31","31","2022-08-30T00:00:00.000","9:00:00","(-35.285307, 149.131579)"
