"date_of_inspection","date_prepared","address","suburb","post_code","inspection_type","inspector"
"2022-06-01T00:00:00.000","2022-06-02T00:00:00.000","7/97 Clift Crescent","Chisholm","2905","Building Report, Pest, EER","109"
"2022-06-02T00:00:00.000","2022-06-03T00:00:00.000","2 Burrowa Street","Palmerston","2913","Building Report, Pest, EER","109"
"2022-06-01T00:00:00.000","2022-06-03T00:00:00.000","4/165 Blamey Crescent","Campbell","2612","Building Report, Pest, EER","109"
"2022-06-03T00:00:00.000","2022-06-06T00:00:00.000","36 Ada Baker Street","Forde","2914","Building Report, Pest, EER","109"
"2022-06-06T00:00:00.000","2022-06-07T00:00:00.000","3 Corin Place","Monash","2904","Building Report, Pest, EER","109"
"2022-06-06T00:00:00.000","2022-06-07T00:00:00.000","3 Pownall Street","Franklin","2913","Building Report, Pest, EER","109"
"2022-06-06T00:00:00.000","2022-06-08T00:00:00.000","12 Cobbett Place","Bruce","2617","Building Report, Pest, EER","109"
"2022-06-07T00:00:00.000","2022-06-08T00:00:00.000","5/2 Ridding Street","Forde","2914","Building Report, Pest, EER","109"
"2022-06-07T00:00:00.000","2022-06-08T00:00:00.000","11 Fairweather Circuit","Lyneham","2602","Building Report, Pest, EER","109"
"2022-06-07T00:00:00.000","2022-06-09T00:00:00.000","3 Chipp Street","Coombs","2611","Building Report, Pest, EER","109"
"2022-06-08T00:00:00.000","2022-06-09T00:00:00.000","72 Bill Ferguson Circuit","Bonner","2914","Building Report, Pest, EER","109"
"2022-06-08T00:00:00.000","2022-06-09T00:00:00.000","12/57 Newman-Morris Circuit","Oxley","2903","Building Report, Pest, EER","109"
"2022-06-09T00:00:00.000","2022-06-10T00:00:00.000","4 Ben Blakeney Crescent","Bonner","2914","Building Report, Pest, EER","109"
"2022-06-09T00:00:00.000","2022-06-10T00:00:00.000","13 Carleton Street","Kambah","2902","Building Report, Pest, EER","109"
"2022-06-09T00:00:00.000","2022-06-14T00:00:00.000","20 Westerman Street","Casey","2913","Building Report, Pest, EER","109"
