"age_group","act_proportion_of_population","australia_proportion_of"
"0-4","6.7","6.3"
"5-9","6.4","6.4"
"10-14","5.6","6.0"
"15-19","6.2","6.1"
"20-24","7.9","6.7"
"25-29","8.2","7.1"
"30-34","8.5","7.3"
"35-39","7.6","6.7"
"40-44","7.1","6.8"
"45-49","6.7","6.8"
"50-54","6.1","6.5"
"55-59","5.6","6.2"
"60-64","4.8","5.6"
"65-69","4.3","5.1"
"70-74","3.1","3.8"
"75-79","2.1","2.8"
"80-84","1.5","2.0"
"85+","1.5","2.1"
