"tvm_identifier","latitude","longitude","coordinates","address","pay_by_credit_card","pay_by_cash","location"
"A-004","-35.278442","149.130396","(-35.278442, 149.130396)","City Bus Interchange","true","true","POINT (149.130396 -35.278442)"
"A-011","-35.185639","149.135481","(-35.185639, 149.135481)","Gungalin Place LR","true","true","POINT (149.135481 -35.185639)"
"A-016","-35.2284977","149.1442434","(-35.2284977, 149.1442434)","Epic and Racecourse LR","true","true","POINT (149.1442434 -35.2284977)"
"A-007","-35.307535","149.190078","(-35.307535, 149.190078)","Canberra Airport","true","true","POINT (149.190078 -35.307535)"
"A-020","-35.2505589","149.1337551","(-35.2505589, 149.1337551)","Dickson Interchange LR","true","true","POINT (149.1337551 -35.2505589)"
"A-026","-35.272618","149.1301981","(-35.272618, 149.1301981)","Eloura St LR","true","true","POINT (149.1301981 -35.272618)"
"A-008","-35.344385","149.087658","(-35.344385, 149.087658)","Woden Bus Interchange","true","true","POINT (149.087658 -35.344385)"
"A-012","-35.186986","149.143372","(-35.186986, 149.143372)","Manning Clarke LR","true","true","POINT (149.143372 -35.186986)"
"A-027","-35.2726172","149.1301599","(-35.2726172, 149.1301599)","Eloura St LR","true","true","POINT (149.13015990000002 -35.2726172)"
"A-015","-35.20905","149.14735","(-35.20905, 149.14735)","Wells Station Dr LR","true","true","POINT (149.14735 -35.20905)"
"A-019","-35.24447","149.13462","(-35.24447, 149.13462)","Swinden St LR","true","true","POINT (149.13462 -35.24447)"
"A-009","-35.414932","149.065695","(-35.414932, 149.065695)","Tuggeranong Bus Interchange","true","true","POINT (149.065695 -35.414932)"
"A-023","-35.2601563","149.1321636","(-35.2601563, 149.1321636)","Macarthur Avenue LR","true","true","POINT (149.1321636 -35.2601563)"
"A-028","-35.2779344","149.129346","(-35.2779344, 149.129346)","Alinga St LR","true","true","POINT (149.129346 -35.2779344)"
"A-018","-35.235794","149.143928","(-35.235794, 149.143928)","Phillip Ave LR","true","true","POINT (149.143928 -35.235794)"
"A-013","-35.193381","149.150972","(-35.193381, 149.150972)","Mapleton Ave LR","true","true","POINT (149.15097200000002 -35.193381)"
"A-010","-35.184725","149.13494","(-35.184725, 149.13494)","Gungahlin Bus Interchange","true","true","POINT (149.13494 -35.184725)"
"A-024","-35.2658969","149.131272","(-35.2658969, 149.131272)","Ipima St LR","true","true","POINT (149.131272 -35.2658969)"
"A-022","-35.2601592","149.1321975","(-35.2601592, 149.1321975)","Macarthur Avenue LR","true","true","POINT (149.1321975 -35.2601592)"
"A-017","-35.2285009","149.14422","(-35.2285009, 149.14422)","Epic and Racecourse LR","true","true","POINT (149.14422000000002 -35.2285009)"
"A-029","-35.2779315","149.1293069","(-35.2779315, 149.1293069)","Alinga St LR","true","true","POINT (149.1293069 -35.2779315)"
"A-014","-35.20055","149.149294","(-35.20055, 149.149294)","Nullarbor Ave LR","true","true","POINT (149.149294 -35.20055)"
"A-025","-35.2658947","149.1312436","(-35.2658947, 149.1312436)","Ipima St LR","true","true","POINT (149.1312436 -35.2658947)"
"A-031","-35.23835","149.063655","(-35.23835, 149.063655)","Belconnen Westfield","true","true","POINT (149.063655 -35.23835)"
"A-021","-35.2505578","149.133725","(-35.2505578, 149.133725)","Dickson Interchange LR","true","true","POINT (149.133725 -35.2505578)"
