"activity","authorisationno","status","partyname","date","ceaseexpirydate","suburb","pdf"
"Petroleum storage (Activity 30)","0712","Current","BP Australia Pty Ltd - GRIFFITH","2010-03-15T00:00:00.000",,"Griffith","YES"
"Commercial use of chemicals (Activity 29)","0960","Current","DeBugU Pest Management","2013-10-21T00:00:00.000",,,"YES"
"Petroleum storage (Activity 30)","0765","Cancelled","United Petroleum Pty Ltd - FYSHWICK","2010-03-03T00:00:00.000",,"FYSHWICK","YES"
"Production of concrete (Activity 41)","0302","Current","Concrite Pty Ltd t/as Canberra Mini Mixed Concrete Pty Ltd - Macgregor","2001-04-05T00:00:00.000",,"Macgregor","YES"
"Commercial use of chemicals (Activity 29)","1219","Current","Jim's Termite and Pest Control","2019-09-30T00:00:00.000",,,
"Production of concrete (Activity 41)","0303","Current","Concrite Pty Limited trading as Canberra Mini Mixed Concrete Pty Ltd - Fyshwick","2001-04-05T00:00:00.000",,"Fyshwick","YES"
"Placement of soil on land (Activity 7)","1297","Current","CMTEDD, Economic Development, Stromlo Forest Park","2022-06-10T00:00:00.000","2023-06-09T00:00:00.000",,
"Outdoor concerts (Activity 23)","1175","Expired","Kicks Entertainment Events Pty Ltd","2018-10-03T00:00:00.000","2019-10-03T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0223","Current","Willow and Environmental Management Services","1999-07-07T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","0522","Ceased","Dan and Dan Landscaping Pty Ltd","2005-07-15T00:00:00.000","2019-07-17T00:00:00.000",,"YES"
"Motor racing event (Activity 26)","1211","Expired","ACT Motorcycle Club Inc.","2019-08-28T00:00:00.000","2019-09-02T00:00:00.000",,
"Placement of soil on land (Activity 7)","1296","Current","Mr Brian Read","2022-06-17T00:00:00.000","2023-06-16T00:00:00.000",,
"Placement of soil on land (Activity 7)","1172","Expired","GJ & GM Trevaskis","2018-10-04T00:00:00.000","2019-10-03T00:00:00.000","HOLT","YES"
"Placement of soil on land (Activity 7)","1240","Expired","Civil and Civic Group Pty Ltd","2020-07-22T00:00:00.000","2021-07-22T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1272","Current","Sandeep Sharma","2021-07-05T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1208","Cancelled","AB Pest Control","2019-07-08T00:00:00.000","2019-09-11T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1183","Current","Green Options Pty Ltd","2018-12-13T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1165","Current","City Pest Control Service Pty Ltd","2018-05-21T00:00:00.000",,,"YES"
"Treatement of Contaminated Soil  of more than 1000m (Activity 11)","0912","Ceased","CMTEDD, ACT Property Group","2012-09-20T00:00:00.000","2018-11-02T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0536","Cancelled","Controller Pest Top Kill of Canberra","2005-12-06T00:00:00.000","2019-01-24T00:00:00.000","various locations within the ACT","YES"
"Operation of crushing, grinding and separation (Activity 43)","1099","Ceased","Southern State Waste Recycling","2017-03-23T00:00:00.000","2018-05-16T00:00:00.000","Hume","YES"
"Commercial use of chemicals (Activity 29)","1190","Current","Spotless Facility Services","2019-03-12T00:00:00.000",,,
"Production of concrete (Activity 41)","0298","Current","Holcim (Australia) Pty Ltd - Mitchell","2001-04-03T00:00:00.000",,"Mitchell","YES"
"Motor racing event (Activity 26)","1229","Expired","Brindabella Motor Sports Club","2020-01-17T00:00:00.000","2020-03-23T00:00:00.000",,
"Production of road building materials (Activity 42)","0401","Current","Bitupave Limited t/as Boral Asphalt NSW","2003-02-24T00:00:00.000",,,"YES"
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,,"YES"
"Commercial production of alcohlic beverages (Activity 35)","1217","Current","Capital Brewing Co Pty Ltd","2019-10-30T00:00:00.000",,,
"Outdoor concerts (Activity 23)","1184","Expired","ANU Students Association","2019-02-19T00:00:00.000","2019-02-23T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","0881","Cancelled","Pest Off! Pest Management","2011-11-25T00:00:00.000","2019-02-25T00:00:00.000","KAMBAH","YES"
"Commercial use of chemicals (Activity 29)","0821","Cancelled","R & M Pest Control","2010-12-02T00:00:00.000","2019-02-25T00:00:00.000","Palmerston","YES"
"Petroleum storage (Activity 30)","1221","Current","Canberra Data Centres Pty Ltd","2019-11-18T00:00:00.000",,"Hume",
"Commercial use of chemicals (Activity 29)","0146","Current","Rentokil Initial Pty Ltd/ also T/A Check Pest Control-Easyrid Pest Control","1999-01-09T00:00:00.000",,"FYSHWICK","YES"
