"id","suburb","split_suburb","collection_week","garbage_collection_day","garbage_collection_frequency","garbage_pickup_date","recycling_collection_day","recycling_collection_frequency","recycling_pickup_date","greenwaste_collection_week","greenwaste_collection_day","greenwaste_collection_frequency","next_greenwaste_date","greenwaste_type"
"1","ACTON",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"2","AINSLIE",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"3","AMAROO",,"B","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","31/08/2022","Green","Wednesday","Fortnightly","07/09/2022","Greenwaste"
"4","ARANDA",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"5","BANKS",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"6","BARTON",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"7","BEARD",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"8","BELCONNEN",,"A","Thursday","Fortnightly","08/09/2022","Thursday","Fortnightly","08/09/2022","Green and Yellow","Monday","Weekly","05/09/2022","FOGO Pilot"
"9","BONNER",,"B","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","31/08/2022","Green","Wednesday","Fortnightly","07/09/2022","Greenwaste"
"10","BONYTHON",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"11","BRADDON",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"12","BRUCE",,"A","Thursday","Fortnightly","08/09/2022","Thursday","Fortnightly","08/09/2022","Green and Yellow","Friday","Weekly","02/09/2022","FOGO Pilot"
"13","CALWELL",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"14","CAMPBELL",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"15","CASEY",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"16","CHAPMAN",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"17","CHARNWOOD","Tuesday","A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"18","CHARNWOOD","Wednesday","A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"19","CHARNWOOD","Thursday","A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"20","CHARNWOOD","Friday","A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"21","CHIFLEY",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"22","CHISHOLM",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"23","CITY",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"24","CONDER",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"25","COOK",,"B","Thursday","Fortnightly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green and Yellow","Wednesday","Weekly","31/08/2022","FOGO Pilot"
"26","COOMBS",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"27","CRACE",,"B","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","31/08/2022","Green","Wednesday","Fortnightly","07/09/2022","Greenwaste"
"28","CURTIN",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"29","DEAKIN",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"30","DENMAN PROSPECT",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"31","DICKSON",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"32","DOWNER",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"33","DUFFY",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"34","DUNLOP","North","A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"35","DUNLOP","South","B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"36","EVATT",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"37","FADDEN",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"38","FARRER",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"39","FISHER",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"40","FLOREY",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"41","FLYNN",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"42","FORDE",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
