"year","sex","age_group","region","estimated_resident_pouplation"
"2021","Males","00–4","ACT","13914"
"2021","Males","05–9","ACT","14944"
"2021","Males","10–14","ACT","13876"
"2021","Males","15–19","ACT","12330"
"2021","Males","20–24","ACT","15229"
"2021","Males","25–29","ACT","16300"
"2021","Males","30–34","ACT","16970"
"2021","Males","35–39","ACT","17661"
"2021","Males","40–44","ACT","15656"
"2021","Males","45–49","ACT","14321"
"2021","Males","50–54","ACT","13128"
"2021","Males","55–59","ACT","11431"
"2021","Males","60–64","ACT","10052"
"2021","Males","65–69","ACT","8419"
"2021","Males","70–74","ACT","7661"
"2021","Males","75–79","ACT","5205"
"2021","Males","80–84","ACT","3266"
"2021","Males","85–89","ACT","1778"
"2021","Males","90–94","ACT","784"
"2021","Males","95–99","ACT","226"
"2021","Males","Greater than 99","ACT","32"
"2021","Females","00–4","ACT","13207"
"2021","Females","05–9","ACT","14099"
"2021","Females","10–14","ACT","12730"
"2021","Females","15–19","ACT","11692"
"2021","Females","20–24","ACT","15535"
"2021","Females","25–29","ACT","17049"
"2021","Females","30–34","ACT","18141"
"2021","Females","35–39","ACT","18087"
"2021","Females","40–44","ACT","15596"
"2021","Females","45–49","ACT","14475"
"2021","Females","50–54","ACT","13194"
"2021","Females","55–59","ACT","12093"
"2021","Females","60–64","ACT","10879"
"2021","Females","65–69","ACT","9472"
"2021","Females","70–74","ACT","8645"
"2021","Females","75–79","ACT","6031"
"2021","Females","80–84","ACT","4042"
"2021","Females","85–89","ACT","2463"
"2021","Females","90–94","ACT","1217"
"2021","Females","95–99","ACT","381"
"2021","Females","Greater than 99","ACT","55"
"2021","Persons","00–4","ACT","27121"
"2021","Persons","05–9","ACT","29043"
"2021","Persons","10–14","ACT","26606"
"2021","Persons","15–19","ACT","24022"
"2021","Persons","20–24","ACT","30764"
"2021","Persons","25–29","ACT","33349"
"2021","Persons","30–34","ACT","35111"
"2021","Persons","35–39","ACT","35748"
"2021","Persons","40–44","ACT","31252"
"2021","Persons","45–49","ACT","28796"
"2021","Persons","50–54","ACT","26322"
"2021","Persons","55–59","ACT","23524"
"2021","Persons","60–64","ACT","20931"
"2021","Persons","65–69","ACT","17891"
"2021","Persons","70–74","ACT","16306"
"2021","Persons","75–79","ACT","11236"
"2021","Persons","80–84","ACT","7308"
"2021","Persons","85–89","ACT","4241"
"2021","Persons","90–94","ACT","2001"
"2021","Persons","95–99","ACT","607"
"2021","Persons","Greater than 99","ACT","87"
