Name,DateTime,NO2,O3_1hr,O3_4hr,CO,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time,GPS,Suburb,Zip Codes
Florey,10/03/2018 03:00:00 PM,0.003,0.031,0.033,0.81,14.88,5.95,9,3,31,41,29,23,41,2018-10-03T00:00:00,15:00:00,"(-35.220606, 149.043539)",11,
Civic,10/03/2018 03:00:00 PM,,0.024,0.027,0,20.56,6.47,0,0,24,34,41,25,41,2018-10-03T00:00:00,15:00:00,"(-35.285307, 149.131579)",83,
Monash,10/03/2018 03:00:00 PM,0,0.032,0.032,0.89,16.08,6.59,9,0,32,40,32,26,40,2018-10-03T00:00:00,15:00:00,"(-35.418302, 149.094018)",46,
