"category","year","region","age_group","persons","total_population","per_cent","comments"
"Population projections","2017","ACT","0-14","78142","411667","18.98","actual"
"Population projections","2018","ACT","0-14","80301","420321","19.10","estimate"
"Population projections","2019","ACT","0-14","82311","428509","19.21",
"Population projections","2020","ACT","0-14","84221","436635","19.29",
"Population projections","2021","ACT","0-14","85789","444651","19.29",
"Population projections","2022","ACT","0-14","87312","452590","19.29",
"Population projections","2023","ACT","0-14","88680","460440","19.26",
"Population projections","2024","ACT","0-14","89909","468195","19.20",
"Population projections","2025","ACT","0-14","90891","475856","19.10",
"Population projections","2026","ACT","0-14","91889","483409","19.01",
"Population projections","2027","ACT","0-14","92775","490850","18.90",
"Population projections","2028","ACT","0-14","93587","498167","18.79",
"Population projections","2029","ACT","0-14","94448","505360","18.69",
"Population projections","2030","ACT","0-14","95206","512483","18.58",
"Population projections","2031","ACT","0-14","95956","519536","18.47",
"Population projections","2032","ACT","0-14","96894","526525","18.40",
"Population projections","2033","ACT","0-14","97667","533449","18.31",
"Population projections","2034","ACT","0-14","98402","540316","18.21",
"Population projections","2035","ACT","0-14","99111","547134","18.11",
"Population projections","2036","ACT","0-14","99811","553914","18.02",
"Population projections","2037","ACT","0-14","100517","560664","17.93",
"Population projections","2038","ACT","0-14","101248","567395","17.84",
"Population projections","2039","ACT","0-14","102004","574117","17.77",
"Population projections","2040","ACT","0-14","102793","580838","17.70",
"Population projections","2041","ACT","0-14","103628","587565","17.64",
"Population projections","2042","ACT","0-14","104523","594307","17.59",
"Population projections","2043","ACT","0-14","105476","601065","17.55",
"Population projections","2044","ACT","0-14","106481","607841","17.52",
"Population projections","2045","ACT","0-14","107544","614633","17.50",
"Population projections","2046","ACT","0-14","108661","621441","17.49",
"Population projections","2047","ACT","0-14","109821","628262","17.48",
"Population projections","2048","ACT","0-14","111018","635093","17.48",
"Population projections","2049","ACT","0-14","112244","641931","17.49",
"Population projections","2050","ACT","0-14","113488","648774","17.49",
"Population projections","2051","ACT","0-14","114739","655620","17.50",
"Population projections","2052","ACT","0-14","115992","662466","17.51",
"Population projections","2053","ACT","0-14","117232","669311","17.52",
"Population projections","2054","ACT","0-14","118454","676151","17.52",
"Population projections","2055","ACT","0-14","119645","682986","17.52",
"Population projections","2056","ACT","0-14","120809","689810","17.51",
"Population projections","2057","ACT","0-14","121937","696623","17.50",
"Population projections","2058","ACT","0-14","123035","703422","17.49",
"Population projections","2017","ACT","15-64","281901","411667","68.48","actual"
"Population projections","2018","ACT","15-64","286438","420321","68.15","estimate"
"Population projections","2019","ACT","15-64","290788","428509","67.86",
"Population projections","2020","ACT","15-64","295234","436635","67.62",
"Population projections","2021","ACT","15-64","299814","444651","67.43",
"Population projections","2022","ACT","15-64","304357","452590","67.25",
"Population projections","2023","ACT","15-64","308931","460440","67.09",
"Population projections","2024","ACT","15-64","313577","468195","66.98",
"Population projections","2025","ACT","15-64","318366","475856","66.90",
