"age","male_trip_rate","female_trip_rate","total_trip_rate"
"0-14","2.91","3.41","3.15"
"15-29","2.99","3.35","3.17"
"30-49","3.93","4.39","4.16"
"50-69","3.79","3.73","3.76"
"70+","2.45","2.71","2.58"
"Total","3.39","3.72","3.55"
"15-29","2.99","3.35","3.17"
"0-14","2.91","3.41","3.15"
"50-69","3.79","3.73","3.76"
"70+","2.45","2.71","2.58"
"30-49","3.93","4.39","4.16"
