"age_group","brindabella_2011","brindabella_2012","ginninderra_2011","ginninderra_2012","molonglo_2011","molonglo_2012","total_act_2011","total_act_2012"
"18","568","802","398","777","532","899","1498","2478"
"19","1444","855","1118","672","1692","894","4254","2421"
"20-24","7384","7350","6380","6649","9466","9051","23230","23050"
"25-29","6659","6674","7081","7511","11593","11379","25333","25564"
"30-34","5986","6092","7069","7681","10879","10935","23934","24708"
"35-39","6457","6178","6996","7538","10747","10335","24200","24051"
"40-44","6862","6937","6534","7201","10438","10437","23834","24575"
"45-49","7692","7337","5902","6315","9488","9094","23082","22746"
"50-54","7548","7637","6086","6455","9030","9031","22664","23123"
"55-59","6637","6675","5848","6097","7751","7566","20236","20338"
"60-64","5394","5527","5930","6042","7308","6984","18632","18553"
"65-69","3219","3637","3898","4588","5315","5608","12432","13833"
"70+","5416","5813","6573","7177","12343","12720","24332","25710"
