"licence_class","licence_type","age_group","gender","count","rpt_date"
"Car Licence","Full","18","F","1","2019-08-01T00:00:00.000"
"Car Licence","Full","18","M","2","2019-08-01T00:00:00.000"
"Car Licence","Full","19","F","12","2019-08-01T00:00:00.000"
"Car Licence","Full","19","M","24","2019-08-01T00:00:00.000"
"Car Licence","Full","20","F","1151","2019-08-01T00:00:00.000"
"Car Licence","Full","20","M","1150","2019-08-01T00:00:00.000"
"Car Licence","Full","20","S","1","2019-08-01T00:00:00.000"
"Car Licence","Full","21","F","1875","2019-08-01T00:00:00.000"
"Car Licence","Full","21","M","1859","2019-08-01T00:00:00.000"
"Car Licence","Full","21","S","1","2019-08-01T00:00:00.000"
"Car Licence","Full","22","F","2151","2019-08-01T00:00:00.000"
"Car Licence","Full","22","M","2258","2019-08-01T00:00:00.000"
"Car Licence","Full","23","F","2501","2019-08-01T00:00:00.000"
"Car Licence","Full","23","M","2678","2019-08-01T00:00:00.000"
"Car Licence","Full","23","S","1","2019-08-01T00:00:00.000"
"Car Licence","Full","24","F","2823","2019-08-01T00:00:00.000"
"Car Licence","Full","24","M","2878","2019-08-01T00:00:00.000"
"Car Licence","Full","24","S","2","2019-08-01T00:00:00.000"
"Car Licence","Full","25","F","2453","2019-08-01T00:00:00.000"
"Car Licence","Full","25","M","2410","2019-08-01T00:00:00.000"
"Car Licence","Full","25","S","1","2019-08-01T00:00:00.000"
"Car Licence","Full","26","A","1","2019-08-01T00:00:00.000"
"Car Licence","Full","26","F","2733","2019-08-01T00:00:00.000"
"Car Licence","Full","26","M","2776","2019-08-01T00:00:00.000"
"Car Licence","Full","27","F","2941","2019-08-01T00:00:00.000"
"Car Licence","Full","27","M","3195","2019-08-01T00:00:00.000"
"Car Licence","Full","27","S","1","2019-08-01T00:00:00.000"
"Car Licence","Full","27","U","3","2019-08-01T00:00:00.000"
"Car Licence","Full","28","F","3348","2019-08-01T00:00:00.000"
"Car Licence","Full","28","M","3421","2019-08-01T00:00:00.000"
"Car Licence","Full","28","S","1","2019-08-01T00:00:00.000"
"Car Licence","Full","28","U","2","2019-08-01T00:00:00.000"
"Car Licence","Full","29","F","3506","2019-08-01T00:00:00.000"
"Car Licence","Full","29","M","3573","2019-08-01T00:00:00.000"
"Car Licence","Full","29","S","5","2019-08-01T00:00:00.000"
"Car Licence","Full","29","U","1","2019-08-01T00:00:00.000"
