"the_geom","asset_cate","external_i","asset_id","asset_name","asset_clas","asset_sub_","asset_type","asset_su00","region","suburb","signal_loc","fixed_sign","status","commission","connection","modificati","latest_rep","service_pr","cctv_camer","bluetooth_","constructi","ownership","maintained","asset_hand","latitude","longitude"
"POINT (149.1349374733637 -35.18553368049308)","Signals","11124223","TSSI317","Site 317  CROSS","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","CROSS","GUNGAHLIN","GUNGAHLIN",,"YES","ACTIVE/IN SERVICE","20180420000000","20180420000000",,,,"NO","NO",,"ROADS_ACT","ROADS_ACT",,"-35.1855419987","149.134932118"
"POINT (149.03501311893862 -35.22781170067774)","Signals","740506","TSSI39","Site 39 SOUTHERN CROSS DR / KINGSFORD SMITH DR, SCULLIN CROSS","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","CROSS","BELCONNEN","LATHAM","SOUTHERN CROSS DR / KINGSFORD SMITH DR, SCULLIN","YES","ACTIVE/IN SERVICE","19730323000000","19921223000000",,"19921127000000","TELSTRA","NO","YES","19730323000000","ROADS_ACT","ROADS_ACT","GIFTED","-35.2278200944","149.035007436"
"POINT (149.02833281464146 -35.29888920342357)","Signals","10772893","TSSI292","Site 292  TEE","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","TEE","WODEN","DENMAN PROSPECT",,"YES","ACTIVE/IN SERVICE",,,,,,"NO","NO",,,,"GIFTED","-35.2988977718","149.028327108"
"POINT (149.07576819510544 -35.239608996884684)","Signals","740806","TSSI203","Site 203 AIKMAN DR / EMU BANK, BELCONNEN TEE","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","TEE","BELCONNEN","BELCONNEN","AIKMAN DR / EMU BANK, BELCONNEN","YES","ACTIVE/IN SERVICE","20050224000000","20041216000000",,,"TELSTRA","NO","NO","20050224000000","ROADS_ACT","ROADS_ACT","GIFTED","-35.2396173548","149.075762588"
"POINT (149.12459843660727 -35.283606331839614)","Signals","740498","TSSI31","Site 31 MARCUS CLARKE ST / EDINBURGH AVE, ACTON CROSS","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","CROSS","CITY","CITY","MARCUS CLARKE ST / EDINBURGH AVE, ACTON","YES","ACTIVE/IN SERVICE","19721020000000","19840531000000","20010316000000","20010316000000","TELSTRA","NO","NO","19721020000000","ROADS_ACT","ROADS_ACT","CAPITAL WORKS","-35.2836146929","149.124592841"
"POINT (149.07896847939057 -35.423640745491056)","Signals","10053253","TSSI290","Site 290 ISABELLA DR / DRAKFORD DR PART TIME","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","PART TIME","WODEN","ISABELLA PLAINS","ISABELLA DR / DRAKFORD DR","YES","ACTIVE/IN SERVICE","20150624000000","20150610000000",,,"TELSTRA","NO","YES","20150624000000","ROADS_ACT","ROADS_ACT","GIFTED","-35.4236491757","149.078962832"
"POINT (149.06851402179848 -35.23994943830226)","Signals","9084290","TSSI1038","Site 1038 COHEN ST PEDS, BELCONNEN PEDESTRIAN","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","PEDESTRIAN","BELCONNEN","BELCONNEN","COHEN ST PEDS, BELCONNEN","YES","ACTIVE/IN SERVICE","20101115000000","20101115000000",,,"TELSTRA","NO","NO","20101115000000","ROADS_ACT","ROADS_ACT","CAPITAL WORKS","-35.2399578139","149.0685084"
"POINT (149.1492400425371 -35.20087276589969)","Signals","4287238","TSSI216","Site 216 FLEMINGTON DR / NULLABOR AVE, HARRISON CROSS","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","CROSS","BELCONNEN","FRANKLIN","FLEMINGTON DR / NULLABOR AVE, HARRISON","YES","ACTIVE/IN SERVICE","20061105000000","20070808000000",,,"TELSTRA","NO","NO","20061105000000","ROADS_ACT","ROADS_ACT","GIFTED","-35.2008810972","149.14923468"
"POINT (149.08747715845993 -35.341382201113454)","Signals","740576","TSSI75","Site 75 LAUNCESTON ST / CALLAM ST, PHILLIP TEE","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","TEE","WODEN","PHILLIP","LAUNCESTON ST / CALLAM ST, PHILLIP","YES","ACTIVE/IN SERVICE","19781201000000","19800905000000","20020722000000","19781201000000","TELSTRA","NO","NO","19781201000000","ROADS_ACT","ROADS_ACT","GIFTED","-35.3413906291","149.087471545"
"POINT (149.0879548907613 -35.25158748238436)","Signals","4299894","TSSI193","Site 193 HAYDON DR / JAEGER CCT, BRUCE TEE","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","TRAFFIC SIGNAL SITE","TEE","BELCONNEN","BRUCE","HAYDON DR / JAEGER CCT, BRUCE","YES","ACTIVE/IN SERVICE","20051130000000","20041202000000",,,"TELSTRA","NO","NO","20051130000000","ROADS_ACT","ROADS_ACT","CAPITAL WORKS","-35.2515958241","149.087949313"
