"row_id","date","site","name","location_1","micro_result","micro_compliance","algee_result","final_compliance","comments","zip_codes","suburb"
"20211123MR/6","2021-11-23T00:00:00.000","MR/6","Point Hut Crossing","POINT (149.07449 -35.451071)","NS","Yes",,,,,
"20220307PR/1","2022-03-07T00:00:00.000","PR/1","Murray's Corner","POINT (148.952825 -35.363614)","770","No",,,,,
"20211109MOL/SKI","2021-11-09T00:00:00.000","MOL/SKI","Water Ski Boat Ramp","POINT (149.175036 -35.30442)","70","Yes",,,,,
"20220502PR/1","2022-05-02T00:00:00.000","PR/1","Murray's Corner","POINT (148.952825 -35.363614)","NS","No",,,"The monitoring of this site for Intestinal Enterococci has ceased from 02/05/2022 and will recommence at the start of the 2022/23 new recreational season on 26/09/2022.",,
"20220201MR/10","2022-02-01T00:00:00.000","MR/10","Tharwa Bridge","POINT (149.07113 -35.507393)","1800","No",,,,,
"20211116MR/10","2021-11-16T00:00:00.000","MR/10","Tharwa Bridge","POINT (149.07113 -35.507393)","780","No",,,,,
"20220427MR/8","2022-04-27T00:00:00.000","MR/8","Uriarra East & West","POINT (148.95221 -35.244733)","48","Yes",,,,,
"20211206LT/3","2021-12-06T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","56","Yes",,,,,
"20220105LG/7","2022-01-05T00:00:00.000","LG/7","Yerra Beach","POINT (149.063622 -35.226007)","1400","No",,,,,
"20220117MR/4","2022-01-17T00:00:00.000","MR/4","Casuarina Sands","POINT (148.9554338 -35.3196656)","1200","No",,,,,
"20211206LG/2","2021-12-06T00:00:00.000","LG/2","Dulwa & Nengi Bamir Beaches","POINT (149.069692 -35.225486)","28","Yes",,,,,
"20220426LT/3","2022-04-26T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","120","No",,,,,
"20211115LT/3","2021-11-15T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","360","Yes",,,,,
"20220215MR/11","2022-02-15T00:00:00.000","MR/11","Swamp Creek Beach","POINT (148.951514 -35.242859)","NS","Yes",,,,,
"20220315MR/11","2022-03-15T00:00:00.000","MR/11","Swamp Creek Beach","POINT (148.951514 -35.242859)","280","No",,,,,
"20211026LT/5","2021-10-26T00:00:00.000","LT/5","Nguru Beach","POINT (149.069938 -35.407572)","NS","Yes",,,,,
"20211116MR/8","2021-11-16T00:00:00.000","MR/8","Uriarra East & West","POINT (148.95221 -35.244733)","780","No",,,,,
"20220502MR/5","2022-05-02T00:00:00.000","MR/5","Cotter Campground","POINT (148.9470014 -35.3264263)","NS","Yes",,,"The monitoring of this site for Intestinal Enterococci has ceased from 02/05/2022 and will recommence at the start of the 2022/23 new recreational season on 26/09/2022.",,
"20220322MOL/SKI","2022-03-22T00:00:00.000","MOL/SKI","Water Ski Boat Ramp","POINT (149.175036 -35.30442)","NS","Yes",,,,,
"20220308MR/1","2022-03-08T00:00:00.000","MR/1","Pine Island","POINT (149.0627416 -35.429116)","NS","No",,,,,
"20211006MR/5","2021-10-06T00:00:00.000","MR/5","Cotter Campground","POINT (148.9470014 -35.3264263)","NS","Yes",,,,,
"20220404MR/10","2022-04-04T00:00:00.000","MR/10","Tharwa Bridge","POINT (149.07113 -35.507393)","160","Yes",,,,,
"20220411LT/5","2022-04-11T00:00:00.000","LT/5","Nguru Beach","POINT (149.069938 -35.407572)","72","Yes",,,,,
"20220315MOL/SKI","2022-03-15T00:00:00.000","MOL/SKI","Water Ski Boat Ramp","POINT (149.175036 -35.30442)","150","No",,,,,
"20220328MR/5","2022-03-28T00:00:00.000","MR/5","Cotter Campground","POINT (148.9470014 -35.3264263)","120","Yes",,,,,
"20210927LG/1","2021-09-27T00:00:00.000","LG/1","Bimbi Beach","POINT (149.074859 -35.229443)","54","Yes",,,,,
"20220124MR/3","2022-01-24T00:00:00.000","MR/3","Kambah Pool","POINT (149.0090686 -35.3948892)","80","No",,,,,
"20211019MR/6","2021-10-19T00:00:00.000","MR/6","Point Hut Crossing","POINT (149.07449 -35.451071)","NS","Yes",,,,,
"20211130MR/11","2021-11-30T00:00:00.000","MR/11","Swamp Creek Beach","POINT (148.951514 -35.242859)","230","No",,,,,
"20211123LG/7","2021-11-23T00:00:00.000","LG/7","Yerra Beach","POINT (149.063622 -35.226007)","NS","Yes",,,,,
"20220426LT/7","2022-04-26T00:00:00.000","LT/7","Ngadyung Beach","POINT (149.066867 -35.405739)","290","Yes",,,,,
"20211116LT/7","2021-11-16T00:00:00.000","LT/7","Ngadyung Beach","POINT (149.066867 -35.405739)","310","No",,,,,
"20220131LT/5","2022-01-31T00:00:00.000","LT/5","Nguru Beach","POINT (149.069938 -35.407572)","1000","Yes",,,,,
"20220411MR/5","2022-04-11T00:00:00.000","MR/5","Cotter Campground","POINT (148.9470014 -35.3264263)","130","Yes",,,,,
"20220131LG/1","2022-01-31T00:00:00.000","LG/1","Bimbi Beach","POINT (149.074859 -35.229443)","810","No",,,,,
"20211006PR/1","2021-10-06T00:00:00.000","PR/1","Murray's Corner","POINT (148.952825 -35.363614)","NS","Yes",,,,,
"20211101MR/6","2021-11-01T00:00:00.000","MR/6","Point Hut Crossing","POINT (149.07449 -35.451071)","10","Yes",,,,,
"20220117MR/6","2022-01-17T00:00:00.000","MR/6","Point Hut Crossing","POINT (149.07449 -35.451071)","NS","No",,,"Sample not collected due to road closure",,
"20220420MR/6","2022-04-20T00:00:00.000","MR/6","Point Hut Crossing","POINT (149.07449 -35.451071)","NS","Yes",,,,,
"20211214LG/1","2021-12-14T00:00:00.000","LG/1","Bimbi Beach","POINT (149.074859 -35.229443)","430","No",,,,,
"20211207MR/10","2021-12-07T00:00:00.000","MR/10","Tharwa Bridge","POINT (149.07113 -35.507393)","22","Yes",,,,,
"20220104PR/1","2022-01-04T00:00:00.000","PR/1","Murray's Corner","POINT (148.952825 -35.363614)","2300","No",,,,,
"20220301LG/6","2022-03-01T00:00:00.000","LG/6","Bargang Beach","POINT (149.064357 -35.227708)","560","No",,,,,
"20220412LG/2","2022-04-12T00:00:00.000","LG/2","Dulwa & Nengi Bamir Beaches","POINT (149.069692 -35.225486)","30","Yes",,,,,
"20220419MR/4","2022-04-19T00:00:00.000","MR/4","Casuarina Sands","POINT (148.9554338 -35.3196656)","36","Yes",,,,,
"20210928LT/3","2021-09-28T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","16","Yes",,,,,
"20220110MR/3","2022-01-10T00:00:00.000","MR/3","Kambah Pool","POINT (149.0090686 -35.3948892)","380","No",,,,,
"20210928LG/1","2021-09-28T00:00:00.000","LG/1","Bimbi Beach","POINT (149.074859 -35.229443)","44","Yes",,,,,
"20220228MR/11","2022-02-28T00:00:00.000","MR/11","Swamp Creek Beach","POINT (148.951514 -35.242859)",">2000","Yes",,,,,
"20220321LT/3","2022-03-21T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","220","No",,,,,
"20211220LG/1","2021-12-20T00:00:00.000","LG/1","Bimbi Beach","POINT (149.074859 -35.229443)","1600","No",,,,,
"20220322LG/6","2022-03-22T00:00:00.000","LG/6","Bargang Beach","POINT (149.064357 -35.227708)","180","Yes",,,,,
"20211220LT/7","2021-12-20T00:00:00.000","LT/7","Ngadyung Beach","POINT (149.066867 -35.405739)","1100","Yes",,,,,
"20220301MR/5","2022-03-01T00:00:00.000","MR/5","Cotter Campground","POINT (148.9470014 -35.3264263)","480","No",,,,,
"20220308LT/3","2022-03-08T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","NS","No",,,,,
"20211129MR/8","2021-11-29T00:00:00.000","MR/8","Uriarra East & West","POINT (148.95221 -35.244733)","1200","Yes",,,,,
