"year","month","labor_force","employment","unemployment","unemployment_rate","percent_change","maryland_unemployment_rate","aa_vs_md","national_unemployment_rate","aa_vs_us"
"2009","01 - January","285152","268400","16752",,,,"-0.8",,"-2.6"
"2009","02 - February","285213","266826","18387",,"8.5",,"-0.8",,"-2.5"
"2009","03 - March","285988","267718","18270",,"0.0",,"-0.7",,"-2.6"
"2009","04 - April","286376","268789","17587",,"-4.7",,"-0.7",,"-2.5"
"2009","05 - May","287207","268166","19041",,"8.2",,"-0.7",,"-2.5"
"2009","06 - June","289690","269280","20410",,"6.1",,"-0.7",,"-2.7"
"2009","07 - July","291091","270543","20548",,"1.4",,"-0.5",,"-2.6"
"2009","08 - August","287253","267253","20000",,"-1.4",,"-0.5",,"-2.6"
"2009","09 - September","286025","266394","19631",,"-1.4",,"-0.6",,"-2.6"
"2009","10 - October","287129","267099","20030",,"1.4",,"-0.6",,"-2.5"
"2009","11 - November","287164","267358","19806",,"-1.4",,"-0.7",,"-2.5"
"2009","12 - December","285290","265497","19793",,"0.0",,"-0.7",,"-2.8"
"2009","YTD Average","286965","267777","19188",,,,"-0.7",,"-2.6"
"2010","01 - January","292149","269664","22485",,"11.6",,"-0.8",,"-2.9"
"2010","02 - February","291717","268605","23112",,"2.6",,"-0.7",,"-2.5"
"2010","03 - March","294525","272572","21953",,"-5.1",,"-0.8",,"-2.7"
"2010","04 - April","295501","275374","20127",,"-9.3",,"-0.7",,"-2.7"
"2010","05 - May","296039","275604","20435",,"1.5",,"-0.7",,"-2.4"
"2010","06 - June","297765","276477","21288",,"2.9",,"-0.8",,"-2.5"
"2010","07 - July","299944","277927","22017",,"2.8",,"-0.7",,"-2.4"
"2010","08 - August","297955","276766","21189",,"-2.7",,"-0.8",,"-2.4"
"2010","09 - September","296338","276528","19810",,"-5.6",,"-0.9",,"-2.5"
"2010","10 - October","296899","277785","19114",,"-4.5",,"-1.0",,"-2.6"
"2010","11 - November","297470","277493","19977",,"4.7",,"-0.9",,"-2.6"
"2010","12 - December","296063","277142","18921",,"-4.5",,"-1.0",,"-2.7"
"2010","YTD Average","296030","275161","20869",,"4.5",,"-0.9",,"-2.6"
"2011","01 - January","296797","276555","20242",,"6.2",,"-1.0",,"-3.0"
"2011","02 - February","296768","276650","20118",,"0.0",,"-0.9",,"-2.7"
"2011","03 - March","299031","279633","19398",,"-4.4",,"-0.8",,"-2.7"
"2011","04 - April","298725","280289","18436",,"-4.6",,"-0.7",,"-2.5"
"2011","05 - May","300182","280938","19244",,"3.2",,"-0.8",,"-2.3"
"2011","06 - June","301920","280796","21124",,"9.4",,"-0.7",,"-2.3"
"2011","07 - July","303569","282384","21185",,"0.0",,"-0.6",,"-2.3"
"2011","08 - August","302039","281063","20976",,"-1.4",,"-0.6",,"-2.2"
"2011","09 - September","301750","281757","19993",,"-4.3",,"-0.7",,"-2.2"
"2011","10 - October","303335","284137","19198",,"-4.5",,"-0.7",,"-2.2"
"2011","11 - November","302761","284848","17913",,"-6.3",,"-0.8",,"-2.3"
"2011","12 - December","302282","284389","17893",,"0.0",,"-0.9",,"-2.4"
