"month","total_container_tons","total_automobile_tons","total_ro_ro_tons","forest_products_break_bulk_","steel_amp_other_metals_tons","total_breakbulk_tons","total_general_cargo_tons","imported_loaded_teus","export_loaded_teus","total_loaded_teus","import_empty_teus","export_empty_teus","total_empty_teus","total_teus","total_containers","import_auto_units","export_auto_units","total_auto_units","import_ro_ro_tons","export_ro_ro_tons"
"2022-06-01T00:00:00.000","780790.00","78526.00","98446.00","71066.00","616.00","20575.00","1050019.00","50972.00","21282.00","72254.00","104.00","25405.00","25509.00","97763.00","58418.00","25882.00","13707.00","39589.00","68740.00","29706.00"
"2022-05-22T00:00:00.000","716771.00","77464.00","107699.00","41707.00","1952.00","24862.00","964533.00","45194.00","22171.00","67365.00","151.00","24687.00","24838.00","92203.00","54405.00","24434.00","16129.00","40563.00","75452.00","32247.00"
"2022-04-01T00:00:00.000","612985.00","70838.00","95963.00","95280.00","1189.00","24870.00","901125.00","38311.00","18892.00","57203.00","105.00","18143.00","18248.00","75451.00","44205.00","20943.00","10489.00","31432.00","61852.00","34111.00"
"2022-03-01T00:00:00.000","707479.00","80339.00","88772.00","47005.00","1892.00","24032.00","949569.00","43005.00","21294.00","64299.00","84.00","23462.00","23546.00","87845.00","52327.00","28407.00","11209.00","39616.00","62985.00","25787.00"
"2022-02-01T00:00:00.000","695709.00","59576.00","70089.00","71044.00","1534.00","16010.00","913962.00","41573.00","23697.00","65270.00","159.00","20472.00","20631.00","85901.00","50600.00","20215.00","10921.00","31136.00","45135.00","24955.00"
"2022-01-01T00:00:00.000","565597.00","66146.00","70943.00","52221.00","745.00","23340.00","778992.00","37004.00","16445.00","53449.00","124.00","19204.00","19328.00","72777.00","43855.00","27047.00","6400.00","33447.00","48283.00","22660.00"
"2021-12-01T00:00:00.000","746541.00","87640.00","82706.00","54107.00","1367.00","24675.00","997036.00","49438.00","22102.00","71540.00","296.00","20987.00","21283.00","96070.00","55006.00","28559.00","14726.00","43285.00","59535.00","23171.00"
"2021-11-01T00:00:00.000","590541.00","57329.00","70238.00","88114.00","880.00","15542.00","822644.00","36154.00","19694.00","55848.00","507.00","15980.00","16487.00","72335.00","43413.00","16436.00","12897.00","29333.00","47122.00","23116.00"
"2021-10-01T00:00:00.000","598302.00","55035.00","71697.00","67727.00","1280.00","25849.00","819890.00","35333.00","20705.00","56038.00","925.00","17963.00","18888.00","74926.00","44635.00","17256.00","10511.00","27767.00","48822.00","22875.00"
"2021-09-01T00:00:00.000","626618.00","58538.00","52944.00","71554.00","1415.00","16008.00","827077.00","41993.00","19227.00","61220.00","254.00","20842.00","21096.00","82316.00","48644.00","19071.00","10714.00","29785.00","33436.00","19508.00"
"2021-08-01T00:00:00.000","716296.00","76586.00","80294.00","60769.00","698.00","22660.00","957303.00","47807.00","21466.00","69273.00","600.00","27074.00","27674.00","96947.00","57509.00","25598.00","13990.00","39588.00","53031.00","27263.00"
"2021-07-01T00:00:00.000","594746.00","74718.00","70898.00","92575.00","1767.00","18458.00","853162.00","37626.00","19304.00","56930.00","186.00","17944.00","18130.00","75060.00","44798.00","27151.00","12370.00","39521.00","44782.00","26116.00"
"2021-06-01T00:00:00.000","719866.00","72934.00","75806.00","64428.00","1565.00","19179.00","953778.00","46319.00","21186.00","67505.00","50.00","27725.00","27775.00","95280.00","56529.00","22556.00","13758.00","36314.00","51300.00","24506.00"
"2021-05-01T00:00:00.000","751567.00","84489.00","87063.00","66727.00","933.00","18797.00","1012719.00","46049.00","24651.00","70700.00","58.00","23577.00","23635.00","94335.00","55257.00","28825.00","14531.00","43356.00","56856.00","30207.00"
"2021-04-01T00:00:00.000","713205.00","65657.00","85405.00","59258.00","121.00","13793.00","937744.00","44530.00","21515.00","66045.00","18.00","19078.00","19096.00","85141.00","50895.00","23502.00","11170.00","34672.00","56172.00","29233.00"
"2021-03-21T00:00:00.000","665053.00","110787.00","97146.00","90390.00","1155.00","19298.00","986870.00","38938.00","21736.00","60674.00","109.00","22864.00","22973.00","83647.00","49942.00","39195.00","18837.00","58032.00","59990.00","37156.00"
"2021-02-01T00:00:00.000","629125.00","55141.00","45822.00","74611.00","1542.00","7890.00","815458.00","38565.00","19564.00","58129.00","40.00","23291.00","23331.00","81460.00","48521.00","19026.00","10859.00","29885.00","28028.00","17794.00"
"2021-01-01T00:00:00.000","675783.00","83824.00","62967.00","40926.00","766.00","14987.00","879253.00","43576.00","19904.00","63480.00","5.00","21681.00","21686.00","85166.00","50674.00","35356.00","9343.00","44699.00","34184.00","28783.00"
"2020-12-01T00:00:00.000","716112.00","114004.00","67063.00","32591.00","1629.00","14956.00","946355.00","45041.00","22269.00","67310.00","40.00","22891.00","22931.00","90241.00","53057.00","47275.00","12518.00","59793.00","41232.00","25831.00"
"2020-11-01T00:00:00.000","714401.00","91570.00","58669.00","44531.00","793.00","12977.00","922941.00","47148.00","21032.00","68180.00","726.00","24780.00","25506.00","93686.00","55799.00","34317.00","13842.00","48159.00","31989.00","26680.00"
"2020-10-01T00:00:00.000","784389.00","89707.00","55930.00","41236.00","1022.00","14747.00","987031.00","51651.00","23438.00","75089.00","1893.00","26718.00","28611.00","103700.00","60723.00","36855.00","9936.00","46791.00","32160.00","23770.00"
"2020-09-01T00:00:00.000","658892.00","93214.00","45803.00","44559.00","1140.00","15791.00","859399.00","46057.00","17214.00","63271.00","13.00","28296.00","28309.00","91580.00","54966.00","33317.00","14134.00","47451.00","22786.00","23017.00"
"2020-08-01T00:00:00.000","648850.00","75283.00","54419.00","43550.00","266.00","20514.00","842882.00","44303.00","18638.00","62941.00","106.00","23621.00","23727.00","86668.00","51429.00","30601.00","9383.00","39964.00","32766.00","21653.00"
"2020-07-01T00:00:00.000","688311.00","58149.00","59653.00","27227.00","1808.00","13236.00","848384.00","46471.00","17528.00","63999.00","72.00","24187.00","24259.00","88258.00","52959.00","20648.00","11482.00","32130.00","35524.00","24129.00"
"2020-06-01T00:00:00.000","598809.00","39442.00","49376.00","34380.00","1013.00","10764.00","733784.00","36936.00","16164.00","53100.00","11.00","24794.00","24805.00","77905.00","47414.00","12623.00","7956.00","20579.00","31602.00","17774.00"
"2020-05-01T00:00:00.000","602620.00","32006.00","53889.00","42755.00","602.00","16786.00","748658.00","37741.00","12955.00","50696.00","64.00","26767.00","26831.00","77527.00","48127.00","11758.00","5888.00","17646.00","37587.00","16302.00"
"2020-04-01T00:00:00.000","698364.00","51012.00","65756.00","44768.00","1949.00","14397.00","876246.00","45258.00","15523.00","60781.00","19.00","29236.00","29255.00","90036.00","55944.00","20565.00","7502.00","28067.00","46141.00","19615.00"
