"month","new_claims_filed_total","new_claims_filed_ui","new_claims_filed_ucfe","new_claims_filed_ucx","euc_claims_filed_total","euc_dollars_paid_in_benefits_in_millions","persons_currently_drawing_ui_benefits","dollars_paid_in_benefits_in_millions","trust_fund_balance_in_millions","of_first_ui_checks_issued_regular_ui","of_first_ui_checks_issued_ex_fed_employees","of_first_ui_checks_issued_ex_military","of_claims_filed_via_the_internet","final_payments","of_first_ui_checks_issued_21_days_regular_ui_dla_87","of_first_ui_checks_issued_21_days_ex_fed_emp_dla_70","of_first_ui_checks_issued_21_days_ex_military_dla_87","determinations_nonmontetary_e_g_quit_fired","of_determinations_issued_in_21_days_of_issue_detection_dla_80","open_employer_accounts"
"Jul-08","23438","23137","172","129","12160","8.0","47462","48.2","946","10135","52","66","18.8","4183","93","94","95","31599","82.3","144157"
"Aug-08","20802","20557","142","103","5786","18.2","45475","48.2","924","9811","33","55","20.2","3608","92","73","98","28867","86.4","141721"
"Sep-08","22885","22640","116","129","3561","22.7","51922","55.6","895","8213","39","68","19.5","4253","92","87","97","27793","81.6","141537"
"Oct-08","29370","29079","166","125","4062","16.3","52133","49.4","870","11834","50","76","38.5","4202","93","79","95","31933","84.1","141598"
"Nov-08","30301","30046","152","103","2887","11.1","54787","54.7","841","13559","29","69","48.9","3887","92","95","97","32091","83.1","141981"
"Dec-08","43248","42982","155","111","3656","26.9","76665","84.4","774","17797","52","64","54.5","5123","92","90","100","37024","83.30","141659"
"Jan-09","40769","40377","243","149","4992","26.6","77121","85.6","680","24204","60","62","54.1","5100","93","90","97","39199","89.40","141570"
"Feb-09","32178","31853","210","115","4504","18.899999999999999","83122","92.1","621","17089","32","66","53.5","4857","91","78","92","35779","86.90","141745"
"Mar-09","33981","33631","219","131","4555","24.3","84536","115.7","531","18369","57","90","52.1","6157","90","70","94","39819","86.6","141684"
"Apr-09","34862","34488","268","106","5887","20.6","84190","92.7","479","15613","64","62","50.8","7005","88.6","93.8","93.6","35720","86.0","141609"
"May-09","31050","30750","198","102","5997","40.700000000000003","79108","87.4","587","13189","61","65","51.2","7742","88.6","89.3","98.4","32682","83.7","142749"
"Jun-09","36725","36377","210","138","7188","56.9","78508","104.1","494","15527","64","72","50.7","9045","88.6","75.8","95.5","33026","82.6","141707"
"Jul-09","35868","35513","214","141","10017","49.3","80538","86.6","420","13422","41","69","51.9","9632","87.0","83.1","96.9","34106","80.4","141669"
"Aug-09","30054","29670","244","140","9313","55","77847","96.7","394.9","13300","36","76","49.3","10827","85.6","77.2","96.1","33585","80.9","138936"
"Sept-09","28474","28058","261","155","10254","49.4","70128","74.099999999999994","312","13412","50","85","48.7","8248","82.0","72.0","94.0","30342","75.8","138900"
"Oct-09","34506","34105","252","149","8826","50.7","69957","70.400000000000006","252","12426","53","82","46","8252","87.0","78.0","94.0","30808","77.0","138927"
"Nov-09","33137","32785","246","106","7524","46.6","68247","84","220","13330","61","94","49","9068","86.0","83.0","92.0","26679","77.8","139382"
"Dec-09","49008","48693","183","132","10396","87.9","73979","80.3","135","16689","68","74","46","7414","84.0","90.0","91.0","32399","70.7","138766"
"Jan-10","39340","39022","181","137","8717","79.2","78591","86.5","51","21030","60","73","49","7758","90.0","85.0","94.0","32275","81.4","138579"
"Feb-10","34710","34439","153","118","6720","78.900000000000006","80094","86.9","13","15298","50","59","50","6782","87.0","58.0","86.0","29552","82.5","138911"
"Mar-10","32851","32517","198","136","8409","82.1","72846","104.7","10","14940","64","100","40","8074","86.0","73.0","96.0","36998","90.6","139095"
"Apr-10","29050","28738","155","157","7909","63.7","65527","74.3","78","11147","57","80","35","7422","88.0","70.0","96.0","29368","92.4","139266"
"May-10","26301","25997","180","124","7586","61.7","61271","66.7","521","9925","61","83","37","6964","88.0","77.0","90.0","24551","92.7","139581"
"Jun-10","33727","33276","274","177","2914","68.8","63104","79.099999999999994","456","11747","59","94","41","7414","90.0","89.0","95.0","24811","92.0","138919"
"Jul-10","30780","30407","203","170","11291","60.8","66853","65.7","435","12687","69","102","40","7574","87.0","88.0","95.0","24972","77.0","138748"
"Aug-10","29266","28750","313","203","8232","69.2","62520","78.599999999999994","469","12150","70","131","40","7499","81.0","75.0","95.0","18389","54.4","136004"
