"vaccination_date","county","firstdosedaily","firstdosecumulative","seconddosedaily","seconddosecumulative","singledosedaily","singledosecumulative","fullyvaccinated","thirddosedaily","thirddosecumulative","firstboosterdailydose","additionaldosecumulative","fourthdailydose","secondadditionaldosecumulative","fullyvaccinatedcumulative"
"2020-12-14T10:00:00.000","Anne Arundel","3.0","3",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-14T10:00:00.000","Baltimore","1.0","1",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-14T10:00:00.000","Carroll","1.0","1",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-14T10:00:00.000","Frederick","1.0","1","1.0","1",,"0","1.0",,"0",,"0",,"0","1"
"2020-12-14T10:00:00.000","Howard","3.0","3",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-14T10:00:00.000","Montgomery","9.0","9",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-14T10:00:00.000","Prince Georges","2.0","2",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-14T10:00:00.000","Unknown","1.0","1",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-14T10:00:00.000","Wicomico","1.0","1",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Anne Arundel","4.0","7",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Baltimore","8.0","9","2.0","2",,"0","2.0",,"0",,"0",,"0","2"
"2020-12-15T10:00:00.000","Baltimore City","7.0","7",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Carroll","1.0","2",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Cecil","1.0","1",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Dorchester","2.0","2",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Frederick","6.0","7",,"1",,"0",,,"0",,"0",,"0","1"
"2020-12-15T10:00:00.000","Howard","7.0","10",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Montgomery","28.0","37",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Prince Georges","8.0","10","1.0","1",,"0","1.0",,"0",,"0",,"0","1"
"2020-12-15T10:00:00.000","Queen Annes","1.0","1",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Talbot","1.0","1",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Unknown","9.0","10",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Washington","2.0","2",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-15T10:00:00.000","Worcester","4.0","4",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-16T10:00:00.000","Allegany","2.0","2",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-16T10:00:00.000","Anne Arundel","62.0","69",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-16T10:00:00.000","Baltimore","128.0","137","1.0","3",,"0","1.0",,"0",,"0",,"0","3"
"2020-12-16T10:00:00.000","Baltimore City","151.0","158","1.0","1",,"0","1.0",,"0",,"0",,"0","1"
"2020-12-16T10:00:00.000","Calvert","2.0","2",,"0",,"0",,,"0",,"0",,"0","0"
"2020-12-16T10:00:00.000","Caroline","1.0","1","1.0","1",,"0","1.0",,"0",,"0",,"0","1"
