"fips","county","year","type","source","amount"
"24001","Allegany","1995","Staff","Federal","65000.00"
"24001","Allegany","1995","Staff","State","120000.00"
"24001","Allegany","1995","Staff","Local","54417.00"
"24001","Allegany","1995","Operating","Federal","33000.00"
"24001","Allegany","1995","Operating","State","36585.00"
"24001","Allegany","1995","Operating","Local","1000.00"
"24001","Allegany","1996","Staff","Federal","65000.00"
"24001","Allegany","1996","Staff","State","120000.00"
"24001","Allegany","1996","Staff","Local","54417.00"
"24001","Allegany","1996","Operating","Federal","33000.00"
"24001","Allegany","1996","Operating","State","36585.00"
"24001","Allegany","1996","Operating","Local","1000.00"
"24001","Allegany","1997","Staff","Federal","97500.00"
"24001","Allegany","1997","Staff","State","141700.00"
"24001","Allegany","1997","Staff","Local","87059.00"
"24001","Allegany","1997","Operating","Federal","6690.00"
"24001","Allegany","1997","Operating","State","38406.00"
"24001","Allegany","1997","Operating","Local","10000.00"
"24001","Allegany","1998","Staff","Federal","97500.00"
"24001","Allegany","1998","Staff","State","141700.00"
"24001","Allegany","1998","Staff","Local","93660.00"
"24001","Allegany","1998","Operating","Federal","6690.00"
"24001","Allegany","1998","Operating","State","47363.00"
"24001","Allegany","1998","Operating","Local","10000.00"
"24001","Allegany","1999","Staff","Federal","180629.00"
"24001","Allegany","1999","Staff","State","173737.00"
"24001","Allegany","1999","Staff","Local","98831.00"
"24001","Allegany","1999","Operating","Federal","36125.00"
"24001","Allegany","1999","Operating","State","21368.00"
"24001","Allegany","1999","Operating","Local","10000.00"
"24001","Allegany","2000","Staff","Federal","221610.00"
"24001","Allegany","2000","Staff","State","206722.00"
"24001","Allegany","2000","Staff","Local","98831.00"
"24001","Allegany","2000","Operating","Federal","44322.00"
"24001","Allegany","2000","Operating","State","21268.00"
"24001","Allegany","2000","Operating","Local","10000.00"
"24001","Allegany","2001","Staff","Federal","202541.00"
"24001","Allegany","2001","Staff","State","197707.00"
"24001","Allegany","2001","Staff","Local","104321.00"
"24001","Allegany","2001","Operating","Federal","36125.00"
"24001","Allegany","2001","Operating","State","21695.00"
"24001","Allegany","2001","Operating","Local","20000.00"
"24001","Allegany","2002","Staff","Federal","182833.00"
"24001","Allegany","2002","Staff","State","230099.00"
"24001","Allegany","2002","Staff","Local","139396.00"
"24001","Allegany","2002","Operating","Federal","36567.00"
"24001","Allegany","2002","Operating","State","23741.00"
"24001","Allegany","2002","Operating","Local","20000.00"
"24001","Allegany","2003","Staff","Federal","182833.00"
"24001","Allegany","2003","Staff","State","236070.00"
"24001","Allegany","2003","Staff","Local","140909.00"
"24001","Allegany","2003","Operating","Federal","36567.00"
"24001","Allegany","2003","Operating","State","23897.00"
"24001","Allegany","2003","Operating","Local","20000.00"
"24001","Allegany","2004","Staff","Federal","208752.00"
"24001","Allegany","2004","Staff","State","236070.00"
"24001","Allegany","2004","Staff","Local","145501.00"
"24001","Allegany","2004","Operating","Federal","41750.00"
